 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,199";;0;;0;; ; 
"=""00:30"""; ;0;"2,378";;0;;0;; ; 
"=""00:45"""; ;0;"1,480";;0;;0;; ; 
"=""01:00"""; ;0;"1,178";;0;;0;; ; 
"=""01:15"""; ;0;"1,465";;0;;0;; ; 
"=""01:30"""; ;0;"1,122";;0;;0;; ; 
"=""01:45"""; ;0;"1,366";;0;;0;; ; 
"=""02:00"""; ;0;"1,003";;0;;0;; ; 
"=""02:15"""; ;0;960;;0;;0;; ; 
"=""02:30"""; ;0;"1,064";;0;;0;; ; 
"=""02:45"""; ;0;"1,120";;0;;0;; ; 
"=""03:00"""; ;0;987;;0;;0;; ; 
"=""03:15"""; ;0;734;;0;;0;; ; 
"=""03:30"""; ;0;568;;0;;0;; ; 
"=""03:45"""; ;0;"1,169";;0;;0;; ; 
"=""04:00"""; ;0;"1,232";;0;;0;; ; 
"=""04:15"""; ;0;855;;0;;0;; ; 
"=""04:30"""; ;0;"1,117";;0;;0;; ; 
"=""04:45"""; ;0;856;;0;;0;; ; 
"=""05:00"""; ;0;"1,530";;0;;0;; ; 
"=""05:15"""; ;0;"3,410";;0;;0;; ; 
"=""05:30"""; ;0;"1,532";;0;;0;; ; 
"=""05:45"""; ;0;904;;0;;0;; ; 
"=""06:00"""; ;0;949;;0;;0;; ; 
"=""06:15"""; ;0;"1,010";;0;;0;; ; 
"=""06:30"""; ;0;"1,851";;0;;0;; ; 
"=""06:45""";0;0;992;992;0;0;0;; ; 
"=""07:00""";0;0;"1,154";"1,154";0;0;0;; ; 
"=""07:15""";0;0;"1,179";"1,179";0;0;0;0; ; 
"=""07:30""";5;0;"2,070";"2,075";0;5;0;5; ; 
"=""07:45""";39;0;"1,635";"1,674";0;39;0;39; ; 
"=""08:00""";31;0;"1,596";"1,627";0;31;0;31; ; 
"=""08:15""";54;0;"2,173";"2,227";0;54;0;54; ; 
"=""08:30""";58;0;771;829;0;58;0;58; ; 
"=""08:45""";57;0;738;795;0;57;0;57; ; 
"=""09:00""";37;0;718;755;0;37;0;37; ; 
"=""09:15""";25;0;"1,083";"1,108";0;25;0;25; ; 
"=""09:30""";41;0;505;546;0;41;0;41; ; 
"=""09:45""";61;0;629;690;0;61;0;61; ; 
"=""10:00""";170;0;564;734;0;170;0;170; ; 
"=""10:15""";167;0;"1,461";"1,628";0;167;0;167; ; 
"=""10:30""";185;0;858;"1,043";0;185;0;185; ; 
"=""10:45""";200;0;744;944;0;200;0;200; ; 
"=""11:00""";251;0;648;899;0;251;0;251; ; 
"=""11:15""";333;0;"2,420";"2,753";0;333;0;333; ; 
"=""11:30""";405;0;548;953;0;405;0;405; ; 
"=""11:45""";625;0;386;"1,011";0;625;0;625; ; 
"=""12:00""";799;0;457;"1,256";0;799;0;799; ; 
"=""12:15""";665;0;306;971;0;665;0;665; ; 
"=""12:30""";716;0;279;995;0;716;0;716; ; 
"=""12:45""";780;0;72;852;8;780;0;787; ; 
"=""13:00""";849;0;75;923;5;849;0;854; ; 
"=""13:10"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""13:15""";"1,183";0;308;"1,492";11;"1,183";45;"1,239"; ; 
"=""13:15"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";"1,070";0;614;"1,684";6;"1,070";54;"1,129"; ; 
"=""13:45""";"1,015";0;688;"1,703";7;"1,015";36;"1,058"; ; 
"=""14:00""";"1,340";0;431;"1,772";4;"1,340";6;"1,350"; ; 
