 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,658";;0;;1;; ; 
"=""00:30"""; ;0;"2,247";;0;;2;; ; 
"=""00:45"""; ;2;"1,823";;0;;0;; ; 
"=""01:00"""; ;1;"2,178";;0;;0;; ; 
"=""01:15"""; ;0;"1,723";;0;;1;; ; 
"=""01:30"""; ;0;"1,813";;0;;1;; ; 
"=""01:45"""; ;0;"1,572";;0;;1;; ; 
"=""02:00"""; ;0;"1,546";;0;;2;; ; 
"=""02:15"""; ;0;"1,550";;0;;0;; ; 
"=""02:30"""; ;0;"1,569";;0;;0;; ; 
"=""02:45"""; ;0;"1,299";;0;;256;; ; 
"=""03:00"""; ;0;"1,866";;0;;399;; ; 
"=""03:15"""; ;0;"1,654";;0;;268;; ; 
"=""03:30"""; ;0;"1,657";;0;;230;; ; 
"=""03:45"""; ;0;"1,324";;0;;200;; ; 
"=""04:00"""; ;0;"1,251";;0;;180;; ; 
"=""04:15"""; ;0;"1,685";;0;;163;; ; 
"=""04:30"""; ;0;"1,560";;0;;153;; ; 
"=""04:45"""; ;0;"1,428";;0;;144;; ; 
"=""05:00"""; ;0;"1,169";;0;;138;; ; 
"=""05:15""";0;0;"2,841";"2,712";0;0;129;; ; 
"=""05:30""";0;0;"3,078";"2,953";0;0;125;; ; 
"=""05:45""";0;0;"1,618";"1,498";0;0;120;; ; 
"=""06:00""";0;0;"1,439";"1,324";0;0;116;; ; 
"=""06:15""";0;0;"1,247";"1,135";0;0;112;; ; 
"=""06:30""";0;0;"2,423";"2,313";0;0;109;0; ; 
"=""06:45""";0;0;"1,403";"1,327";0;0;105;29; ; 
"=""07:00""";6;0;994;"1,000";0;6;102;108; ; 
"=""07:15""";96;0;"1,148";"1,244";0;96;98;194; ; 
"=""07:30""";312;0;729;"1,040";0;312;93;405; ; 
"=""07:45""";608;355;38;"1,001";38;608;0;646; ; 
