 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,332";;0;;2;; ; 
"=""00:30"""; ;0;"1,170";;0;;1;; ; 
"=""00:45"""; ;0;"1,185";;0;;0;; ; 
"=""01:00"""; ;0;967;;0;;2;; ; 
"=""01:15"""; ;0;"1,159";;0;;1;; ; 
"=""01:30"""; ;1;"1,091";;0;;0;; ; 
"=""01:45"""; ;0;"1,106";;0;;0;; ; 
"=""02:00"""; ;1;937;;0;;0;; ; 
"=""02:15"""; ;0;865;;0;;3;; ; 
"=""02:30"""; ;1;963;;0;;0;; ; 
"=""02:45"""; ;0;679;;0;;1;; ; 
"=""03:00"""; ;0;904;;0;;2;; ; 
"=""03:15"""; ;1;604;;0;;0;; ; 
"=""03:30"""; ;0;642;;0;;2;; ; 
"=""03:45"""; ;0;664;;0;;0;; ; 
"=""04:00"""; ;0;452;;0;;0;; ; 
"=""04:15"""; ;0;509;;0;;2;; ; 
"=""04:30"""; ;0;793;;0;;1;; ; 
"=""04:45"""; ;0;440;;0;;1;; ; 
"=""05:00"""; ;0;632;;0;;1;; ; 
"=""05:15"""; ;3;680;;0;;0;; ; 
"=""05:30"""; ;1;"2,693";;0;;0;; ; 
"=""05:45"""; ;0;757;;0;;1;; ; 
"=""06:00"""; ;0;762;;0;;0;; ; 
"=""06:15""";0;0;915;914;0;0;1;; ; 
"=""06:30""";0;0;"1,764";"1,763";0;0;1;; ; 
"=""06:45""";0;1;"1,083";"1,084";0;0;0;; ; 
"=""07:00""";1;0;"1,253";"1,253";0;1;0;1; ; 
"=""07:15""";56;2;898;955;0;56;0;56; ; 
"=""07:30""";77;0;922;999;0;77;1;78; ; 
"=""07:45""";117;0;547;664;0;117;0;117; ; 
"=""08:00""";281;0;327;608;0;281;1;281; ; 
"=""08:15""";500;0;82;582;16;500;23;539; ; 
"=""08:30""";697;0;54;751;26;697;77;799; ; 
"=""08:32"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""08:37"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:45""";757;0;47;804;45;757;461;"1,263"; ; 
"=""08:52"""; ; ; ; ; ; ; ; ; ;"2,700"
"=""08:57"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:00""";854;0;62;916;59;854;591;"1,503"; ; 
"=""09:15""";652;0;18;670;19;652;965;"1,636"; ; 
"=""09:30""";575;0;18;592;17;575;"1,311";"1,902"; ; 
"=""09:45""";"1,469";0;96;"1,564";97;"1,469";544;"2,109"; ; 
"=""10:00""";630;0;19;649;23;630;"1,608";"2,260"; ; 
"=""10:15""";"1,860";0;101;"1,960";93;"1,860";507;"2,459"; ; 
"=""10:30""";768;0;39;807;36;768;"1,753";"2,556"; ; 
"=""10:45""";"1,719";0;175;"1,894";162;"1,719";415;"2,296"; ; 
"=""11:00""";850;0;18;868;19;850;"1,421";"2,289"; ; 
"=""11:15""";782;0;10;792;153;782;"1,226";"2,161"; ; 
"=""11:22"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""11:27"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""11:30""";"1,360";0;137;"1,497";222;"1,360";764;"2,346"; ; 
"=""11:32"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";"2,632";223;94;"2,949";121;"2,632";0;"2,753"; ; 
"=""11:47"""; ; ; ; ; ; ; ; ; ;"2,700"
"=""11:52"""; ; ; ; ; ; ; ; ; ;"2,670"
"=""11:57"""; ; ; ; ; ; ; ; ; ;"2,040"
"=""12:00""";"1,947";579;345;"2,871";361;"1,947";0;"2,308"; ; 
"=""12:02"""; ; ; ; ; ; ; ; ; ;"2,010"
"=""12:07"""; ; ; ; ; ; ; ; ; ;"2,550"
"=""12:12"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""12:15""";"1,987";0;356;"2,342";359;"1,987";107;"2,452"; ; 
"=""12:17"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:22"""; ; ; ; ; ; ; ; ; ;"1,560"
"=""12:27"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";"1,195";0;170;"1,366";233;"1,195";966;"2,394"; ; 
"=""12:32"""; ; ; ; ; ; ; ; ; ;540
"=""12:37"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:42"""; ; ; ; ; ; ; ; ; ;"1,470"
"=""12:45""";"1,981";0;277;"2,258";319;"1,981";33;"2,333"; ; 
"=""12:47"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:52"""; ; ; ; ; ; ; ; ; ;"2,730"
"=""12:57"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:00""";"1,937";870;364;"3,171";366;"1,937";0;"2,302"; ; 
"=""13:15""";"2,116";0;180;"2,296";188;"2,116";210;"2,514"; ; 
"=""13:22"""; ; ; ; ; ; ; ; ; ;"1,650"
"=""13:27"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";"1,289";0;31;"1,320";182;"1,289";835;"2,306"; ; 
"=""13:42"""; ; ; ; ; ; ; ; ; ;"2,100"
"=""13:45""";"2,112";0;54;"2,165";79;"2,112";242;"2,432"; ; 
"=""13:47"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:00""";"2,238";0;32;"2,270";114;"2,238";45;"2,397"; ; 
"=""14:07"""; ; ; ; ; ; ; ; ; ;"1,530"
"=""14:12"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:15""";"1,880";0;59;"1,940";119;"1,880";158;"2,157"; ; 
"=""14:22"""; ; ; ; ; ; ; ; ; ;"2,550"
"=""14:27"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:30""";"1,931";0;31;"1,962";111;"1,931";266;"2,307"; ; 
"=""14:45""";"1,826";319;87;"2,231";110;"1,826";0;"1,935"; ; 
"=""15:00""";"1,637";"1,072";43;"2,752";53;"1,637";0;"1,690"; ; 
"=""15:15""";"1,377";294;64;"1,735";48;"1,377";0;"1,425"; ; 
"=""15:30""";"1,069";"1,250";86;"2,405";93;"1,069";0;"1,162"; ; 
"=""15:45""";948;689;45;"1,682";45;948;0;993; ; 
"=""16:00""";774;889;41;"1,704";37;774;0;811; ; 
"=""16:15""";660;"1,020";35;"1,716";31;660;0;691; ; 
"=""16:30""";274;975;159;"1,408";38;274;0;312; ; 
"=""16:45""";158;402;450;"1,010";13;158;0;171; ; 
"=""17:00""";160;0;"1,303";"1,463";0;160;1;161; ; 
"=""17:15""";158;0;"1,970";"2,128";0;158;2;160; ; 
"=""17:30""";127;1;"2,559";"2,687";0;127;0;127; ; 
"=""17:45""";86;0;"1,487";"1,573";0;86;1;87; ; 
"=""18:00""";32;0;"1,444";"1,476";0;32;0;32; ; 
"=""18:15""";0;0;"2,224";"2,223";0;0;1;0; ; 
"=""18:30""";0;0;"2,228";"2,227";0;0;2;; ; 
"=""18:45""";0;1;"1,593";"1,594";0;0;0;; ; 
"=""19:00""";0;0;"2,781";"2,780";0;0;1;; ; 
"=""19:15""";0;0;"5,531";"5,529";0;0;2;; ; 
"=""19:30""";0;0;"3,815";"4,162";0;0;2;; ; 
"=""19:45""";0;0;"2,733";"2,733";0;0;0;; ; 
"=""20:00"""; ;0;"3,473";;0;;0;; ; 
"=""20:15"""; ;0;"4,221";;0;;0;; ; 
"=""20:30"""; ;0;"2,211";;0;;0;; ; 
"=""20:45"""; ;0;"2,297";;0;;0;; ; 
"=""21:00"""; ;0;"1,860";;0;;0;; ; 
"=""21:15"""; ;0;"2,343";;0;;0;; ; 
"=""21:30"""; ;0;"1,719";;0;;0;; ; 
"=""21:45"""; ;0;"1,468";;0;;0;; ; 
"=""22:00"""; ;0;"1,471";;0;;0;; ; 
"=""22:15"""; ;0;"1,307";;0;;0;; ; 
"=""22:30"""; ;0;"1,551";;0;;0;; ; 
"=""22:45"""; ;0;"1,169";;0;;0;; ; 
"=""23:00"""; ;0;"1,432";;0;;0;; ; 
"=""23:15"""; ;0;949;;0;;0;; ; 
"=""23:30"""; ;0;"1,159";;0;;0;; ; 
"=""23:45"""; ;0;"1,253";;0;;0;; ; 
"=""00:00"""; ;0;"1,029";;0;;0;;300;"3,000"
