 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,975";;0;;0;; ; 
"=""00:30"""; ;0;"1,641";;0;;0;; ; 
"=""00:45"""; ;0;"1,857";;0;;0;; ; 
"=""01:00"""; ;0;"2,129";;0;;0;; ; 
"=""01:15"""; ;0;"1,168";;0;;0;; ; 
"=""01:30"""; ;0;"1,246";;0;;0;; ; 
"=""01:45"""; ;0;"1,300";;0;;0;; ; 
"=""02:00"""; ;0;"1,777";;0;;0;; ; 
"=""02:15"""; ;0;"1,651";;0;;0;; ; 
"=""02:30"""; ;0;"1,072";;0;;0;; ; 
"=""02:45"""; ;0;875;;0;;0;; ; 
"=""03:00"""; ;0;"1,646";;0;;0;; ; 
"=""03:15"""; ;0;"1,481";;0;;0;; ; 
"=""03:30"""; ;0;"1,324";;0;;0;; ; 
"=""03:45"""; ;0;"1,018";;0;;0;; ; 
"=""04:00"""; ;0;892;;0;;0;; ; 
"=""04:15"""; ;0;"1,510";;0;;0;; ; 
"=""04:30"""; ;0;"1,365";;0;;0;; ; 
"=""04:45"""; ;0;"1,628";;0;;0;; ; 
"=""05:00"""; ;0;"1,642";;0;;0;; ; 
"=""05:15"""; ;0;"2,348";;0;;0;; ; 
"=""05:30"""; ;0;"2,422";;0;;0;; ; 
"=""05:45""";0;0;"1,896";"1,896";0;0;0;; ; 
"=""06:00""";0;0;"1,234";"1,234";0;0;0;; ; 
"=""06:15""";0;0;"1,070";"1,070";0;0;0;0; ; 
"=""06:30""";48;0;"2,104";"2,152";0;48;0;48; ; 
"=""06:45""";148;0;967;"1,115";0;148;0;148; ; 
"=""07:00""";294;0;687;981;0;294;0;294; ; 
"=""07:15""";450;0;544;994;0;450;0;450; ; 
"=""07:30""";772;0;232;"1,003";20;772;70;861; ; 
"=""07:45""";705;0;372;"1,077";6;705;8;719; ; 
"=""08:00""";717;0;276;994;8;717;109;834; ; 
"=""08:09"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""08:14"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:15""";749;0;141;890;31;749;140;919; ; 
"=""08:30""";791;0;76;867;73;791;763;"1,627"; ; 
"=""08:45""";750;0;66;816;53;750;234;"1,037"; ; 
"=""09:00""";701;0;28;729;25;701;449;"1,175"; ; 
"=""09:15""";801;0;475;"1,275";40;801;100;941; ; 
"=""09:30""";849;0;464;"1,312";53;849;427;"1,328"; ; 
"=""09:39"""; ; ; ; ; ; ; ; ; ;"2,520"
"=""09:44"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:45""";740;0;21;761;21;740;541;"1,302"; ; 
"=""10:00""";802;0;50;851;43;802;"1,443";"2,287"; ; 
"=""10:15""";756;0;82;838;77;756;840;"1,673"; ; 
"=""10:24"""; ; ; ; ; ; ; ; ; ;750
"=""10:29"""; ; ; ; ; ; ; ; ; ;"2,130"
"=""10:30""";"1,181";0;265;"1,445";286;"1,181";602;"2,068"; ; 
"=""10:34"""; ; ; ; ; ; ; ; ; ;"1,920"
"=""10:39"""; ; ; ; ; ; ; ; ; ;"2,610"
"=""10:44"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";"1,062";0;340;"1,401";337;"1,062";851;"2,250"; ; 
"=""10:59"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""11:00""";920;209;96;"1,226";92;920;0;"1,012"; ; 
"=""11:04"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""11:09"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:15""";"1,023";0;91;"1,114";96;"1,023";"1,829";"2,947"; ; 
"=""11:30""";"1,008";73;63;"1,144";54;"1,008";0;"1,062"; ; 
"=""11:45""";724;299;39;"1,063";42;724;0;766; ; 
"=""12:00""";"1,022";0;22;"1,044";28;"1,022";23;"1,072"; ; 
"=""12:15""";859;0;48;907;45;859;"1,132";"2,036"; ; 
"=""12:30""";483;320;15;817;11;483;0;494; ; 
"=""12:45""";523;445;18;986;17;523;0;540; ; 
"=""13:00""";184;984;46;"1,214";45;184;0;229; ; 
"=""13:15""";149;"1,555";288;"1,992";69;149;0;218; ; 
"=""13:24"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""13:29"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";274;866;855;"1,995";50;274;0;324; ; 
"=""13:45""";217;110;"1,317";"1,644";3;217;0;220; ; 
"=""14:00""";352;1;"1,350";"1,702";0;352;0;352; ; 
"=""14:15""";391;1;"1,203";"1,595";0;391;0;391; ; 
"=""14:30""";357;0;"1,596";"1,953";0;357;0;357; ; 
"=""14:45""";391;0;"1,921";"2,312";0;391;0;391; ; 
"=""15:00""";406;0;"1,105";"1,511";0;406;1;407; ; 
"=""15:15""";382;0;"1,090";"1,472";0;382;0;382; ; 
"=""15:30""";210;0;"2,539";"2,749";0;210;0;210; ; 
"=""15:45""";166;121;"1,001";"1,287";4;166;0;170; ; 
"=""16:00""";215;1;888;"1,103";0;215;0;215; ; 
"=""16:15""";206;0;976;"1,182";0;206;0;206; ; 
"=""16:30""";160;0;840;"1,000";0;160;1;161; ; 
"=""16:45""";113;0;"1,678";"1,791";0;113;2;114; ; 
"=""17:00""";101;0;"1,642";"1,743";0;101;0;101; ; 
"=""17:15""";94;0;"2,330";"2,424";0;94;0;94; ; 
"=""17:30""";81;1;"2,966";"3,048";0;81;0;81; ; 
"=""17:45""";58;0;"4,178";"4,236";0;58;1;59; ; 
"=""18:00""";22;1;"1,574";"1,597";0;22;0;22; ; 
"=""18:15""";3;0;"1,938";"1,941";0;3;1;4; ; 
"=""18:30""";0;0;"2,153";"2,152";0;0;1;; ; 
"=""18:45""";0;0;"2,268";"2,268";0;0;0;; ; 
"=""19:00""";0;0;"1,999";"1,999";0;0;0;; ; 
"=""19:15""";0;0;"2,809";"3,132";0;0;0;; ; 
"=""19:30""";0;0;"1,855";"1,855";0;0;0;; ; 
"=""19:45""";0;0;"2,677";"2,890";0;0;0;; ; 
"=""20:00"""; ;0;"2,563";;0;;0;; ; 
"=""20:15"""; ;0;"2,541";;0;;0;; ; 
"=""20:30"""; ;0;"2,794";;0;;0;; ; 
"=""20:45"""; ;0;"2,601";;0;;0;; ; 
"=""21:00"""; ;0;"2,110";;0;;0;; ; 
"=""21:15"""; ;0;"1,951";;0;;0;; ; 
"=""21:30"""; ;0;"1,902";;0;;0;; ; 
"=""21:45"""; ;0;"1,557";;0;;0;; ; 
"=""22:00"""; ;0;"1,838";;0;;0;; ; 
"=""22:15"""; ;0;"1,767";;0;;0;; ; 
"=""22:30"""; ;0;"2,083";;0;;0;; ; 
"=""22:45"""; ;0;"1,367";;0;;0;; ; 
"=""23:00"""; ;0;"1,698";;0;;0;; ; 
"=""23:15"""; ;0;"3,076";;0;;0;; ; 
"=""23:30"""; ;0;"3,074";;0;;0;; ; 
"=""23:45"""; ;0;"3,439";;0;;0;; ; 
"=""00:00"""; ;0;"1,624";;0;;0;;300;"3,000"
