 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,006";;0;;0;; ; 
"=""00:30"""; ;0;"1,280";;0;;1;; ; 
"=""00:45"""; ;0;"1,604";;0;;1;; ; 
"=""01:00"""; ;0;"1,398";;0;;0;; ; 
"=""01:15"""; ;0;"1,007";;0;;1;; ; 
"=""01:30"""; ;1;"1,314";;0;;0;; ; 
"=""01:45"""; ;0;"1,210";;0;;0;; ; 
"=""02:00"""; ;0;"1,378";;0;;0;; ; 
"=""02:15"""; ;0;824;;0;;1;; ; 
"=""02:30"""; ;0;"1,076";;0;;0;; ; 
"=""02:45"""; ;1;"1,338";;0;;0;; ; 
"=""03:00"""; ;0;"1,337";;0;;0;; ; 
"=""03:15"""; ;0;843;;0;;1;; ; 
"=""03:30"""; ;0;929;;0;;1;; ; 
"=""03:45"""; ;0;890;;0;;1;; ; 
"=""04:00"""; ;2;"1,189";;0;;0;; ; 
"=""04:15"""; ;0;972;;0;;1;; ; 
"=""04:30"""; ;0;805;;0;;2;; ; 
"=""04:45"""; ;0;"1,044";;0;;1;; ; 
"=""05:00"""; ;0;"1,136";;0;;1;; ; 
"=""05:15"""; ;0;"1,276";;0;;2;; ; 
"=""05:30"""; ;0;"2,831";;0;;2;; ; 
"=""05:45"""; ;0;"2,296";;0;;1;; ; 
"=""06:00""";0;2;"1,057";"1,059";0;0;0;; ; 
"=""06:15""";0;0;"1,103";"1,103";0;0;0;; ; 
"=""06:30""";0;0;"2,258";"2,258";0;0;1;0; ; 
"=""06:45""";72;3;"1,086";"1,161";0;72;0;72; ; 
"=""07:00""";142;0;917;"1,059";0;142;1;143; ; 
"=""07:15""";278;1;622;901;0;278;0;278; ; 
"=""07:30""";471;0;409;880;0;471;1;472; ; 
"=""07:45""";796;0;881;"1,677";7;796;0;803; ; 
"=""08:00""";616;2;606;"1,223";3;616;0;618; ; 
"=""08:05"""; ; ; ; ; ; ; ; ; ;"2,370"
"=""08:10"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:15""";966;0;455;"1,422";73;966;192;"1,231"; ; 
"=""08:30""";"1,010";0;98;"1,108";34;"1,010";352;"1,395"; ; 
"=""08:40"""; ; ; ; ; ; ; ; ; ;"2,700"
"=""08:45""";940;0;584;"1,524";22;940;198;"1,160"; ; 
"=""08:45"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:00""";"1,038";0;106;"1,144";102;"1,038";983;"2,123"; ; 
"=""09:15""";672;0;201;873;7;672;117;796; ; 
"=""09:20"""; ; ; ; ; ; ; ; ; ;"2,610"
"=""09:25"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";"1,091";0;177;"1,268";104;"1,091";376;"1,571"; ; 
"=""09:45""";"1,362";0;41;"1,403";29;"1,362";"1,446";"2,837"; ; 
"=""10:00""";"1,552";0;116;"1,668";105;"1,552";947;"2,604"; ; 
"=""10:00"""; ; ; ; ; ; ; ; ; ;"1,980"
"=""10:05"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";804;0;143;947;152;804;"1,411";"2,367"; ; 
"=""10:25"""; ; ; ; ; ; ; ; ; ;"2,670"
"=""10:30""";"1,114";0;64;"1,178";55;"1,114";"1,286";"2,455"; ; 
"=""10:30"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";"1,078";0;210;"1,288";251;"1,078";844;"2,172"; ; 
"=""10:50"""; ; ; ; ; ; ; ; ; ;"2,370"
"=""10:55"""; ; ; ; ; ; ; ; ; ;90
"=""11:00""";"1,427";0;69;"1,496";81;"1,427";"1,468";"2,976"; ; 
"=""11:00"""; ; ; ; ; ; ; ; ; ;210
"=""11:05"""; ; ; ; ; ; ; ; ; ;"2,220"
"=""11:10"""; ; ; ; ; ; ; ; ; ;"2,310"
"=""11:15""";851;0;231;"1,082";261;851;865;"1,977"; ; 
"=""11:15"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:30""";"1,357";264;42;"1,663";37;"1,357";0;"1,394"; ; 
"=""11:45""";"1,364";147;115;"1,626";113;"1,364";0;"1,477"; ; 
"=""11:50"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""11:55"""; ; ; ; ; ; ; ; ; ;"2,730"
"=""12:00""";"1,061";718;85;"1,864";84;"1,061";0;"1,144"; ; 
"=""12:00"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:05"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""12:10"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:15""";"1,314";0;107;"1,420";140;"1,314";742;"2,195"; ; 
"=""12:30""";854;0;41;896;37;854;44;936; ; 
"=""12:35"""; ; ; ; ; ; ; ; ; ;"1,680"
"=""12:40"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:45""";"1,214";449;82;"1,745";87;"1,214";0;"1,301"; ; 
"=""13:00""";"1,557";"1,429";96;"3,081";108;"1,557";0;"1,664"; ; 
"=""13:10"""; ; ; ; ; ; ; ; ; ;"2,340"
"=""13:15""";"2,511";0;65;"2,576";70;"2,511";4;"2,585"; ; 
"=""13:15"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";"2,072";0;185;"2,257";186;"2,072";73;"2,331"; ; 
"=""13:30"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""13:35"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:45""";"2,231";0;80;"2,310";77;"2,231";576;"2,884"; ; 
"=""13:45"""; ; ; ; ; ; ; ; ; ;"1,290"
"=""13:50"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:00""";"2,014";205;64;"2,283";56;"2,014";0;"2,070"; ; 
"=""14:15""";596;"1,893";53;"2,542";68;596;0;664; ; 
"=""14:30""";856;"1,207";321;"2,384";44;856;0;900; ; 
"=""14:45""";"1,624";431;44;"2,099";43;"1,624";0;"1,667"; ; 
"=""15:00""";"1,546";757;456;"2,760";24;"1,546";0;"1,570"; ; 
"=""15:15""";"1,121";0;903;"2,024";26;"1,121";87;"1,234"; ; 
"=""15:30""";896;0;765;"1,660";15;896;86;996; ; 
"=""15:45""";782;21;77;879;16;782;0;798; ; 
"=""16:00""";611;0;366;978;0;611;2;613; ; 
"=""16:15""";486;1;461;948;0;486;0;486; ; 
"=""16:30""";353;1;587;941;0;353;0;353; ; 
"=""16:45""";282;0;568;850;0;282;2;284; ; 
"=""17:00""";239;1;"1,681";"1,921";0;239;0;239; ; 
"=""17:15""";199;0;"2,153";"2,352";0;199;1;200; ; 
"=""17:30""";140;0;"1,696";"1,836";0;140;1;141; ; 
"=""17:45""";62;1;"2,276";"2,339";0;62;0;62; ; 
"=""18:00""";10;0;"2,486";"2,496";0;10;0;10; ; 
"=""18:15""";0;0;"2,754";"2,754";0;0;0;; ; 
"=""18:30""";0;0;"2,350";"2,350";0;0;0;; ; 
"=""18:45""";0;0;"2,684";"2,682";0;0;1;; ; 
"=""19:00""";0;0;"2,535";"2,535";0;0;0;; ; 
"=""19:15""";0;0;"2,819";"2,818";0;0;1;; ; 
"=""19:30""";0;2;"3,825";"3,827";0;0;0;; ; 
"=""19:45""";0;0;"2,655";"2,655";0;0;0;; ; 
"=""20:00""";0;0;"2,215";"2,184";0;0;1;; ; 
"=""20:15""";0;0;"1,814";"1,812";0;0;2;; ; 
"=""20:30""";0;1;"2,022";"2,098";0;0;0;; ; 
"=""20:45"""; ;0;"1,756";;0;;3;; ; 
"=""21:00"""; ;0;"1,871";;0;;0;; ; 
"=""21:15"""; ;0;"1,827";;0;;0;; ; 
"=""21:30"""; ;0;"2,347";;0;;1;; ; 
"=""21:45"""; ;0;"3,586";;0;;1;; ; 
"=""22:00"""; ;0;"2,500";;0;;0;; ; 
"=""22:15"""; ;0;"2,369";;0;;0;; ; 
"=""22:30"""; ;0;"2,209";;0;;0;; ; 
"=""22:45"""; ;0;"2,106";;0;;3;; ; 
"=""23:00"""; ;0;"1,947";;0;;2;; ; 
"=""23:15"""; ;0;"2,155";;0;;0;; ; 
"=""23:30"""; ;0;"1,921";;0;;3;; ; 
"=""23:45"""; ;1;"2,170";;0;;0;; ; 
"=""00:00"""; ;2;"2,323";;0;;0;;300;"3,000"
