 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,833";;0;;0;; ; 
"=""00:30"""; ;0;"2,181";;0;;2;; ; 
"=""00:45"""; ;2;"2,282";;0;;0;; ; 
"=""01:00"""; ;0;"2,518";;0;;1;; ; 
"=""01:15"""; ;0;"1,962";;0;;0;; ; 
"=""01:30"""; ;0;"2,084";;0;;1;; ; 
"=""01:45"""; ;0;"2,066";;0;;0;; ; 
"=""02:00"""; ;0;"2,253";;0;;2;; ; 
"=""02:15"""; ;0;"1,875";;0;;0;; ; 
"=""02:30"""; ;0;"1,476";;0;;0;; ; 
"=""02:45"""; ;0;"1,522";;0;;1;; ; 
"=""03:00"""; ;0;"1,627";;0;;1;; ; 
"=""03:15"""; ;0;"1,891";;0;;0;; ; 
"=""03:30"""; ;1;"1,952";;0;;0;; ; 
"=""03:45"""; ;0;"1,677";;0;;1;; ; 
"=""04:00"""; ;0;"1,472";;0;;1;; ; 
"=""04:15"""; ;1;"1,608";;0;;0;; ; 
"=""04:30"""; ;0;"1,561";;0;;1;; ; 
"=""04:45"""; ;0;"1,578";;0;;0;; ; 
"=""05:00"""; ;1;"1,530";;0;;0;; ; 
"=""05:15"""; ;0;"1,565";;0;;0;; ; 
"=""05:30"""; ;0;"2,401";;0;;2;; ; 
"=""05:45""";0;0;"2,608";"2,606";0;0;2;; ; 
"=""06:00""";0;0;"1,810";"1,810";0;0;0;; ; 
"=""06:15""";0;0;"1,629";"1,626";0;0;3;0; ; 
"=""06:30""";0;1;"2,157";"2,158";0;0;0;0; ; 
"=""06:45""";35;0;"1,517";"1,552";0;35;3;38; ; 
"=""07:00""";88;0;"1,805";"1,893";0;88;1;89; ; 
"=""07:15""";133;0;"1,181";"1,314";0;133;0;133; ; 
"=""07:30""";268;0;"1,038";"1,306";0;268;2;269; ; 
"=""07:45""";513;0;843;"1,355";0;513;3;516; ; 
"=""08:00""";691;0;906;"1,597";13;691;45;749; ; 
"=""08:15""";"1,098";0;128;"1,226";47;"1,098";297;"1,442"; ; 
"=""08:30""";"1,329";0;235;"1,564";59;"1,329";288;"1,676"; ; 
"=""08:45""";"1,139";0;"1,102";"2,240";5;"1,139";1;"1,144"; ; 
"=""09:00""";"1,683";0;"1,084";"2,767";46;"1,683";127;"1,856"; ; 
"=""09:15""";"1,094";0;"1,351";"2,445";7;"1,094";15;"1,116"; ; 
"=""09:23"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""09:28"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";"1,703";0;374;"2,077";107;"1,703";493;"2,302"; ; 
"=""09:45""";"1,624";0;147;"1,772";54;"1,624";734;"2,412"; ; 
"=""10:00""";"1,394";0;85;"1,479";45;"1,394";2;"1,440"; ; 
"=""10:08"""; ; ; ; ; ; ; ; ; ;900
"=""10:13"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";"1,229";0;890;"2,119";70;"1,229";120;"1,419"; ; 
"=""10:28"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""10:30""";"1,127";143;503;"1,773";104;"1,127";0;"1,231"; ; 
"=""10:33"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";"1,435";0;99;"1,534";59;"1,435";"1,125";"2,619"; ; 
"=""10:58"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""11:00""";985;0;68;"1,053";66;985;"1,970";"3,021"; ; 
"=""11:03"""; ; ; ; ; ; ; ; ; ;660
"=""11:08"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:15""";"1,517";0;193;"1,710";216;"1,517";672;"2,404"; ; 
"=""11:30""";"1,142";0;106;"1,248";104;"1,142";"1,307";"2,553"; ; 
"=""11:43"""; ; ; ; ; ; ; ; ; ;"2,550"
"=""11:45""";"1,049";0;25;"1,075";32;"1,049";"2,185";"3,266"; ; 
"=""11:48"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""11:53"""; ; ; ; ; ; ; ; ; ;"2,280"
"=""11:58"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""12:00""";889;0;242;"1,131";344;889;"1,478";"2,710"; ; 
"=""12:03"""; ; ; ; ; ; ; ; ; ;870
"=""12:08"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:13"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""12:15""";882;0;162;"1,045";272;882;929;"2,083"; ; 
"=""12:18"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";873;0;121;994;151;873;217;"1,240"; ; 
"=""12:45""";861;356;84;"1,301";98;861;0;959; ; 
"=""12:48"""; ; ; ; ; ; ; ; ; ;960
"=""12:53"""; ; ; ; ; ; ; ; ; ;"2,430"
"=""12:58"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:00""";"2,530";472;204;"3,206";216;"2,530";0;"2,746"; ; 
"=""13:08"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""13:13"""; ; ; ; ; ; ; ; ; ;900
"=""13:15""";"2,838";125;102;"3,065";96;"2,838";0;"2,934"; ; 
"=""13:18"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:28"""; ; ; ; ; ; ; ; ; ;"2,430"
"=""13:30""";"2,427";480;72;"2,979";66;"2,427";0;"2,493"; ; 
"=""13:33"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:43"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""13:45""";"2,209";457;109;"2,776";108;"2,209";0;"2,317"; ; 
"=""13:48"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:00""";"2,024";"1,243";93;"3,360";92;"2,024";0;"2,116"; ; 
"=""14:03"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""14:08"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:15""";756;"2,169";910;"3,834";97;756;0;853; ; 
"=""14:30""";"2,456";983;877;"4,316";45;"2,456";0;"2,501"; ; 
"=""14:45""";715;764;"2,925";"4,404";28;715;0;743; ; 
"=""15:00""";"1,386";385;"3,392";"5,162";11;"1,386";0;"1,397"; ; 
"=""15:15""";"1,306";0;"2,602";"3,907";0;"1,306";5;"1,310"; ; 
"=""15:30""";"1,471";0;"2,498";"3,969";0;"1,471";1;"1,472"; ; 
"=""15:45""";977;0;"2,042";"3,019";0;977;1;978; ; 
"=""16:00""";737;1;"2,092";"2,830";0;737;0;737; ; 
"=""16:15""";659;0;"2,138";"2,797";0;659;1;660; ; 
"=""16:30""";657;0;"1,693";"2,350";0;657;2;659; ; 
"=""16:45""";307;0;"1,201";"1,508";0;307;1;307; ; 
"=""17:00""";267;0;"1,764";"2,032";0;267;1;268; ; 
"=""17:15""";349;0;"1,835";"2,185";0;349;0;349; ; 
"=""17:30""";266;0;"2,600";"2,865";0;266;1;267; ; 
"=""17:45""";94;0;"2,142";"2,236";0;94;2;96; ; 
"=""18:00""";8;0;"2,192";"2,200";0;8;0;8; ; 
"=""18:15""";0;2;"2,884";"2,967";0;0;0;; ; 
"=""18:30""";0;0;"2,303";"2,302";0;0;1;; ; 
"=""18:45""";0;0;"2,425";"2,273";0;0;0;; ; 
"=""19:00"""; ;0;"4,420";;0;;0;; ; 
"=""19:15"""; ;1;"3,213";;0;;0;; ; 
"=""19:30"""; ;2;"3,565";;0;;0;; ; 
"=""19:45"""; ;0;"3,152";;0;;0;; ; 
"=""20:00"""; ;0;"3,543";;0;;2;; ; 
"=""20:15"""; ;2;"3,161";;0;;0;; ; 
"=""20:30"""; ;0;"3,532";;0;;2;; ; 
"=""20:45"""; ;1;"3,320";;0;;0;; ; 
"=""21:00"""; ;0;"3,567";;0;;0;; ; 
"=""21:15"""; ;0;"3,749";;0;;2;; ; 
"=""21:30"""; ;0;"4,283";;0;;0;; ; 
"=""21:45"""; ;3;"3,250";;0;;0;; ; 
"=""22:00"""; ;0;"2,863";;0;;0;; ; 
"=""22:15"""; ;1;"3,260";;0;;0;; ; 
"=""22:30"""; ;0;"2,869";;0;;2;; ; 
"=""22:45"""; ;0;"2,691";;0;;1;; ; 
"=""23:00"""; ;0;"2,462";;0;;2;; ; 
"=""23:15"""; ;0;"2,635";;0;;0;; ; 
"=""23:30"""; ;0;"2,491";;0;;1;; ; 
"=""23:45"""; ;0;"2,566";;0;;0;; ; 
"=""00:00"""; ;0;"2,695";;0;;0;;300;"3,000"
