 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,968";;0;;0;; ; 
"=""00:30"""; ;0;"2,236";;0;;0;; ; 
"=""00:45"""; ;0;"2,998";;0;;0;; ; 
"=""01:00"""; ;0;"1,920";;0;;0;; ; 
"=""01:15"""; ;0;"2,789";;0;;0;; ; 
"=""01:30"""; ;0;"1,958";;0;;0;; ; 
"=""01:45"""; ;0;"2,382";;0;;0;; ; 
"=""02:00"""; ;0;"2,499";;0;;0;; ; 
"=""02:15"""; ;0;"1,878";;0;;0;; ; 
"=""02:30"""; ;0;"2,422";;0;;0;; ; 
"=""02:45"""; ;0;"1,611";;0;;0;; ; 
"=""03:00"""; ;0;"2,180";;0;;0;; ; 
"=""03:15"""; ;0;"2,083";;0;;0;; ; 
"=""03:30"""; ;0;"1,679";;0;;0;; ; 
"=""03:45"""; ;0;"2,173";;0;;0;; ; 
"=""04:00"""; ;0;"1,570";;0;;0;; ; 
"=""04:15"""; ;0;"2,277";;0;;0;; ; 
"=""04:30"""; ;0;"1,806";;0;;0;; ; 
"=""04:45"""; ;0;"1,623";;0;;0;; ; 
"=""05:00"""; ;0;"2,795";;0;;0;; ; 
"=""05:15"""; ;0;"2,643";;0;;0;; ; 
"=""05:30"""; ;0;"3,993";;0;;0;; ; 
"=""05:45"""; ;0;"1,984";;0;;0;; ; 
"=""06:00""";0;0;"1,336";"1,336";0;0;0;; ; 
"=""06:15""";0;0;"1,341";"1,341";0;0;0;; ; 
"=""06:30""";0;0;"2,046";"2,046";0;0;0;0; ; 
"=""06:45""";11;0;"1,544";"1,555";0;11;0;11; ; 
"=""07:00""";91;0;"1,247";"1,338";0;91;0;91; ; 
"=""07:15""";163;0;"1,219";"1,382";0;163;0;163; ; 
"=""07:30""";179;0;920;"1,099";0;179;0;179; ; 
"=""07:45""";415;0;778;"1,193";0;415;0;415; ; 
