 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Output value / Mean values [W]  
"=""21:30"""; ;0;"3,985";;0;;0;; 
"=""21:45"""; ;0;"3,054";;0;;0;; 
"=""22:00"""; ;0;"3,744";;0;;0;; 
"=""22:15"""; ;0;"2,336";;0;;0;; 
"=""22:30"""; ;0;"2,560";;0;;0;; 
"=""22:45"""; ;0;"2,359";;0;;0;; 
"=""23:00"""; ;0;"2,336";;0;;0;; 
"=""23:15"""; ;0;"2,017";;0;;0;; 
"=""23:30"""; ;0;"2,087";;0;;0;; 
"=""23:45"""; ;0;"2,345";;0;;0;; 
"=""00:00"""; ;0;"1,972";;0;;0;;"3,000"
