 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,584";;0;;0;; ; 
"=""00:30"""; ;0;987;;0;;3;; ; 
"=""00:45"""; ;0;"1,405";;0;;0;; ; 
"=""01:00"""; ;2;"1,600";;0;;0;; ; 
"=""01:15"""; ;0;"1,548";;0;;2;; ; 
"=""01:30"""; ;0;890;;0;;1;; ; 
"=""01:45"""; ;0;"1,353";;0;;1;; ; 
"=""02:00"""; ;1;"1,431";;0;;0;; ; 
"=""02:15"""; ;1;"1,398";;0;;0;; ; 
"=""02:30"""; ;0;"1,235";;0;;1;; ; 
"=""02:45"""; ;0;828;;0;;1;; ; 
"=""03:00"""; ;0;"1,286";;0;;1;; ; 
"=""03:15"""; ;0;"1,344";;0;;2;; ; 
"=""03:30"""; ;0;"1,157";;0;;0;; ; 
"=""03:45"""; ;0;828;;0;;1;; ; 
"=""04:00"""; ;0;"1,336";;0;;0;; ; 
"=""04:15"""; ;0;"1,117";;0;;2;; ; 
"=""04:30"""; ;0;"1,034";;0;;2;; ; 
"=""04:45"""; ;0;986;;0;;1;; ; 
"=""05:00"""; ;1;753;;0;;0;; ; 
"=""05:15"""; ;0;"1,259";;0;;0;; ; 
"=""05:30"""; ;0;"3,136";;0;;1;; ; 
"=""05:45""";0;2;"1,508";"1,510";0;0;0;; ; 
"=""06:00""";0;0;990;990;0;0;0;; ; 
"=""06:15""";0;0;853;853;0;0;0;0; ; 
"=""06:30""";39;0;"1,903";"1,941";0;39;0;39; ; 
"=""06:45""";162;0;"1,321";"1,483";0;162;1;163; ; 
"=""07:00""";300;0;808;"1,108";0;300;0;300; ; 
"=""07:15""";481;0;857;"1,337";0;481;0;481; ; 
"=""07:30""";701;0;"2,439";"3,140";0;701;2;703; ; 
"=""07:45""";825;0;428;"1,252";15;825;46;886; ; 
"=""08:00""";846;0;304;"1,150";16;846;143;"1,005"; ; 
"=""08:15""";833;0;20;853;18;833;176;"1,027"; ; 
"=""08:30""";897;0;35;932;39;897;510;"1,446"; ; 
"=""08:45""";861;0;253;"1,114";33;861;834;"1,727"; ; 
"=""09:00""";733;0;13;746;16;733;"1,291";"2,041"; ; 
"=""09:15""";693;0;34;727;35;693;"1,679";"2,406"; ; 
"=""09:30""";712;0;46;759;46;712;"1,537";"2,295"; ; 
"=""09:43"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""09:45""";"1,374";0;142;"1,516";141;"1,374";738;"2,253"; ; 
"=""09:48"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:00""";924;0;84;"1,008";78;924;"1,374";"2,375"; ; 
"=""10:15""";"1,012";289;127;"1,428";123;"1,012";0;"1,135"; ; 
"=""10:30""";770;0;31;801;32;770;444;"1,245"; ; 
"=""10:38"""; ; ; ; ; ; ; ; ; ;900
"=""10:43"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";744;0;115;859;179;744;"1,150";"2,073"; ; 
"=""11:00""";702;0;146;848;168;702;817;"1,688"; ; 
"=""11:15""";653;0;119;772;124;653;594;"1,370"; ; 
"=""11:30""";711;0;109;820;161;711;590;"1,461"; ; 
"=""11:33"""; ; ; ; ; ; ; ; ; ;"1,890"
"=""11:38"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";660;0;122;782;239;660;952;"1,851"; ; 
"=""11:48"""; ; ; ; ; ; ; ; ; ;"1,830"
"=""11:53"""; ; ; ; ; ; ; ; ; ;"1,770"
"=""11:58"""; ; ; ; ; ; ; ; ; ;"1,680"
"=""12:00""";784;0;38;821;314;784;"1,066";"2,163"; ; 
"=""12:03"""; ; ; ; ; ; ; ; ; ;"3,000"
