 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"3,415";;0;;0;; ; 
"=""00:30"""; ;0;"3,718";;0;;0;; ; 
"=""00:45"""; ;0;"3,200";;0;;0;; ; 
"=""01:00"""; ;0;"2,698";;0;;0;; ; 
"=""01:15"""; ;0;"2,701";;0;;0;; ; 
"=""01:30"""; ;0;"2,577";;0;;0;; ; 
"=""01:45"""; ;0;"2,583";;0;;0;; ; 
"=""02:00"""; ;0;"2,636";;0;;0;; ; 
"=""02:15"""; ;0;"2,306";;0;;0;; ; 
"=""02:30"""; ;0;"1,848";;0;;0;; ; 
"=""02:45"""; ;0;"2,233";;0;;0;; ; 
"=""03:00"""; ;0;"2,044";;0;;0;; ; 
"=""03:15"""; ;0;"1,948";;0;;0;; ; 
"=""03:30"""; ;0;"2,149";;0;;0;; ; 
"=""03:45"""; ;0;"1,818";;0;;0;; ; 
"=""04:00"""; ;0;"1,637";;0;;0;; ; 
"=""04:15"""; ;0;"1,362";;0;;0;; ; 
"=""04:30"""; ;0;"1,820";;0;;0;; ; 
"=""04:45"""; ;0;"1,541";;0;;0;; ; 
"=""05:00"""; ;0;"1,530";;0;;0;; ; 
"=""05:15"""; ;0;"1,841";;0;;0;; ; 
"=""05:30"""; ;0;"3,660";;0;;0;; ; 
"=""05:45"""; ;0;"1,736";;0;;0;; ; 
"=""06:00""";0;0;"1,970";"1,970";0;0;0;; ; 
"=""06:15""";0;0;"1,782";"1,782";0;0;0;; ; 
"=""06:30""";0;0;"2,112";"2,112";0;0;0;; ; 
"=""06:45""";0;0;"1,610";"1,610";0;0;0;; ; 
"=""07:00""";0;0;"1,666";"1,666";0;0;0;0; ; 
"=""07:15""";38;0;"1,509";"1,547";0;38;0;38; ; 
"=""07:30""";90;0;754;844;0;90;0;90; ; 
"=""07:45""";146;0;998;"1,144";0;146;0;146; ; 
"=""08:00""";255;0;921;"1,176";0;255;0;255; ; 
"=""08:15""";5;0;"1,859";"1,864";0;5;0;5; ; 
"=""08:30""";33;0;"2,101";"2,134";0;33;0;33; ; 
"=""08:45""";9;0;"1,062";"1,071";0;9;0;9; ; 
"=""09:00""";57;0;"1,028";"1,085";0;57;0;57; ; 
"=""09:15""";113;0;"2,600";"2,713";0;113;0;113; ; 
"=""09:30""";191;0;874;"1,065";0;191;0;191; ; 
"=""09:45""";146;0;998;"1,144";0;146;0;146; ; 
"=""10:00""";128;0;"1,012";"1,140";0;128;0;128; ; 
"=""10:15""";96;0;"1,646";"1,742";0;96;0;96; ; 
"=""10:30""";70;0;"1,474";"1,544";0;70;0;70; ; 
"=""10:45""";68;0;"1,160";"1,228";0;68;0;68; ; 
"=""11:00""";83;0;"1,134";"1,217";0;83;0;83; ; 
"=""11:15""";110;0;"1,272";"1,382";0;110;0;110; ; 
"=""11:30""";255;0;720;975;0;255;0;255; ; 
"=""11:45""";535;0;438;973;0;535;0;535; ; 
"=""12:00""";829;0;74;903;18;829;48;894; ; 
"=""12:15""";"1,171";0;43;"1,214";48;"1,171";826;"2,044"; ; 
"=""12:30""";948;0;33;981;24;948;781;"1,753"; ; 
"=""12:45""";974;0;349;"1,323";22;974;202;"1,198"; ; 
"=""13:00""";948;0;293;"1,241";19;948;134;"1,100"; ; 
"=""13:15""";"1,101";51;584;"1,736";5;"1,101";0;"1,106"; ; 
"=""13:30""";837;0;696;"1,532";3;837;19;858; ; 
"=""13:45""";759;0;792;"1,551";2;759;3;764; ; 
"=""14:00""";735;0;821;"1,556";0;735;1;736; ; 
"=""14:15""";868;0;313;"1,182";15;868;157;"1,040"; ; 
"=""14:30""";964;0;188;"1,152";21;964;16;"1,000"; ; 
"=""14:45""";751;0;475;"1,226";9;751;7;768; ; 
"=""15:00""";539;0;506;"1,045";0;539;2;541; ; 
"=""15:15""";462;0;871;"1,333";0;462;0;462; ; 
"=""15:30""";628;0;"1,375";"2,003";1;628;0;629; ; 
"=""15:45""";653;0;248;901;0;653;0;654; ; 
"=""16:00""";428;0;733;"1,161";0;428;1;429; ; 
"=""16:15""";275;0;710;986;0;275;0;275; ; 
"=""16:30""";195;0;822;"1,017";0;195;0;195; ; 
"=""16:45""";167;1;749;917;0;167;0;167; ; 
"=""17:00""";139;0;"1,058";"1,197";0;139;0;139; ; 
"=""17:15""";57;0;"1,524";"1,581";0;57;1;58; ; 
"=""17:30""";49;2;"2,191";"2,242";0;49;0;49; ; 
"=""17:45""";16;0;"1,296";"1,312";0;16;0;16; ; 
"=""18:00""";0;0;"1,349";"1,348";0;0;1;; ; 
"=""18:15""";0;1;"1,515";"1,516";0;0;0;; ; 
"=""18:30""";0;0;"2,408";"2,336";0;0;2;; ; 
"=""18:45""";0;0;"1,381";"1,380";0;0;1;; ; 
"=""19:00"""; ;0;"2,196";;0;;2;; ; 
"=""19:15"""; ;0;"2,137";;0;;1;; ; 
"=""19:30"""; ;0;"2,413";;0;;1;; ; 
"=""19:45"""; ;0;"2,325";;0;;1;; ; 
"=""20:00"""; ;0;"2,577";;0;;0;; ; 
"=""20:15"""; ;0;"3,117";;0;;1;; ; 
"=""20:30"""; ;1;"1,898";;0;;0;; ; 
"=""20:45"""; ;2;"1,684";;0;;0;; ; 
"=""21:00"""; ;0;"1,872";;0;;2;; ; 
"=""21:15"""; ;1;"2,155";;0;;0;; ; 
"=""21:30"""; ;0;"1,574";;0;;0;; ; 
"=""21:45"""; ;0;"1,722";;0;;2;; ; 
"=""22:00"""; ;0;"1,862";;0;;3;; ; 
"=""22:15"""; ;0;"1,447";;0;;0;; ; 
"=""22:30"""; ;0;"1,583";;0;;2;; ; 
"=""22:45"""; ;2;"1,396";;0;;0;; ; 
"=""23:00"""; ;0;"1,372";;0;;2;; ; 
"=""23:15"""; ;0;"1,332";;0;;1;; ; 
"=""23:30"""; ;0;"1,426";;0;;2;; ; 
"=""23:45"""; ;0;"1,217";;0;;2;; ; 
"=""00:00"""; ;0;"2,755";;0;;1;;300;"3,000"
