 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,403";;0;;3;; ; 
"=""00:30"""; ;0;"1,967";;0;;1;; ; 
"=""00:45"""; ;0;"1,906";;0;;0;; ; 
"=""01:00"""; ;0;"1,930";;0;;0;; ; 
"=""01:15"""; ;3;"2,081";;0;;0;; ; 
"=""01:30"""; ;0;"1,639";;0;;2;; ; 
"=""01:45"""; ;0;"2,001";;0;;0;; ; 
"=""02:00"""; ;0;"1,609";;0;;1;; ; 
"=""02:15"""; ;0;"1,964";;0;;1;; ; 
"=""02:30"""; ;0;"1,426";;0;;2;; ; 
"=""02:45"""; ;2;"1,700";;0;;0;; ; 
"=""03:00"""; ;1;"1,479";;0;;0;; ; 
"=""03:15"""; ;0;"1,573";;0;;0;; ; 
"=""03:30"""; ;0;"1,566";;0;;0;; ; 
"=""03:45"""; ;0;"1,427";;0;;0;; ; 
"=""04:00"""; ;0;"1,356";;0;;0;; ; 
"=""04:15"""; ;0;"1,455";;0;;1;; ; 
"=""04:30"""; ;0;"1,458";;0;;0;; ; 
"=""04:45"""; ;1;"1,876";;0;;0;; ; 
"=""05:00"""; ;0;"2,439";;0;;0;; ; 
"=""05:15""";0;0;"1,777";"1,777";0;0;0;; ; 
"=""05:30""";0;0;"2,735";"2,735";0;0;0;; ; 
"=""05:45""";0;0;"1,414";"1,414";0;0;0;; ; 
"=""06:00""";0;0;"1,192";"1,192";0;0;0;; ; 
"=""06:15""";0;0;"1,103";"1,103";0;0;0;; ; 
"=""06:30""";2;0;"2,416";"2,418";0;2;0;2; ; 
"=""06:45""";66;0;"1,051";"1,117";0;66;0;66; ; 
"=""07:00""";129;0;"1,089";"1,218";0;129;0;129; ; 
"=""07:15""";320;0;624;944;0;320;0;320; ; 
"=""07:30""";616;0;440;"1,056";5;616;0;621; ; 
"=""07:45""";688;0;255;943;26;688;30;744; ; 
"=""08:00""";748;0;274;"1,021";26;748;170;943; ; 
"=""08:02"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""08:07"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:15""";905;0;202;"1,107";62;905;227;"1,194"; ; 
"=""08:22"""; ; ; ; ; ; ; ; ; ;"1,890"
"=""08:27"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:30""";"1,006";0;132;"1,138";45;"1,006";428;"1,479"; ; 
"=""08:32"""; ; ; ; ; ; ; ; ; ;"2,640"
"=""08:37"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""08:42"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:45""";937;0;78;"1,014";81;937;799;"1,816"; ; 
"=""09:00""";"1,323";0;389;"1,712";57;"1,323";692;"2,071"; ; 
"=""09:12"""; ; ; ; ; ; ; ; ; ;"2,370"
"=""09:15""";786;0;49;835;40;786;"1,418";"2,244"; ; 
"=""09:17"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:27"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""09:30""";932;0;34;966;41;932;"1,433";"2,406"; ; 
"=""09:32"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:45""";"1,046";0;62;"1,108";70;"1,046";"1,391";"2,507"; ; 
"=""09:47"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""09:52"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:00""";782;0;77;859;77;782;"1,842";"2,701"; ; 
"=""10:02"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""10:07"""; ; ; ; ; ; ; ; ; ;"2,100"
"=""10:12"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""10:15""";818;0;6;824;249;818;"1,678";"2,745"; ; 
"=""10:17"""; ; ; ; ; ; ; ; ; ;"1,320"
"=""10:22"""; ; ; ; ; ; ; ; ; ;"2,550"
"=""10:27"""; ; ; ; ; ; ; ; ; ;"1,920"
"=""10:30""";880;0;145;"1,025";341;880;"1,121";"2,342"; ; 
"=""10:32"""; ; ; ; ; ; ; ; ; ;900
"=""10:37"""; ; ; ; ; ; ; ; ; ;"1,590"
"=""10:42"""; ; ; ; ; ; ; ; ; ;"1,710"
"=""10:45""";939;0;99;"1,038";338;939;799;"2,076"; ; 
"=""10:47"""; ; ; ; ; ; ; ; ; ;"1,470"
"=""10:52"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""11:00""";902;0;21;923;312;902;527;"1,741"; ; 
"=""11:02"""; ; ; ; ; ; ; ; ; ;"1,200"
"=""11:07"""; ; ; ; ; ; ; ; ; ;"1,170"
"=""11:12"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""11:15""";823;0;14;837;308;823;416;"1,546"; ; 
"=""11:17"""; ; ; ; ; ; ; ; ; ;"1,140"
"=""11:27"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""11:30""";790;0;11;801;311;790;317;"1,419"; ; 
"=""11:32"""; ; ; ; ; ; ; ; ; ;"1,980"
"=""11:37"""; ; ; ; ; ; ; ; ; ;"1,200"
"=""11:42"""; ; ; ; ; ; ; ; ; ;"1,170"
"=""11:45""";882;0;26;907;324;882;260;"1,465"; ; 
"=""11:47"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""11:52"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""11:57"""; ; ; ; ; ; ; ; ; ;"1,080"
"=""12:00""";830;0;26;856;322;830;230;"1,382"; ; 
"=""12:02"""; ; ; ; ; ; ; ; ; ;"1,140"
"=""12:07"""; ; ; ; ; ; ; ; ; ;"1,050"
"=""12:12"""; ; ; ; ; ; ; ; ; ;930
"=""12:15""";835;0;12;847;309;835;206;"1,350"; ; 
"=""12:17"""; ; ; ; ; ; ; ; ; ;"1,050"
"=""12:22"""; ; ; ; ; ; ; ; ; ;"1,680"
"=""12:27"""; ; ; ; ; ; ; ; ; ;"1,230"
"=""12:30""";779;0;46;825;337;779;201;"1,317"; ; 
"=""12:32"""; ; ; ; ; ; ; ; ; ;"1,080"
"=""12:37"""; ; ; ; ; ; ; ; ; ;90
"=""12:42"""; ; ; ; ; ; ; ; ; ;"1,140"
"=""12:45""";830;0;79;909;364;830;174;"1,368"; ; 
"=""12:47"""; ; ; ; ; ; ; ; ; ;360
"=""12:52"""; ; ; ; ; ; ; ; ; ;"2,670"
