 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,583";;0;;0;; ; 
"=""00:30"""; ;0;"2,062";;0;;0;; ; 
"=""00:45"""; ;0;"1,420";;0;;0;; ; 
"=""01:00"""; ;0;"1,483";;0;;0;; ; 
"=""01:15"""; ;0;"1,494";;0;;0;; ; 
"=""01:30"""; ;0;"1,278";;0;;0;; ; 
"=""01:45"""; ;0;"1,297";;0;;0;; ; 
"=""02:00"""; ;0;"1,067";;0;;0;; ; 
"=""02:15"""; ;0;"1,188";;0;;0;; ; 
"=""02:30"""; ;0;"1,071";;0;;0;; ; 
"=""02:45"""; ;0;"1,141";;0;;0;; ; 
"=""03:00"""; ;0;"1,176";;0;;0;; ; 
"=""03:15"""; ;0;925;;0;;0;; ; 
"=""03:30"""; ;0;"1,039";;0;;0;; ; 
"=""03:45"""; ;0;"1,340";;0;;0;; ; 
"=""04:00"""; ;0;975;;0;;0;; ; 
"=""04:15"""; ;0;931;;0;;0;; ; 
"=""04:30"""; ;0;927;;0;;0;; ; 
"=""04:45"""; ;0;987;;0;;0;; ; 
"=""05:00"""; ;0;"1,067";;0;;0;; ; 
"=""05:15"""; ;0;"3,088";;0;;0;; ; 
"=""05:30"""; ;0;"1,954";;0;;0;; ; 
"=""05:45"""; ;0;"1,182";;0;;0;; ; 
"=""06:00""";0;0;"1,189";"1,189";0;0;0;; ; 
"=""06:15""";0;0;"1,172";"1,172";0;0;0;; ; 
"=""06:30""";0;0;"1,972";"1,972";0;0;0;0; ; 
"=""06:45""";14;0;"1,089";"1,103";0;14;0;14; ; 
"=""07:00""";75;0;848;923;0;75;0;75; ; 
"=""07:15""";185;0;"1,053";"1,238";0;185;0;185; ; 
"=""07:30""";352;0;550;902;0;352;0;352; ; 
"=""07:45""";572;0;383;956;2;572;0;574; ; 
"=""08:00""";668;0;233;901;16;668;121;805; ; 
"=""08:14"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""08:15""";846;0;274;"1,119";53;846;80;979; ; 
"=""08:19"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:30""";993;0;786;"1,778";30;993;109;"1,131"; ; 
"=""08:39"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""08:44"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""08:45""";614;0;101;716;30;614;153;797; ; 
"=""08:49"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:00""";708;0;59;766;56;708;"1,090";"1,853"; ; 
"=""09:15""";956;0;48;"1,004";43;956;850;"1,849"; ; 
"=""09:30""";"1,756";0;76;"1,832";91;"1,756";65;"1,912"; ; 
"=""09:45""";933;0;23;956;22;933;"1,117";"2,072"; ; 
"=""09:54"""; ; ; ; ; ; ; ; ; ;0
"=""09:59"""; ; ; ; ; ; ; ; ; ;"1,680"
"=""10:00""";720;0;50;770;176;720;"1,274";"2,169"; ; 
"=""10:04"""; ; ; ; ; ; ; ; ; ;900
"=""10:09"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";"1,030";0;91;"1,121";302;"1,030";673;"2,005"; ; 
"=""10:19"""; ; ; ; ; ; ; ; ; ;"2,250"
"=""10:24"""; ; ; ; ; ; ; ; ; ;"1,860"
"=""10:29"""; ; ; ; ; ; ; ; ; ;"1,710"
"=""10:30""";952;0;159;"1,111";343;952;680;"1,974"; ; 
"=""10:34"""; ; ; ; ; ; ; ; ; ;"1,410"
"=""10:39"""; ; ; ; ; ; ; ; ; ;"1,470"
"=""10:44"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""10:45""";"1,015";0;91;"1,106";327;"1,015";572;"1,913"; ; 
"=""10:49"""; ; ; ; ; ; ; ; ; ;"1,380"
"=""10:54"""; ; ; ; ; ; ; ; ; ;480
"=""10:59"""; ; ; ; ; ; ; ; ; ;"1,050"
"=""11:00""";953;0;112;"1,066";349;953;450;"1,752"; ; 
"=""11:04"""; ; ; ; ; ; ; ; ; ;"1,290"
"=""11:09"""; ; ; ; ; ; ; ; ; ;"1,410"
"=""11:14"""; ; ; ; ; ; ; ; ; ;"2,430"
"=""11:15""";889;0;86;975;352;889;375;"1,616"; ; 
"=""11:19"""; ; ; ; ; ; ; ; ; ;"1,260"
"=""11:24"""; ; ; ; ; ; ; ; ; ;"1,200"
"=""11:29"""; ; ; ; ; ; ; ; ; ;"2,250"
"=""11:30""";957;0;19;976;309;957;301;"1,567"; ; 
"=""11:34"""; ; ; ; ; ; ; ; ; ;"1,140"
"=""11:39"""; ; ; ; ; ; ; ; ; ;"1,050"
"=""11:44"""; ; ; ; ; ; ; ; ; ;990
"=""11:45""";852;0;37;889;325;852;234;"1,410"; ; 
"=""11:49"""; ; ; ; ; ; ; ; ; ;"1,050"
"=""11:54"""; ; ; ; ; ; ; ; ; ;"1,020"
"=""11:59"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""12:00""";729;0;9;738;309;729;210;"1,248"; ; 
"=""12:09"""; ; ; ; ; ; ; ; ; ;"1,470"
