 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,075";;0;;1;; ; 
"=""00:30"""; ;1;"2,042";;0;;0;; ; 
"=""00:45"""; ;0;"1,867";;0;;1;; ; 
"=""01:00"""; ;0;"1,901";;0;;0;; ; 
"=""01:15"""; ;0;"1,834";;0;;0;; ; 
"=""01:30"""; ;0;"1,792";;0;;1;; ; 
"=""01:45"""; ;0;"1,835";;0;;0;; ; 
"=""02:00"""; ;0;"1,497";;0;;3;; ; 
"=""02:15"""; ;0;"1,631";;0;;0;; ; 
"=""02:30"""; ;1;"1,850";;0;;0;; ; 
"=""02:45"""; ;0;"1,388";;0;;1;; ; 
"=""03:00"""; ;0;"1,736";;0;;2;; ; 
"=""03:15"""; ;0;"1,740";;0;;1;; ; 
"=""03:30"""; ;0;"1,210";;0;;0;; ; 
"=""03:45"""; ;1;"1,798";;0;;0;; ; 
"=""04:00"""; ;0;"1,284";;0;;0;; ; 
"=""04:15"""; ;0;"1,476";;0;;1;; ; 
"=""04:30"""; ;0;"1,659";;0;;1;; ; 
"=""04:45"""; ;0;"1,215";;0;;1;; ; 
"=""05:00"""; ;0;"2,306";;0;;2;; ; 
"=""05:15"""; ;1;"2,421";;0;;0;; ; 
"=""05:30"""; ;0;"3,287";;0;;0;; ; 
"=""05:45""";0;0;"1,490";"1,489";0;0;1;; ; 
"=""06:00""";0;0;"1,359";"1,358";0;0;1;; ; 
"=""06:15""";0;0;"1,231";"1,228";0;0;4;; ; 
"=""06:30""";10;1;"2,404";"2,414";0;10;0;10; ; 
"=""06:45""";71;0;"1,088";"1,158";0;71;2;73; ; 
"=""07:00""";162;0;892;"1,054";0;162;1;163; ; 
"=""07:15""";437;0;561;997;1;437;0;438; ; 
"=""07:30""";624;0;407;"1,031";8;624;19;650; ; 
"=""07:45""";704;0;238;942;11;704;139;854; ; 
"=""08:00""";914;0;95;"1,009";43;914;467;"1,423"; ; 
"=""08:15""";903;0;33;936;24;903;587;"1,514"; ; 
"=""08:30""";749;0;14;762;12;749;379;"1,139"; ; 
"=""08:45""";789;0;25;814;28;789;968;"1,785"; ; 
"=""08:53"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""08:58"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:00""";950;0;75;"1,025";69;950;"1,175";"2,193"; ; 
"=""09:15""";897;0;33;930;36;897;"1,396";"2,329"; ; 
"=""09:30""";963;0;57;"1,021";57;963;946;"1,967"; ; 
"=""09:43"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""09:45""";690;0;42;732;38;690;"1,658";"2,385"; ; 
"=""09:48"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""09:53"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:00""";786;0;120;906;121;786;"1,672";"2,579"; ; 
"=""10:15""";856;0;67;923;59;856;383;"1,297"; ; 
"=""10:23"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""10:28"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";"1,135";54;84;"1,273";81;"1,135";0;"1,216"; ; 
"=""10:45""";990;0;73;"1,063";76;990;57;"1,123"; ; 
"=""11:00""";755;37;10;801;8;755;0;763; ; 
"=""11:15""";668;0;71;738;69;668;355;"1,091"; ; 
"=""11:30""";828;0;41;869;85;828;496;"1,409"; ; 
"=""11:45""";754;0;78;832;71;754;376;"1,200"; ; 
"=""11:48"""; ; ; ; ; ; ; ; ; ;"2,130"
"=""11:53"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:00""";769;0;71;840;120;769;554;"1,442"; ; 
"=""12:08"""; ; ; ; ; ; ; ; ; ;900
"=""12:13"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:15""";832;0;42;874;70;832;115;"1,017"; ; 
"=""12:30""";862;0;16;878;43;862;51;956; ; 
"=""12:45""";684;823;17;"1,525";11;684;0;695; ; 
"=""13:00""";907;764;42;"1,712";32;907;0;938; ; 
"=""13:15""";"2,464";0;54;"2,518";62;"2,464";402;"2,928"; ; 
"=""13:30""";"2,599";0;23;"2,622";20;"2,599";509;"3,128"; ; 
"=""13:33"""; ; ; ; ; ; ; ; ; ;"1,770"
"=""13:38"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""13:43"""; ; ; ; ; ; ; ; ; ;900
