 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"3,319";;0;;0;; ; 
"=""00:30"""; ;1;"2,168";;0;;0;; ; 
"=""00:45"""; ;0;"2,891";;0;;0;; ; 
"=""01:00"""; ;0;"2,049";;0;;0;; ; 
"=""01:15"""; ;1;"2,560";;0;;0;; ; 
"=""01:30"""; ;0;"2,115";;0;;0;; ; 
"=""01:45"""; ;0;"2,060";;0;;6;; ; 
"=""02:00"""; ;0;"2,590";;0;;0;; ; 
"=""02:15"""; ;0;"2,087";;0;;2;; ; 
"=""02:30"""; ;0;"2,289";;0;;0;; ; 
"=""02:45"""; ;0;"1,783";;0;;1;; ; 
"=""03:00"""; ;0;"2,185";;0;;3;; ; 
"=""03:15"""; ;0;"1,833";;0;;1;; ; 
"=""03:30"""; ;1;"1,915";;0;;0;; ; 
"=""03:45"""; ;0;"1,792";;0;;2;; ; 
"=""04:00"""; ;2;"1,603";;0;;0;; ; 
"=""04:15"""; ;0;"2,344";;0;;0;; ; 
"=""04:30"""; ;0;"1,627";;0;;1;; ; 
"=""04:45"""; ;0;"1,772";;0;;3;; ; 
"=""05:00"""; ;0;"2,180";;0;;0;; ; 
"=""05:15"""; ;0;"1,797";;0;;1;; ; 
"=""05:30"""; ;0;"3,532";;0;;0;; ; 
"=""05:45""";0;0;"2,448";"2,447";0;0;1;; ; 
"=""06:00""";0;0;"2,022";"2,021";0;0;1;; ; 
"=""06:15""";0;0;"1,385";"1,385";0;0;0;; ; 
"=""06:30""";0;0;"2,438";"2,437";0;0;3;2; ; 
"=""06:45""";62;0;"1,367";"1,428";0;62;0;62; ; 
"=""07:00""";138;0;949;"1,086";0;138;1;138; ; 
"=""07:15""";236;0;815;"1,052";0;236;1;237; ; 
"=""07:30""";451;1;681;"1,133";0;451;0;451; ; 
"=""07:45""";715;1;533;"1,249";3;715;0;718; ; 
"=""08:00""";760;0;447;"1,207";24;760;2;786; ; 
"=""08:15""";804;0;267;"1,071";31;804;186;"1,020"; ; 
"=""08:30""";977;0;291;"1,269";45;977;168;"1,190"; ; 
"=""08:35"""; ; ; ; ; ; ; ; ; ;900
"=""08:40"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:45""";993;0;95;"1,088";26;993;438;"1,456"; ; 
"=""09:00""";892;0;23;916;25;892;773;"1,690"; ; 
"=""09:15""";782;0;17;798;14;782;"1,224";"2,019"; ; 
"=""09:20"""; ; ; ; ; ; ; ; ; ;"2,490"
"=""09:25"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";"1,143";0;69;"1,212";66;"1,143";919;"2,127"; ; 
"=""09:35"""; ; ; ; ; ; ; ; ; ;0
"=""09:40"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:45""";"1,029";0;65;"1,093";65;"1,029";"1,164";"2,257"; ; 
"=""09:45"""; ; ; ; ; ; ; ; ; ;"2,730"
"=""09:50"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""09:55"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:00""";802;0;72;874;72;802;"1,472";"2,346"; ; 
"=""10:15""";874;0;66;940;65;874;"1,540";"2,479"; ; 
"=""10:25"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""10:30""";887;0;59;946;105;887;"1,568";"2,559"; ; 
"=""10:30"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:35"""; ; ; ; ; ; ; ; ; ;"1,860"
"=""10:40"""; ; ; ; ; ; ; ; ; ;"1,680"
"=""10:45""";"1,020";0;150;"1,170";293;"1,020";"1,027";"2,340"; ; 
"=""10:45"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:50"""; ; ; ; ; ; ; ; ; ;"2,400"
"=""10:55"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:00""";"1,928";"1,020";362;"3,310";355;"1,928";0;"2,282"; ; 
"=""11:00"""; ; ; ; ; ; ; ; ; ;810
"=""11:05"""; ; ; ; ; ; ; ; ; ;"1,200"
"=""11:10"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""11:15""";"1,682";593;440;"2,715";450;"1,682";0;"2,132"; ; 
"=""11:15"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:20"""; ; ; ; ; ; ; ; ; ;"2,520"
"=""11:25"""; ; ; ; ; ; ; ; ; ;780
"=""11:30""";"1,774";758;417;"2,948";430;"1,774";0;"2,203"; ; 
"=""11:30"""; ; ; ; ; ; ; ; ; ;"2,430"
"=""11:35"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:40"""; ; ; ; ; ; ; ; ; ;"2,310"
"=""11:45""";"1,826";0;384;"2,210";385;"1,826";21;"2,232"; ; 
"=""11:45"""; ; ; ; ; ; ; ; ; ;"1,050"
"=""11:50"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:00""";"1,098";294;327;"1,719";334;"1,098";0;"1,432"; ; 
"=""12:15""";671;322;201;"1,193";223;671;0;893; ; 
"=""12:30""";"1,459";0;82;"1,542";75;"1,459";703;"2,237"; ; 
"=""12:30"""; ; ; ; ; ; ; ; ; ;0
"=""12:35"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:45""";"1,941";0;81;"2,023";83;"1,941";86;"2,110"; ; 
"=""13:00""";"2,080";0;28;"2,108";24;"2,080";494;"2,597"; ; 
