 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,668";;0;;0;; ; 
"=""00:30"""; ;0;"2,070";;0;;0;; ; 
"=""00:45"""; ;0;"1,445";;0;;0;; ; 
"=""01:00"""; ;0;"1,690";;0;;0;; ; 
"=""01:15"""; ;0;"1,629";;0;;0;; ; 
"=""01:30"""; ;0;"1,680";;0;;0;; ; 
"=""01:45"""; ;0;"1,518";;0;;0;; ; 
"=""02:00"""; ;0;"1,494";;0;;0;; ; 
"=""02:15"""; ;0;"1,637";;0;;0;; ; 
"=""02:30"""; ;0;"1,426";;0;;0;; ; 
"=""02:45"""; ;0;"1,532";;0;;0;; ; 
"=""03:00"""; ;0;"1,333";;0;;0;; ; 
"=""03:15"""; ;0;"1,542";;0;;0;; ; 
"=""03:30"""; ;0;"1,197";;0;;0;; ; 
"=""03:45"""; ;0;"1,779";;0;;0;; ; 
"=""04:00"""; ;0;"1,152";;0;;0;; ; 
"=""04:15"""; ;0;"1,523";;0;;0;; ; 
"=""04:30"""; ;0;"1,337";;0;;0;; ; 
"=""04:45"""; ;0;"1,226";;0;;0;; ; 
"=""05:00"""; ;0;"1,836";;0;;0;; ; 
"=""05:15"""; ;0;"2,003";;0;;0;; ; 
"=""05:30"""; ;0;"2,643";;0;;0;; ; 
"=""05:45"""; ;0;"2,639";;0;;0;; ; 
"=""06:00""";0;0;"1,220";"1,220";0;0;0;; ; 
"=""06:15""";0;0;"1,191";"1,191";0;0;0;; ; 
"=""06:30""";0;0;"2,431";"2,431";0;0;0;; ; 
"=""06:45""";10;0;"1,251";"1,261";0;10;0;10; ; 
"=""07:00""";81;0;"1,053";"1,134";0;81;0;81; ; 
"=""07:15""";194;0;993;"1,187";0;194;0;194; ; 
"=""07:30""";293;0;862;"1,155";0;293;0;293; ; 
