 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,970";;0;;0;; ; 
"=""00:30"""; ;0;"2,688";;0;;0;; ; 
"=""00:45"""; ;0;"2,808";;0;;0;; ; 
"=""01:00"""; ;0;"2,264";;0;;0;; ; 
"=""01:15"""; ;0;"2,518";;0;;0;; ; 
"=""01:30"""; ;0;"1,983";;0;;0;; ; 
"=""01:45"""; ;0;"2,583";;0;;0;; ; 
"=""02:00"""; ;0;"1,922";;0;;0;; ; 
"=""02:15"""; ;0;"1,603";;0;;0;; ; 
"=""02:30"""; ;0;"2,239";;0;;0;; ; 
"=""02:45"""; ;0;"1,613";;0;;0;; ; 
"=""03:00"""; ;0;"1,454";;0;;0;; ; 
"=""03:15"""; ;0;"1,899";;0;;0;; ; 
"=""03:30"""; ;0;"2,004";;0;;0;; ; 
"=""03:45"""; ;0;"1,612";;0;;0;; ; 
"=""04:00"""; ;0;"1,735";;0;;0;; ; 
"=""04:15"""; ;0;"2,142";;0;;0;; ; 
"=""04:30"""; ;0;"1,605";;0;;0;; ; 
"=""04:45"""; ;0;"1,636";;0;;0;; ; 
"=""05:00"""; ;0;"2,238";;0;;0;; ; 
"=""05:15"""; ;0;"3,834";;0;;0;; ; 
"=""05:30"""; ;0;"3,234";;0;;0;; ; 
"=""05:45"""; ;0;"1,873";;0;;0;; ; 
"=""06:00""";0;0;"1,210";"1,210";0;0;0;; ; 
"=""06:15""";0;0;"1,330";"1,330";0;0;0;; ; 
"=""06:30""";2;0;"1,924";"1,926";0;2;0;2; ; 
"=""06:45""";86;0;"1,100";"1,186";0;86;0;86; ; 
"=""07:00""";140;0;966;"1,106";0;140;0;140; ; 
"=""07:15""";278;0;644;922;0;278;0;278; ; 
"=""07:30""";618;0;425;"1,043";10;618;27;654; ; 
"=""07:45""";613;0;458;"1,072";8;613;7;628; ; 
"=""08:00""";862;0;241;"1,102";43;862;185;"1,089"; ; 
"=""08:01"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""08:06"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:15""";963;0;244;"1,207";62;963;230;"1,254"; ; 
"=""08:30""";982;0;116;"1,097";41;982;465;"1,487"; ; 
"=""08:36"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""08:41"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:45""";784;0;58;842;57;784;834;"1,675"; ; 
"=""09:00""";928;0;30;958;39;928;"1,008";"1,974"; ; 
"=""09:15""";685;0;21;706;13;685;"1,428";"2,126"; ; 
"=""09:30""";"1,147";0;74;"1,221";78;"1,147";"1,033";"2,258"; ; 
"=""09:45""";747;0;57;803;57;747;"1,667";"2,470"; ; 
"=""10:00""";770;0;33;803;34;770;"1,817";"2,621"; ; 
"=""10:01"""; ; ; ; ; ; ; ; ; ;"2,250"
"=""10:06"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""10:11"""; ; ; ; ; ; ; ; ; ;"1,140"
"=""10:15""";"1,072";0;176;"1,248";256;"1,072";575;"1,902"; ; 
"=""10:16"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""10:21"""; ; ; ; ; ; ; ; ; ;"2,010"
"=""10:30""";970;0;140;"1,110";290;970;851;"2,112"; ; 
"=""10:31"""; ; ; ; ; ; ; ; ; ;0
"=""10:36"""; ; ; ; ; ; ; ; ; ;"1,740"
"=""10:41"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""10:45""";800;0;94;894;326;800;"1,015";"2,141"; ; 
"=""10:51"""; ; ; ; ; ; ; ; ; ;"1,500"
"=""10:56"""; ; ; ; ; ; ; ; ; ;"1,650"
"=""11:00""";789;0;41;830;263;789;673;"1,725"; ; 
"=""11:01"""; ; ; ; ; ; ; ; ; ;"1,410"
"=""11:06"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""11:11"""; ; ; ; ; ; ; ; ; ;"1,380"
"=""11:15""";706;0;57;763;310;706;645;"1,661"; ; 
"=""11:16"""; ; ; ; ; ; ; ; ; ;"1,260"
"=""11:21"""; ; ; ; ; ; ; ; ; ;"1,290"
"=""11:26"""; ; ; ; ; ; ; ; ; ;"2,070"
"=""11:30""";724;0;35;759;328;724;573;"1,625"; ; 
"=""11:31"""; ; ; ; ; ; ; ; ; ;"2,250"
"=""11:36"""; ; ; ; ; ; ; ; ; ;"1,380"
"=""11:41"""; ; ; ; ; ; ; ; ; ;"1,320"
"=""11:45""";810;0;60;869;351;810;494;"1,654"; ; 
"=""11:46"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:51"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""12:00""";833;0;88;921;358;833;412;"1,603"; ; 
"=""12:01"""; ; ; ; ; ; ; ; ; ;"1,950"
"=""12:06"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:15""";800;0;82;882;208;800;273;"1,281"; ; 
"=""12:16"""; ; ; ; ; ; ; ; ; ;"1,290"
"=""12:21"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:26"""; ; ; ; ; ; ; ; ; ;"2,130"
"=""12:30""";825;0;68;893;244;825;255;"1,324"; ; 
"=""12:31"""; ; ; ; ; ; ; ; ; ;"2,160"
"=""12:36"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:45""";"2,331";0;18;"2,348";142;"2,331";140;"2,612"; ; 
"=""12:51"""; ; ; ; ; ; ; ; ; ;"2,490"
"=""12:56"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:00""";"2,583";139;95;"2,817";108;"2,583";0;"2,691"; ; 
"=""13:15""";"1,850";830;59;"2,739";48;"1,850";0;"1,898"; ; 
"=""13:30""";"1,532";999;51;"2,582";59;"1,532";0;"1,591"; ; 
"=""13:45""";"1,542";"1,041";67;"2,650";67;"1,542";0;"1,609"; ; 
"=""14:00""";"2,177";0;59;"2,236";69;"2,177";284;"2,530"; ; 
"=""14:06"""; ; ; ; ; ; ; ; ; ;"2,580"
"=""14:11"""; ; ; ; ; ; ; ; ; ;"3,000"
