 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;2;"1,671";;0;;0;; ; 
"=""00:30"""; ;0;"1,587";;0;;1;; ; 
"=""00:45"""; ;0;"1,717";;0;;0;; ; 
"=""01:00"""; ;0;"1,492";;0;;3;; ; 
"=""01:15"""; ;1;"1,566";;0;;0;; ; 
"=""01:30"""; ;0;"1,384";;0;;2;; ; 
"=""01:45"""; ;0;"1,509";;0;;1;; ; 
"=""02:00"""; ;0;"1,461";;0;;2;; ; 
"=""02:15"""; ;1;"1,504";;0;;0;; ; 
"=""02:30"""; ;0;"1,345";;0;;2;; ; 
"=""02:45"""; ;1;"1,432";;0;;0;; ; 
"=""03:00"""; ;2;"1,304";;0;;0;; ; 
"=""03:15"""; ;0;"1,186";;0;;2;; ; 
"=""03:30"""; ;0;"1,532";;0;;0;; ; 
"=""03:45"""; ;0;"1,367";;0;;1;; ; 
"=""04:00"""; ;0;"1,490";;0;;0;; ; 
"=""04:15"""; ;1;"1,330";;0;;0;; ; 
"=""04:30"""; ;0;811;;0;;1;; ; 
"=""04:45"""; ;0;"1,063";;0;;0;; ; 
"=""05:00"""; ;4;"3,247";;0;;0;; ; 
"=""05:15"""; ;0;"2,574";;0;;0;; ; 
"=""05:30""";0;0;"1,749";"1,749";0;0;1;; ; 
"=""05:45""";0;0;"1,340";"1,340";0;0;0;; ; 
"=""06:00""";0;0;"1,147";"1,146";0;0;2;; ; 
"=""06:15""";0;0;"1,160";"1,160";0;0;0;0; ; 
"=""06:30""";0;0;"1,669";"1,669";0;0;0;0; ; 
"=""06:45""";34;0;"1,062";"1,095";0;34;1;34; ; 
"=""07:00""";67;0;946;"1,013";0;67;1;68; ; 
"=""07:15""";268;1;439;708;0;268;0;268; ; 
"=""07:30""";371;0;326;697;0;371;1;372; ; 
"=""07:45""";419;0;329;748;0;419;1;420; ; 
"=""08:00""";329;0;416;745;0;329;0;329; ; 
"=""08:15""";362;0;786;"1,148";0;362;1;363; ; 
"=""08:30""";728;0;62;790;55;728;209;991; ; 
"=""08:45""";708;0;43;751;42;708;429;"1,179"; ; 
"=""09:00""";744;0;112;856;80;744;137;960; ; 
"=""09:11"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""09:15""";668;0;41;708;37;668;442;"1,146"; ; 
"=""09:16"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";862;0;101;962;101;862;638;"1,600"; ; 
"=""09:45""";578;0;16;593;14;578;676;"1,267"; ; 
"=""10:00""";602;0;21;623;26;602;"1,422";"2,050"; ; 
"=""10:15""";537;0;62;598;57;537;"2,317";"2,910"; ; 
"=""10:21"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""10:26"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";"1,300";0;167;"1,468";150;"1,300";"1,013";"2,463"; ; 
"=""10:31"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""10:36"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";984;0;174;"1,158";182;984;"1,300";"2,466"; ; 
"=""10:51"""; ; ; ; ; ; ; ; ; ;0
"=""10:56"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:00""";844;0;122;966;121;844;"1,071";"2,036"; ; 
"=""11:15""";752;0;94;846;92;752;"1,023";"1,868"; ; 
"=""11:30""";890;0;82;972;85;890;977;"1,952"; ; 
"=""11:31"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""11:36"""; ; ; ; ; ; ; ; ; ;"1,980"
"=""11:41"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";606;0;179;785;266;606;"1,329";"2,201"; ; 
"=""11:46"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""11:51"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:00""";668;0;102;770;127;668;781;"1,576"; ; 
"=""12:06"""; ; ; ; ; ; ; ; ; ;"2,100"
"=""12:11"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:15""";"1,130";0;177;"1,307";183;"1,130";17;"1,331"; ; 
"=""12:16"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""12:21"""; ; ; ; ; ; ; ; ; ;0
"=""12:26"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";"1,010";242;251;"1,502";252;"1,010";0;"1,262"; ; 
