 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15""";0;1;"1,908";"1,909";0;0;0;; ; 
"=""00:30""";0;0;"3,448";"3,448";0;0;0;; ; 
"=""00:45""";0;0;"1,195";"1,195";0;0;0;; ; 
"=""01:00""";0;0;"1,395";"1,394";0;0;1;; ; 
"=""01:15""";0;0;"1,412";"1,412";0;0;0;; ; 
"=""01:30""";0;0;"1,491";"1,490";0;0;1;; ; 
"=""01:45""";0;0;"1,468";"1,467";0;0;1;; ; 
"=""02:00""";0;0;"2,576";"2,574";0;0;2;; ; 
"=""02:15""";0;0;"1,633";"1,633";0;0;1;; ; 
"=""02:30""";0;1;941;942;0;0;0;; ; 
"=""02:45""";0;0;"1,062";"1,060";0;0;2;; ; 
"=""03:00""";0;0;"1,435";"1,435";0;0;0;; ; 
"=""03:15""";0;0;"1,238";"1,238";0;0;0;; ; 
"=""03:30""";0;0;976;975;0;0;0;; ; 
"=""03:45""";0;0;"1,160";"1,159";0;0;1;; ; 
"=""04:00""";0;0;984;982;0;0;1;; ; 
"=""04:15""";0;1;908;910;0;0;0;; ; 
"=""04:30""";0;1;859;860;0;0;0;; ; 
"=""04:45""";0;0;"1,035";"1,034";0;0;2;; ; 
"=""05:00""";0;0;995;994;0;0;1;; ; 
"=""05:15""";0;0;858;859;0;0;0;; ; 
"=""05:30""";0;0;755;755;0;0;0;; ; 
"=""05:45""";0;0;"1,327";"1,326";0;0;2;; ; 
"=""06:00""";0;0;962;961;0;0;2;; ; 
"=""06:15""";0;0;"1,015";"1,014";0;0;1;; ; 
"=""06:30""";0;0;"2,460";"2,458";0;0;2;0; ; 
"=""06:45""";43;1;"1,112";"1,156";0;43;0;43; ; 
"=""07:00""";182;0;915;"1,097";0;182;0;182; ; 
"=""07:15""";286;0;902;"1,187";0;286;1;287; ; 
"=""07:30""";479;0;568;"1,046";0;479;1;480; ; 
"=""07:45""";766;0;418;"1,184";7;766;61;834; ; 
"=""08:00""";782;0;724;"1,506";11;782;129;921; ; 
"=""08:15""";735;0;126;860;41;735;447;"1,223"; ; 
"=""08:30""";850;0;37;887;13;850;580;"1,443"; ; 
"=""08:45""";893;0;31;925;28;893;359;"1,280"; ; 
"=""09:00""";931;0;347;"1,278";20;931;254;"1,205"; ; 
"=""09:13"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""09:15""";719;0;327;"1,046";6;719;20;745; ; 
"=""09:18"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""09:23"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";875;0;30;906;27;875;157;"1,059"; ; 
"=""09:45""";996;161;"1,534";"2,691";42;996;0;"1,038"; ; 
"=""10:00""";871;0;114;985;23;871;204;"1,098"; ; 
"=""10:08"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""10:13"""; ; ; ; ; ; ; ; ; ;"2,250"
"=""10:15""";"1,280";0;67;"1,347";65;"1,280";247;"1,592"; ; 
"=""10:18"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";"1,256";0;123;"1,379";126;"1,256";"1,568";"2,950"; ; 
"=""10:43"""; ; ; ; ; ; ; ; ; ;"2,730"
"=""10:45""";"1,402";0;79;"1,481";82;"1,402";"1,114";"2,598"; ; 
"=""10:48"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:00""";"1,065";0;107;"1,172";107;"1,065";"1,752";"2,924"; ; 
"=""11:15""";"1,330";0;131;"1,461";148;"1,330";881;"2,359"; ; 
"=""11:28"""; ; ; ; ; ; ; ; ; ;"1,890"
"=""11:30""";"1,645";0;110;"1,755";108;"1,645";159;"1,912"; ; 
"=""11:33"""; ; ; ; ; ; ; ; ; ;"2,670"
"=""11:38"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";"1,990";677;280;"2,947";288;"1,990";0;"2,278"; ; 
"=""11:58"""; ; ; ; ; ; ; ; ; ;"2,250"
"=""12:00""";"1,009";0;67;"1,076";64;"1,009";674;"1,747"; ; 
"=""12:03"""; ; ; ; ; ; ; ; ; ;"2,160"
"=""12:08"""; ; ; ; ; ; ; ; ; ;"2,220"
"=""12:13"""; ; ; ; ; ; ; ; ; ;"1,920"
"=""12:15""";788;0;131;919;330;788;"1,344";"2,462"; ; 
"=""12:18"""; ; ; ; ; ; ; ; ; ;"1,890"
"=""12:23"""; ; ; ; ; ; ; ; ; ;"2,550"
"=""12:28"""; ; ; ; ; ; ; ; ; ;"1,710"
"=""12:30""";828;0;45;873;255;828;"1,075";"2,158"; ; 
"=""12:33"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:45""";"1,236";0;55;"1,290";218;"1,236";739;"2,193"; ; 
"=""12:48"""; ; ; ; ; ; ; ; ; ;780
"=""12:53"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:58"""; ; ; ; ; ; ; ; ; ;"2,370"
