 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,167";;0;;1;; ; 
"=""00:30"""; ;0;"1,518";;0;;0;; ; 
"=""00:45"""; ;0;"1,372";;0;;1;; ; 
"=""01:00"""; ;0;"1,225";;0;;1;; ; 
"=""01:15"""; ;0;"1,294";;0;;1;; ; 
"=""01:30"""; ;0;"1,379";;0;;3;; ; 
"=""01:45"""; ;0;918;;0;;1;; ; 
"=""02:00"""; ;1;843;;0;;0;; ; 
"=""02:15"""; ;0;"1,119";;0;;1;; ; 
"=""02:30"""; ;1;"1,022";;0;;0;; ; 
"=""02:45"""; ;0;851;;0;;0;; ; 
"=""03:00"""; ;0;656;;0;;1;; ; 
"=""03:15"""; ;0;"1,000";;0;;1;; ; 
"=""03:30"""; ;0;875;;0;;1;; ; 
"=""03:45"""; ;0;956;;0;;1;; ; 
"=""04:00"""; ;0;619;;0;;2;; ; 
"=""04:15"""; ;1;773;;0;;0;; ; 
"=""04:30"""; ;0;831;;0;;0;; ; 
"=""04:45"""; ;1;846;;0;;0;; ; 
"=""05:00"""; ;0;"1,623";;0;;2;; ; 
"=""05:15"""; ;2;"2,790";;0;;0;; ; 
"=""05:30"""; ;0;"1,392";;0;;2;; ; 
"=""05:45""";0;0;"1,002";"1,002";0;0;0;; ; 
"=""06:00""";0;0;957;956;0;0;1;; ; 
"=""06:15""";0;0;768;768;0;0;0;; ; 
"=""06:30""";0;2;"1,652";"1,654";0;0;0;; ; 
"=""06:45""";0;0;997;996;0;0;1;0; ; 
"=""07:00""";4;0;"1,167";"1,171";0;4;1;5; ; 
"=""07:15""";66;0;"1,168";"1,234";0;66;0;66; ; 
"=""07:30""";84;0;"1,249";"1,332";0;84;1;84; ; 
"=""07:45""";123;1;"1,942";"2,066";0;123;0;123; ; 
"=""08:00""";203;0;866;"1,069";0;203;1;204; ; 
"=""08:15""";324;1;718;"1,043";0;324;0;324; ; 
"=""08:30""";344;0;541;885;0;344;3;346; ; 
"=""08:45""";426;2;882;"1,309";0;426;0;426; ; 
"=""09:00""";468;0;650;"1,118";0;468;1;469; ; 
"=""09:15""";531;0;"1,228";"1,760";0;531;1;532; ; 
"=""09:30""";720;0;231;951;0;720;2;722; ; 
"=""09:45""";708;0;111;819;1;708;1;709; ; 
"=""10:00""";662;0;"1,072";"1,734";0;662;1;663; ; 
"=""10:15""";638;0;937;"1,575";5;638;3;645; ; 
"=""10:30""";927;4;"1,015";"1,946";8;927;0;935; ; 
"=""10:45""";"1,113";0;551;"1,664";77;"1,113";111;"1,300"; ; 
"=""10:56"""; ; ; ; ; ; ; ; ; ;"2,730"
"=""11:00""";"1,336";0;"1,230";"2,566";90;"1,336";242;"1,668"; ; 
"=""11:01"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:11"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""11:15""";"1,080";0;308;"1,388";25;"1,080";553;"1,658"; ; 
"=""11:16"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:30""";"1,484";0;348;"1,832";2;"1,484";23;"1,509"; ; 
"=""11:45""";"1,465";0;376;"1,841";10;"1,465";146;"1,620"; ; 
"=""12:00""";"1,609";0;141;"1,750";25;"1,609";203;"1,836"; ; 
"=""12:15""";"1,876";0;"1,205";"3,081";36;"1,876";346;"2,259"; ; 
"=""12:30""";"1,661";0;370;"2,031";17;"1,661";106;"1,783"; ; 
"=""12:45""";"1,821";0;222;"2,043";26;"1,821";216;"2,063"; ; 
"=""13:00""";"1,606";0;33;"1,639";34;"1,606";"1,118";"2,758"; ; 
"=""13:15""";"1,098";0;38;"1,135";22;"1,098";743;"1,862"; ; 
"=""13:30""";"1,183";0;79;"1,262";41;"1,183";458;"1,682"; ; 
"=""13:45""";"1,016";0;32;"1,048";31;"1,016";875;"1,922"; ; 
"=""14:00""";"2,080";0;27;"2,107";22;"2,080";203;"2,304"; ; 
"=""14:06"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""14:11"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:15""";"1,617";0;45;"1,662";45;"1,617";50;"1,711"; ; 
"=""14:30""";"2,075";115;99;"2,289";106;"2,075";0;"2,181"; ; 
"=""14:41"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""14:45""";"1,163";0;22;"1,185";16;"1,163";994;"2,173"; ; 
"=""14:46"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""15:00""";"1,270";0;42;"1,312";35;"1,270";416;"1,720"; ; 
"=""15:15""";"1,558";"1,362";80;"3,000";84;"1,558";0;"1,642"; ; 
"=""15:30""";"1,289";45;138;"1,472";16;"1,289";0;"1,305"; ; 
"=""15:45""";"1,180";0;175;"1,355";16;"1,180";27;"1,223"; ; 
"=""16:00""";938;0;456;"1,394";0;938;1;939; ; 
"=""16:15""";725;1;827;"1,553";0;725;0;725; ; 
"=""16:30""";691;0;453;"1,145";0;691;0;691; ; 
"=""16:45""";450;0;354;805;0;450;1;451; ; 
"=""17:00""";255;0;"1,357";"1,613";0;255;1;256; ; 
"=""17:15""";201;0;"2,749";"2,950";0;201;0;201; ; 
"=""17:30""";85;2;"1,778";"1,865";0;85;0;85; ; 
"=""17:45""";66;0;"1,462";"1,529";0;66;2;68; ; 
"=""18:00""";25;1;"1,469";"1,495";0;25;0;25; ; 
"=""18:15""";0;0;"2,210";"2,209";0;0;1;0; ; 
"=""18:30""";0;0;"2,756";"2,755";0;0;1;; ; 
"=""18:45""";0;0;"3,622";"4,329";0;0;2;; ; 
"=""19:00""";0;1;"6,650";"6,651";0;0;0;; ; 
"=""19:15"""; ;1;"4,872";;0;;0;; ; 
"=""19:30"""; ;0;"3,426";;0;;0;; ; 
"=""19:45"""; ;1;"3,453";;0;;0;; ; 
"=""20:00"""; ;1;"5,187";;0;;0;; ; 
"=""20:15"""; ;0;"3,506";;0;;0;; ; 
"=""20:30"""; ;0;"2,537";;0;;0;; ; 
"=""20:45"""; ;1;"2,971";;0;;0;; ; 
"=""21:00"""; ;0;"2,528";;0;;4;; ; 
"=""21:15"""; ;0;"2,395";;0;;1;; ; 
"=""21:30"""; ;1;"2,120";;0;;0;; ; 
"=""21:45"""; ;0;"2,123";;0;;0;; ; 
"=""22:00"""; ;0;"2,188";;0;;2;; ; 
"=""22:15"""; ;0;"1,664";;0;;1;; ; 
"=""22:30"""; ;0;"1,950";;0;;0;; ; 
"=""22:45"""; ;0;"1,921";;0;;0;; ; 
"=""23:00"""; ;0;"1,635";;0;;0;; ; 
"=""23:15"""; ;0;"1,673";;0;;0;; ; 
"=""23:30"""; ;0;"1,835";;0;;0;; ; 
"=""23:45"""; ;0;"1,619";;0;;0;; ; 
"=""00:00"""; ;0;"1,718";;0;;0;;300;"3,000"
