 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,218";;0;;0;; ; 
"=""00:30"""; ;0;"2,307";;0;;0;; ; 
"=""00:45"""; ;0;"2,302";;0;;0;; ; 
"=""01:00"""; ;0;"2,162";;0;;0;; ; 
"=""01:15"""; ;0;"2,293";;0;;0;; ; 
"=""01:30"""; ;0;"2,121";;0;;0;; ; 
"=""01:45"""; ;0;"1,965";;0;;0;; ; 
"=""02:00"""; ;0;"2,174";;0;;0;; ; 
"=""02:15"""; ;0;"2,228";;0;;0;; ; 
"=""02:30"""; ;0;"1,987";;0;;0;; ; 
"=""02:45"""; ;0;"1,862";;0;;0;; ; 
"=""03:00"""; ;0;"2,098";;0;;0;; ; 
"=""03:15"""; ;0;"1,918";;0;;0;; ; 
"=""03:30"""; ;0;"1,933";;0;;0;; ; 
"=""03:45"""; ;0;"1,891";;0;;0;; ; 
"=""04:00"""; ;0;"1,702";;0;;0;; ; 
"=""04:15"""; ;0;"1,764";;0;;0;; ; 
"=""04:30"""; ;0;"1,642";;0;;0;; ; 
"=""04:45"""; ;0;"1,721";;0;;0;; ; 
"=""05:00"""; ;0;"2,216";;0;;0;; ; 
"=""05:15"""; ;0;"2,024";;0;;0;; ; 
"=""05:30""";0;0;"3,015";"3,015";0;0;0;; ; 
"=""05:45""";0;0;"1,899";"1,899";0;0;0;; ; 
"=""06:00""";0;0;"1,217";"1,217";0;0;0;; ; 
"=""06:15""";0;0;"1,426";"1,426";0;0;0;0; ; 
"=""06:30""";8;0;"2,129";"2,137";0;8;0;8; ; 
"=""06:45""";83;0;"1,223";"1,306";0;83;0;83; ; 
"=""07:00""";132;0;"1,590";"1,722";0;132;0;132; ; 
"=""07:15""";413;0;892;"1,305";0;413;0;413; ; 
"=""07:30""";620;0;781;"1,401";1;620;0;621; ; 
"=""07:45""";778;0;600;"1,378";18;778;29;825; ; 
"=""08:00""";692;0;809;"1,501";14;692;124;829; ; 
"=""08:15""";799;0;381;"1,180";31;799;103;933; ; 
"=""08:30""";296;0;636;932;0;296;1;297; ; 
"=""08:45""";399;1;651;"1,051";0;399;0;399; ; 
"=""09:00""";538;0;399;937;17;538;18;573; ; 
"=""09:01"""; ; ; ; ; ; ; ; ; ;"2,190"
"=""09:06"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:15""";779;0;111;890;48;779;856;"1,683"; ; 
"=""09:21"""; ; ; ; ; ; ; ; ; ;"2,640"
"=""09:26"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";702;0;525;"1,227";45;702;132;879; ; 
"=""09:45""";858;0;372;"1,229";32;858;22;911; ; 
"=""10:00""";"1,011";0;294;"1,305";56;"1,011";181;"1,248"; ; 
"=""10:15""";562;0;122;683;131;562;"1,136";"1,828"; ; 
"=""10:16"""; ; ; ; ; ; ; ; ; ;0
"=""10:21"""; ; ; ; ; ; ; ; ; ;"2,100"
"=""10:26"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";425;0;87;513;86;425;"1,733";"2,244"; ; 
"=""10:45""";390;0;26;416;18;390;898;"1,306"; ; 
"=""11:00""";428;0;19;447;21;428;338;786; ; 
"=""11:15""";409;0;38;447;51;409;322;781; ; 
"=""11:21"""; ; ; ; ; ; ; ; ; ;"2,130"
"=""11:26"""; ; ; ; ; ; ; ; ; ;"1,860"
"=""11:30""";412;0;120;533;212;412;"1,111";"1,735"; ; 
"=""11:31"""; ; ; ; ; ; ; ; ; ;"1,770"
"=""11:36"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";556;0;21;577;59;556;588;"1,202"; ; 
"=""12:00""";559;0;51;611;65;559;470;"1,094"; ; 
"=""12:15""";591;0;12;603;11;591;68;670; ; 
"=""12:30""";560;0;15;575;16;560;194;770; ; 
"=""12:45""";516;0;11;526;13;516;315;843; ; 
"=""12:46"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""12:51"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:00""";457;0;39;496;49;457;303;809; ; 
"=""13:15""";88;334;11;433;11;88;0;99; ; 
"=""13:30""";0;437;23;456;13;0;0;9; ; 
"=""13:45""";0;825;34;858;41;0;0;39; ; 
"=""14:00""";34;513;10;557;8;34;0;42; ; 
"=""14:15""";11;574;13;599;12;11;0;23; ; 
"=""14:30""";23;458;13;494;14;23;0;37; ; 
"=""14:45""";91;320;11;421;9;91;0;100; ; 
"=""15:00""";162;323;16;501;14;162;0;176; ; 
"=""15:15""";125;373;26;523;27;125;0;152; ; 
"=""15:16"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""15:21"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""15:30""";145;"1,329";76;"1,551";74;145;0;219; ; 
"=""15:45""";302;451;28;781;27;302;0;329; ; 
"=""16:00""";465;211;124;801;8;465;0;473; ; 
"=""16:15""";466;0;276;742;0;466;0;466; ; 
"=""16:30""";284;0;658;942;0;284;0;284; ; 
"=""16:45""";237;0;"1,495";"1,732";0;237;0;237; ; 
"=""17:00""";199;0;"1,761";"1,959";0;199;1;200; ; 
"=""17:15""";159;0;"2,384";"2,543";0;159;1;160; ; 
"=""17:30""";120;0;"1,844";"1,964";0;120;2;122; ; 
"=""17:45""";70;0;"1,446";"1,516";0;70;0;70; ; 
"=""18:00""";12;423;823;"1,257";6;12;0;18; ; 
"=""18:15""";0;412;"2,030";"2,441";1;0;0;; ; 
"=""18:30""";0;0;"1,931";"1,929";0;0;2;; ; 
"=""18:45""";0;0;"3,207";"2,697";0;0;0;; ; 
"=""19:00""";0;0;"3,221";"3,221";0;0;0;; ; 
"=""19:15""";0;0;"2,759";"2,849";0;0;0;; ; 
"=""19:30"""; ;1;"2,544";;0;;0;; ; 
"=""19:45"""; ;0;"2,592";;0;;1;; ; 
"=""20:00"""; ;0;"2,355";;0;;1;; ; 
"=""20:15"""; ;0;"2,305";;0;;1;; ; 
"=""20:30"""; ;0;"1,862";;0;;0;; ; 
"=""20:45"""; ;0;"3,259";;0;;0;; ; 
"=""21:00"""; ;0;"2,436";;0;;0;; ; 
"=""21:15"""; ;0;"2,456";;0;;0;; ; 
"=""21:30"""; ;0;"2,398";;0;;0;; ; 
"=""21:45"""; ;0;"2,072";;0;;0;; ; 
"=""22:00"""; ;0;"2,186";;0;;0;; ; 
"=""22:15"""; ;0;"2,038";;0;;0;; ; 
"=""22:30"""; ;0;"2,019";;0;;0;; ; 
"=""22:45"""; ;0;"2,687";;0;;0;; ; 
"=""23:00"""; ;0;"2,795";;0;;0;; ; 
"=""23:15"""; ;0;"3,380";;0;;0;; ; 
"=""23:30"""; ;0;"2,960";;0;;0;; ; 
"=""23:45"""; ;0;"2,606";;0;;0;; ; 
"=""00:00"""; ;0;"2,055";;0;;0;;300;"3,000"
