 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;1;"1,839";;0;;0;; ; 
"=""00:30"""; ;0;"1,658";;0;;0;; ; 
"=""00:45"""; ;1;"1,805";;0;;0;; ; 
"=""01:00"""; ;2;"1,670";;0;;0;; ; 
"=""01:15"""; ;0;"1,509";;0;;0;; ; 
"=""01:30"""; ;0;"1,429";;0;;0;; ; 
"=""01:45"""; ;0;"1,806";;0;;0;; ; 
"=""02:00"""; ;2;"1,673";;0;;0;; ; 
"=""02:15"""; ;0;"1,429";;0;;1;; ; 
"=""02:30"""; ;0;"1,514";;0;;0;; ; 
"=""02:45"""; ;0;"1,339";;0;;1;; ; 
"=""03:00"""; ;0;"1,204";;0;;1;; ; 
"=""03:15"""; ;0;"1,434";;0;;1;; ; 
"=""03:30"""; ;1;"1,231";;0;;0;; ; 
"=""03:45"""; ;0;"1,216";;0;;2;; ; 
"=""04:00"""; ;0;"1,407";;0;;0;; ; 
"=""04:15"""; ;1;"1,386";;0;;0;; ; 
"=""04:30"""; ;0;"1,237";;0;;0;; ; 
"=""04:45"""; ;0;"1,246";;0;;1;; ; 
"=""05:00"""; ;0;"1,544";;0;;0;; ; 
"=""05:15"""; ;0;"2,082";;0;;0;; ; 
"=""05:30"""; ;1;"3,095";;0;;0;; ; 
"=""05:45"""; ;0;"1,432";;0;;1;; ; 
"=""06:00""";0;1;"1,358";"1,358";0;0;0;; ; 
"=""06:15""";0;0;"1,117";"1,114";0;0;3;; ; 
"=""06:30""";0;0;"1,737";"1,737";0;0;0;; ; 
"=""06:45""";0;0;"1,138";"1,137";0;0;2;; ; 
"=""07:00""";2;0;"1,415";"1,417";0;2;1;3; ; 
"=""07:15""";74;0;"1,090";"1,164";0;74;0;74; ; 
"=""07:30""";148;0;"1,031";"1,179";0;148;0;148; ; 
"=""07:45""";267;0;"2,198";"2,465";0;267;0;267; ; 
"=""08:00""";374;0;"1,330";"1,704";0;374;0;374; ; 
"=""08:15""";484;0;732;"1,216";0;484;1;485; ; 
"=""08:30""";782;0;350;"1,132";0;782;3;784; ; 
"=""08:45""";869;0;121;990;21;869;31;921; ; 
"=""09:00""";928;0;38;965;31;928;212;"1,170"; ; 
"=""09:15""";923;0;650;"1,573";28;923;117;"1,068"; ; 
"=""09:30""";892;0;135;"1,027";22;892;11;924; ; 
"=""09:45""";897;0;62;959;40;897;126;"1,063"; ; 
"=""10:00""";767;0;194;961;16;767;27;809; ; 
"=""10:15""";885;0;36;921;27;885;338;"1,249"; ; 
"=""10:25"""; ; ; ; ; ; ; ; ; ;"2,730"
"=""10:30""";"1,511";0;727;"2,238";45;"1,511";163;"1,719"; ; 
"=""10:30"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";"1,130";0;181;"1,310";27;"1,130";267;"1,424"; ; 
"=""11:00""";"1,002";0;40;"1,042";37;"1,002";"1,001";"2,039"; ; 
"=""11:15""";"1,061";0;94;"1,154";100;"1,061";"1,168";"2,328"; ; 
"=""11:30""";"1,603";0;48;"1,651";44;"1,603";155;"1,802"; ; 
"=""11:45""";"1,109";0;55;"1,163";49;"1,109";693;"1,850"; ; 
"=""12:00""";973;0;57;"1,030";55;973;877;"1,906"; ; 
"=""12:15""";"1,190";0;44;"1,234";46;"1,190";624;"1,860"; ; 
"=""12:30""";"1,209";0;46;"1,255";40;"1,209";665;"1,914"; ; 
"=""12:45""";"1,337";0;82;"1,419";83;"1,337";441;"1,861"; ; 
"=""12:45"""; ; ; ; ; ; ; ; ; ;"1,740"
"=""12:50"""; ; ; ; ; ; ; ; ; ;240
"=""12:55"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:00""";"1,402";0;87;"1,489";83;"1,402";351;"1,835"; ; 
"=""13:15""";"2,296";37;39;"2,372";36;"2,296";0;"2,332"; ; 
"=""13:20"""; ; ; ; ; ; ; ; ; ;"2,370"
"=""13:25"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";"2,182";228;32;"2,442";33;"2,182";0;"2,215"; ; 
"=""13:35"""; ; ; ; ; ; ; ; ; ;"1,890"
"=""13:40"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:45""";"2,119";43;24;"2,186";20;"2,119";0;"2,138"; ; 
"=""14:00""";"1,992";99;34;"2,125";30;"1,992";0;"2,022"; ; 
"=""14:15""";"1,811";359;30;"2,200";27;"1,811";0;"1,838"; ; 
"=""14:25"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""14:30""";"1,442";"1,135";76;"2,653";79;"1,442";0;"1,521"; ; 
"=""14:30"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:45""";"1,346";"1,059";52;"2,457";36;"1,346";0;"1,382"; ; 
"=""15:00""";"1,063";137;"1,552";"2,752";6;"1,063";0;"1,069"; ; 
"=""15:15""";"1,066";0;"1,571";"2,638";0;"1,066";1;"1,067"; ; 
"=""15:30""";"1,010";1;442;"1,453";12;"1,010";0;"1,022"; ; 
"=""15:45""";893;1;563;"1,457";7;893;0;900; ; 
"=""16:00""";636;0;969;"1,605";0;636;3;639; ; 
"=""16:15""";522;0;955;"1,477";0;522;0;522; ; 
"=""16:30""";351;0;"1,016";"1,367";0;351;2;353; ; 
"=""16:45""";301;0;"1,481";"1,782";0;301;0;301; ; 
"=""17:00""";210;0;"1,985";"2,196";0;210;0;210; ; 
"=""17:15""";142;0;"3,149";"3,291";0;142;3;144; ; 
"=""17:30""";105;0;"3,646";"3,751";0;105;1;106; ; 
"=""17:45""";43;0;"3,279";"3,322";0;43;0;43; ; 
"=""18:00""";4;1;"3,512";"3,517";0;4;0;4; ; 
"=""18:15""";0;0;"3,843";"3,843";0;0;1;; ; 
"=""18:30""";0;0;"3,696";"3,585";0;0;1;; ; 
"=""18:45""";0;1;"3,402";"3,402";0;0;0;; ; 
"=""19:00""";0;0;"3,026";"3,097";0;0;2;; ; 
"=""19:15"""; ;0;"3,510";;0;;1;; ; 
"=""19:30"""; ;1;"3,916";;0;;0;; ; 
"=""19:45"""; ;0;"3,372";;0;;2;; ; 
"=""20:00"""; ;0;"2,875";;0;;0;; ; 
