 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,684";;0;;1;; ; 
"=""00:30"""; ;0;"1,230";;0;;1;; ; 
"=""00:45"""; ;0;"1,650";;0;;0;; ; 
"=""01:00"""; ;0;"1,439";;0;;0;; ; 
"=""01:15"""; ;0;"2,808";;0;;0;; ; 
"=""01:30"""; ;0;"1,782";;0;;3;; ; 
"=""01:45"""; ;0;"1,607";;0;;2;; ; 
"=""02:00"""; ;0;"1,189";;0;;1;; ; 
"=""02:15"""; ;0;"1,180";;0;;1;; ; 
"=""02:30"""; ;0;"1,082";;0;;2;; ; 
"=""02:45"""; ;0;"1,243";;0;;1;; ; 
"=""03:00"""; ;0;"1,280";;0;;2;; ; 
"=""03:15"""; ;0;"1,088";;0;;3;; ; 
"=""03:30"""; ;2;"1,243";;0;;0;; ; 
"=""03:45"""; ;0;972;;0;;0;; ; 
"=""04:00"""; ;0;"1,011";;0;;2;; ; 
"=""04:15"""; ;0;"1,010";;0;;0;; ; 
"=""04:30"""; ;0;"1,031";;0;;0;; ; 
"=""04:45"""; ;1;612;;0;;0;; ; 
"=""05:00"""; ;0;"1,371";;0;;2;; ; 
"=""05:15"""; ;0;954;;0;;4;; ; 
"=""05:30"""; ;0;"2,130";;0;;1;; ; 
"=""05:45"""; ;0;"2,270";;0;;2;; ; 
"=""06:00"""; ;0;"1,448";;0;;0;; ; 
"=""06:15"""; ;0;"1,614";;0;;1;; ; 
"=""06:30""";0;0;"1,523";"1,522";0;0;1;; ; 
"=""06:45""";0;0;"1,231";"1,231";0;0;0;; ; 
"=""07:00""";0;0;"1,216";"1,215";0;0;1;0; ; 
"=""07:15""";27;0;"1,153";"1,180";0;27;0;27; ; 
