 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,913";;0;;0;; ; 
"=""00:30"""; ;0;"2,807";;0;;0;; ; 
"=""00:45"""; ;0;"2,873";;0;;0;; ; 
"=""01:00"""; ;0;"1,723";;0;;0;; ; 
"=""01:15"""; ;0;"2,433";;0;;0;; ; 
"=""01:30"""; ;0;"1,706";;0;;0;; ; 
"=""01:45"""; ;0;"2,329";;0;;0;; ; 
"=""02:00"""; ;0;"2,096";;0;;0;; ; 
"=""02:15"""; ;0;"1,866";;0;;0;; ; 
"=""02:30"""; ;0;"2,166";;0;;0;; ; 
"=""02:45"""; ;0;"1,366";;0;;0;; ; 
"=""03:00"""; ;0;"2,092";;0;;0;; ; 
"=""03:15"""; ;0;"2,079";;0;;0;; ; 
"=""03:30"""; ;0;"1,736";;0;;0;; ; 
"=""03:45"""; ;0;"1,849";;0;;0;; ; 
"=""04:00"""; ;0;"1,531";;0;;0;; ; 
"=""04:15"""; ;0;"1,756";;0;;0;; ; 
"=""04:30"""; ;0;"1,598";;0;;0;; ; 
"=""04:45"""; ;0;"1,548";;0;;0;; ; 
"=""05:00"""; ;0;"2,449";;0;;0;; ; 
"=""05:15""";0;0;"2,375";"2,375";0;0;0;; ; 
"=""05:30""";0;0;"2,900";"2,900";0;0;0;; ; 
"=""05:45""";0;0;"3,413";"3,413";0;0;0;; ; 
"=""06:00""";0;0;"1,349";"1,349";0;0;0;; ; 
"=""06:15""";0;0;"1,235";"1,235";0;0;0;; ; 
"=""06:30""";1;0;978;979;0;1;0;1; ; 
"=""06:45""";65;0;919;984;0;65;0;65; ; 
"=""07:00""";163;0;672;835;0;163;0;163; ; 
"=""07:15""";293;0;629;922;0;293;0;293; ; 
"=""07:30""";566;0;373;939;3;566;0;569; ; 
"=""07:38"""; ; ; ; ; ; ; ; ;300; 
"=""07:39"""; ; ; ; ; ; ; ; ; ;630
"=""07:39"""; ; ; ; ; ; ; ; ; ;660
"=""07:44"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""07:45""";594;0;292;886;26;594;16;635; ; 
"=""08:00""";723;0;301;"1,024";43;723;93;859; ; 
"=""08:15""";635;0;102;736;27;635;307;968; ; 
"=""08:30""";862;0;576;"1,438";57;862;195;"1,113"; ; 
"=""08:45""";628;0;40;668;40;628;589;"1,257"; ; 
"=""09:00""";561;0;12;573;12;561;"1,187";"1,759"; ; 
"=""09:04"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""09:09"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:15""";749;0;65;813;60;749;"1,101";"1,910"; ; 
"=""09:29"""; ; ; ; ; ; ; ; ; ;"2,640"
"=""09:30""";927;0;55;982;59;927;"1,156";"2,142"; ; 
"=""09:34"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:45""";542;0;54;595;53;542;"1,683";"2,277"; ; 
"=""10:00""";734;0;75;810;99;734;"1,611";"2,444"; ; 
"=""10:04"""; ; ; ; ; ; ; ; ; ;"1,830"
"=""10:09"""; ; ; ; ; ; ; ; ; ;"1,710"
"=""10:14"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""10:15""";704;0;12;716;270;704;"1,244";"2,218"; ; 
"=""10:19"""; ; ; ; ; ; ; ; ; ;"1,470"
"=""10:24"""; ; ; ; ; ; ; ; ; ;"1,410"
"=""10:29"""; ; ; ; ; ; ; ; ; ;"1,290"
"=""10:30""";610;0;34;644;324;610;919;"1,853"; ; 
"=""10:34"""; ; ; ; ; ; ; ; ; ;"1,260"
"=""10:39"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""10:44"""; ; ; ; ; ; ; ; ; ;600
"=""10:45""";584;0;9;593;308;584;641;"1,533"; ; 
"=""10:49"""; ; ; ; ; ; ; ; ; ;"1,080"
"=""10:54"""; ; ; ; ; ; ; ; ; ;"1,050"
"=""10:59"""; ; ; ; ; ; ; ; ; ;990
"=""11:00""";572;0;22;593;316;572;429;"1,316"; ; 
"=""11:04"""; ; ; ; ; ; ; ; ; ;810
"=""11:09"""; ; ; ; ; ; ; ; ; ;870
"=""11:14"""; ; ; ; ; ; ; ; ; ;810
"=""11:15""";492;0;14;506;315;492;321;"1,128"; ; 
"=""11:30""";460;0;40;500;334;460;236;"1,031"; ; 
"=""11:34"""; ; ; ; ; ; ; ; ; ;840
"=""11:44"""; ; ; ; ; ; ; ; ; ;780
"=""11:45""";529;0;11;539;311;529;172;"1,011"; ; 
"=""11:49"""; ; ; ; ; ; ; ; ; ;810
"=""11:54"""; ; ; ; ; ; ; ; ; ;300
"=""11:59"""; ; ; ; ; ; ; ; ; ;780
"=""12:00""";490;0;17;507;311;490;143;944; ; 
"=""12:04"""; ; ; ; ; ; ; ; ; ;480
"=""12:09"""; ; ; ; ; ; ; ; ; ;600
"=""12:14"""; ; ; ; ; ; ; ; ; ;870
"=""12:15""";516;0;39;555;338;516;121;974; ; 
"=""12:19"""; ; ; ; ; ; ; ; ; ;900
"=""12:29"""; ; ; ; ; ; ; ; ; ;870
"=""12:30""";635;0;19;654;324;635;109;"1,068"; ; 
"=""12:34"""; ; ; ; ; ; ; ; ; ;840
"=""12:39"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""12:44"""; ; ; ; ; ; ; ; ; ;"2,130"
"=""12:45""";663;0;50;713;333;663;101;"1,097"; ; 
"=""12:49"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:54"""; ; ; ; ; ; ; ; ; ;0
"=""12:59"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:00""";"1,905";117;179;"2,201";283;"1,905";0;"2,188"; ; 
"=""13:15""";"1,905";831;201;"2,938";213;"1,905";0;"2,118"; ; 
"=""13:24"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""13:29"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""13:30""";"1,746";"1,673";316;"3,734";312;"1,746";0;"2,057"; ; 
"=""13:34"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:45""";"1,733";"1,396";288;"3,417";294;"1,733";0;"2,027"; ; 
"=""13:54"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""13:59"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:00""";"1,482";"1,672";333;"3,486";263;"1,482";0;"1,745"; ; 
"=""14:15""";"1,411";998;755;"3,164";162;"1,411";0;"1,573"; ; 
"=""14:30""";"1,354";767;916;"3,038";97;"1,354";0;"1,451"; ; 
"=""14:45""";"1,128";374;22;"1,523";20;"1,128";0;"1,148"; ; 
"=""15:00""";903;360;104;"1,367";23;903;0;926; ; 
"=""15:15""";839;25;"1,403";"2,267";18;839;0;857; ; 
"=""15:30""";668;0;"1,408";"2,076";0;668;0;668; ; 
"=""15:45""";641;0;"1,005";"1,646";0;641;0;641; ; 
"=""16:00""";770;0;611;"1,381";0;770;0;770; ; 
"=""16:15""";741;0;189;930;0;741;1;742; ; 
"=""16:30""";504;0;457;961;0;504;0;504; ; 
"=""16:45""";423;1;515;939;0;423;0;423; ; 
"=""17:00""";254;0;"1,529";"1,783";0;254;2;256; ; 
"=""17:15""";140;0;"1,739";"1,879";0;140;0;140; ; 
