 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,587";;0;;0;; ; 
"=""00:30"""; ;0;"1,941";;0;;0;; ; 
"=""00:45"""; ;0;"1,479";;0;;0;; ; 
"=""01:00"""; ;0;"2,126";;0;;0;; ; 
"=""01:15"""; ;0;"1,410";;0;;0;; ; 
"=""01:30"""; ;0;"1,521";;0;;0;; ; 
"=""01:45"""; ;0;"1,237";;0;;0;; ; 
"=""02:00"""; ;0;"1,530";;0;;0;; ; 
"=""02:15"""; ;0;"1,163";;0;;0;; ; 
"=""02:30"""; ;0;"1,589";;0;;0;; ; 
"=""02:45"""; ;0;892;;0;;0;; ; 
"=""03:00"""; ;0;"1,059";;0;;0;; ; 
"=""03:15"""; ;0;"1,406";;0;;0;; ; 
"=""03:30"""; ;0;"1,037";;0;;0;; ; 
"=""03:45"""; ;0;"1,326";;0;;0;; ; 
"=""04:00"""; ;0;890;;0;;0;; ; 
"=""04:15"""; ;0;"1,115";;0;;0;; ; 
"=""04:30"""; ;0;"1,099";;0;;0;; ; 
"=""04:45"""; ;0;843;;0;;0;; ; 
"=""05:00"""; ;0;"1,135";;0;;0;; ; 
"=""05:15"""; ;0;"1,861";;0;;0;; ; 
"=""05:30"""; ;0;"2,833";;0;;0;; ; 
"=""05:45"""; ;0;962;;0;;0;; ; 
"=""06:00"""; ;0;967;;0;;0;; ; 
"=""06:15""";0;0;"1,014";"1,014";0;0;0;; ; 
"=""06:30""";0;0;"1,873";"1,873";0;0;0;; ; 
"=""06:45""";0;0;"1,818";"1,818";0;0;0;0; ; 
"=""07:00""";33;0;"1,077";"1,110";0;33;0;33; ; 
"=""07:15""";102;0;897;999;0;102;0;102; ; 
"=""07:30""";186;0;"1,616";"1,802";0;186;0;186; ; 
"=""07:45""";419;0;432;851;0;419;0;419; ; 
"=""08:00""";722;0;"1,328";"2,050";0;722;0;722; ; 
"=""08:15""";771;0;342;"1,113";13;771;37;821; ; 
"=""08:30""";626;1;385;"1,012";0;626;0;626; ; 
"=""08:45""";566;0;"1,426";"1,992";0;566;4;570; ; 
"=""09:00""";591;0;139;729;0;591;2;593; ; 
"=""09:15""";885;0;830;"1,715";20;885;84;988; ; 
"=""09:30""";837;0;25;862;16;837;105;958; ; 
"=""09:45""";813;0;16;829;20;813;648;"1,480"; ; 
"=""09:59"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""10:00""";"1,033";0;45;"1,078";24;"1,033";640;"1,698"; ; 
"=""10:04"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";"1,023";0;116;"1,139";118;"1,023";603;"1,743"; ; 
"=""10:30""";"1,850";139;425;"2,414";108;"1,850";0;"1,958"; ; 
"=""10:44"""; ; ; ; ; ; ; ; ; ;"2,160"
"=""10:45""";"1,441";0;92;"1,533";92;"1,441";349;"1,881"; ; 
"=""10:49"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:00""";992;0;149;"1,142";157;992;884;"2,033"; ; 
"=""11:04"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""11:09"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:15""";726;0;96;822;96;726;"1,779";"2,601"; ; 
"=""11:30""";610;0;110;720;119;610;"1,599";"2,327"; ; 
"=""11:39"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""11:44"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";511;0;70;581;64;511;"1,372";"1,947"; ; 
"=""12:00""";520;0;19;539;13;520;490;"1,022"; ; 
"=""12:15""";"1,153";0;39;"1,192";74;"1,153";278;"1,505"; ; 
"=""12:30""";941;0;59;999;73;941;667;"1,681"; ; 
"=""12:34"""; ; ; ; ; ; ; ; ; ;"2,010"
"=""12:39"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:44"""; ; ; ; ; ; ; ; ; ;"1,950"
"=""12:45""";755;0;62;817;212;755;"1,101";"2,068"; ; 
"=""12:49"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:00""";"1,075";0;70;"1,146";142;"1,075";414;"1,631"; ; 
"=""13:15""";700;0;29;728;44;700;326;"1,070"; ; 
"=""13:24"""; ; ; ; ; ; ; ; ; ;960
"=""13:29"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";808;0;38;846;51;808;56;915; ; 
"=""13:35"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""13:40"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:44"""; ; ; ; ; ; ; ; ; ;"1,440"
"=""13:45""";999;0;42;"1,040";231;999;703;"1,933"; ; 
"=""13:50"""; ; ; ; ; ; ; ; ; ;"1,380"
"=""13:55"""; ; ; ; ; ; ; ; ; ;"2,670"
"=""13:59"""; ; ; ; ; ; ; ; ; ;"1,170"
"=""14:00""";947;0;18;966;283;947;687;"1,917"; ; 
"=""14:05"""; ; ; ; ; ; ; ; ; ;"1,680"
"=""14:09"""; ; ; ; ; ; ; ; ; ;"1,140"
"=""14:15""";912;0;32;944;300;912;499;"1,711"; ;180
"=""14:20"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:25"""; ; ; ; ; ; ; ; ; ;"1,020"
"=""14:30""";895;0;41;936;242;895;268;"1,405"; ;"3,000"
"=""14:35"""; ; ; ; ; ; ; ; ; ;930
"=""14:40"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:45""";887;0;44;932;216;887;179;"1,283"; ; 
"=""14:50"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""14:55"""; ; ; ; ; ; ; ; ; ;"1,020"
"=""15:00""";905;0;39;944;80;905;40;"1,025"; ;"3,000"
"=""15:10"""; ; ; ; ; ; ; ; ; ;0
"=""15:15""";"1,008";880;100;"1,987";167;"1,008";0;"1,175"; ; 
"=""15:15"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""15:30""";661;832;33;"1,526";38;661;0;699; ; 
"=""15:45""";402;656;37;"1,095";38;402;0;440; ; 
"=""16:00""";314;473;19;805;17;314;0;331; ; 
"=""16:15""";189;"1,187";19;"1,395";14;189;0;203; ; 
"=""16:25"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""16:30""";148;"1,728";17;"1,894";21;148;0;169; ; 
"=""16:30"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""16:45""";145;"1,178";266;"1,589";28;145;0;173; ; 
"=""17:00""";174;780;889;"1,843";32;174;0;206; ; 
"=""17:15""";242;342;"2,316";"2,900";16;242;0;258; ; 
"=""17:30""";109;0;"1,465";"1,574";0;109;0;109; ; 
"=""17:45""";98;0;"3,051";"3,149";0;98;0;98; ; 
"=""18:00""";18;0;"2,692";"2,710";0;18;1;19; ; 
"=""18:15""";0;0;"3,230";"3,501";0;0;1;; ; 
"=""18:30""";0;2;"4,354";"4,356";0;0;0;; ; 
"=""18:45""";0;0;"3,404";"3,657";0;0;0;; ; 
"=""19:00"""; ;0;"2,914";;0;;3;; ; 
"=""19:15"""; ;0;"2,482";;0;;0;; ; 
"=""19:30"""; ;0;"4,347";;0;;2;; ; 
"=""19:45"""; ;0;"4,351";;0;;0;; ; 
"=""20:00"""; ;0;"2,685";;0;;3;; ; 
"=""20:15"""; ;1;"2,361";;0;;0;; ; 
"=""20:30"""; ;3;"2,305";;0;;0;; ; 
"=""20:45"""; ;1;"2,136";;0;;0;; ; 
"=""21:00"""; ;0;"2,214";;0;;0;; ; 
"=""21:15"""; ;0;"2,171";;0;;0;; ; 
"=""21:30"""; ;0;"1,960";;0;;1;; ; 
"=""21:45"""; ;0;"1,960";;0;;0;; ; 
"=""22:00"""; ;0;"1,615";;0;;1;; ; 
"=""22:15"""; ;0;"1,609";;0;;1;; ; 
"=""22:30"""; ;0;"1,562";;0;;0;; ; 
"=""22:45"""; ;0;"1,701";;0;;2;; ; 
"=""23:00"""; ;1;"1,359";;0;;0;; ; 
"=""23:15"""; ;0;"1,430";;0;;0;; ; 
"=""23:30"""; ;1;"1,856";;0;;0;; ; 
