 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""00:15"""; ;0;"2,164";;0;;0;; ; 
"=""00:30"""; ;0;"1,835";;0;;0;; ; 
"=""00:45"""; ;0;"1,379";;0;;0;; ; 
"=""01:00"""; ;0;"1,183";;0;;0;; ; 
"=""01:15"""; ;0;"1,878";;0;;0;; ; 
"=""01:30"""; ;0;"1,761";;0;;0;; ; 
"=""01:45"""; ;0;"1,320";;0;;0;; ; 
"=""02:00"""; ;0;"1,018";;0;;0;; ; 
"=""02:15"""; ;0;"1,487";;0;;0;; ; 
"=""02:30"""; ;0;"1,074";;0;;0;; ; 
"=""02:45"""; ;0;936;;0;;0;; ; 
"=""03:00"""; ;0;"1,304";;0;;0;; ; 
"=""03:15"""; ;0;"1,338";;0;;0;; ; 
"=""03:30"""; ;0;790;;0;;0;; ; 
"=""03:45"""; ;0;949;;0;;0;; ; 
"=""04:00"""; ;0;"1,463";;0;;0;; ; 
"=""04:15"""; ;0;788;;0;;0;; ; 
"=""04:30"""; ;0;943;;0;;0;; ; 
"=""04:45"""; ;0;"1,387";;0;;0;; ; 
"=""05:00"""; ;0;913;;0;;0;; ; 
"=""05:15"""; ;0;"1,826";;0;;0;; ; 
"=""05:30""";0;0;"2,604";"2,604";0;0;0;; ; 
"=""05:45""";0;0;"2,663";"2,663";0;0;0;; ; 
"=""06:00""";0;0;984;984;0;0;0;; ; 
"=""06:15""";0;0;"1,141";"1,141";0;0;0;; ; 
"=""06:30""";4;0;"1,803";"1,807";0;4;0;4; ; 
"=""06:45""";81;0;793;874;0;81;0;81; ; 
"=""07:00""";159;0;740;899;0;159;0;159; ; 
"=""07:15""";309;0;652;961;0;309;0;309; ; 
"=""07:30""";499;0;484;983;0;499;1;499; ; 
"=""07:45""";658;0;181;839;12;658;41;711; ; 
"=""08:00""";740;0;53;793;38;740;162;939; ; 
"=""08:15""";699;0;23;722;25;699;535;"1,259"; ; 
"=""08:27"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""08:30""";639;0;19;657;16;639;726;"1,380"; ; 
"=""08:32"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:45""";797;0;97;893;93;797;280;"1,170"; ; 
"=""09:00""";863;0;480;"1,343";50;863;196;"1,109"; ; 
"=""09:12"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""09:15""";935;0;853;"1,788";58;935;115;"1,107"; ; 
"=""09:17"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:22"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""09:27"""; ; ; ; ; ; ; ; ; ;"2,670"
"=""09:30""";913;0;252;"1,165";72;913;207;"1,192"; ; 
"=""09:32"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:45""";"1,015";0;523;"1,537";72;"1,015";136;"1,222"; ; 
"=""09:52"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""09:57"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""10:00""";"1,090";0;"1,110";"2,200";67;"1,090";199;"1,357"; ; 
"=""10:02"""; ; ; ; ; ; ; ; ; ;"2,520"
"=""10:07"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";"1,101";0;438;"1,539";147;"1,101";417;"1,664"; ; 
"=""10:22"""; ; ; ; ; ; ; ; ; ;"2,550"
"=""10:27"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";964;0;289;"1,253";183;964;728;"1,875"; ; 
"=""10:32"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""10:37"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";"1,248";0;445;"1,693";177;"1,248";670;"2,095"; ; 
"=""11:00""";"1,001";0;120;"1,121";65;"1,001";"1,029";"2,095"; ; 
"=""11:01"""; ; ; ; ; ; ; ; ;300; 
"=""11:01"""; ; ; ; ; ; ; ; ; ;780
"=""11:06"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:11"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""11:15"""; ;;;;;;;; ; 
"=""11:16"""; ; ; ; ; ; ; ; ; ;"2,100"
"=""11:21"""; ; ; ; ; ; ; ; ; ;360
"=""11:26"""; ; ; ; ; ; ; ; ; ;"2,160"
"=""11:30""";"1,043";0;340;"1,382";262;"1,043";911;"2,215"; ; 
"=""11:31"""; ; ; ; ; ; ; ; ; ;"1,290"
"=""11:36"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";943;0;252;"1,195";197;943;944;"2,084"; ; 
"=""12:00""";832;0;27;859;26;832;"1,091";"1,949"; ; 
"=""12:06"""; ; ; ; ; ; ; ; ; ;"2,430"
"=""12:11"""; ; ; ; ; ; ; ; ; ;"2,550"
"=""12:15""";721;0;52;773;115;721;"1,145";"1,981"; ; 
"=""12:16"""; ; ; ; ; ; ; ; ; ;"2,070"
"=""12:21"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:26"""; ; ; ; ; ; ; ; ; ;0
"=""12:30""";629;0;78;707;254;629;"1,382";"2,265"; ; 
"=""12:31"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:36"""; ; ; ; ; ; ; ; ; ;"1,710"
"=""12:41"""; ; ; ; ; ; ; ; ; ;"1,530"
"=""12:45""";701;0;109;810;266;701;993;"1,960"; ; 
"=""12:46"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:00""";"1,800";0;307;"2,106";72;"1,800";391;"2,263"; ; 
