 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,415";;0;;1;; ; 
"=""00:30"""; ;0;"1,400";;0;;0;; ; 
"=""00:45"""; ;0;"1,210";;0;;2;; ; 
"=""01:00"""; ;0;"1,430";;0;;1;; ; 
"=""01:15"""; ;1;"1,224";;0;;0;; ; 
"=""01:30"""; ;0;"1,371";;0;;1;; ; 
"=""01:45"""; ;0;991;;0;;0;; ; 
"=""02:00"""; ;0;"1,252";;0;;1;; ; 
"=""02:15"""; ;0;"1,232";;0;;1;; ; 
"=""02:30"""; ;2;"1,110";;0;;0;; ; 
"=""02:45"""; ;0;915;;0;;0;; ; 
"=""03:00"""; ;0;"1,009";;0;;2;; ; 
"=""03:15"""; ;2;"1,058";;0;;0;; ; 
"=""03:30"""; ;1;"1,115";;0;;0;; ; 
"=""03:45"""; ;0;705;;0;;2;; ; 
"=""04:00"""; ;0;932;;0;;1;; ; 
"=""04:15"""; ;0;940;;0;;1;; ; 
"=""04:30"""; ;1;689;;0;;0;; ; 
"=""04:45"""; ;0;938;;0;;1;; ; 
"=""05:00"""; ;1;"1,883";;0;;0;; ; 
"=""05:15"""; ;0;"2,430";;0;;1;; ; 
"=""05:30"""; ;0;"2,272";;0;;1;; ; 
"=""05:45"""; ;0;"1,075";;0;;1;; ; 
"=""06:00"""; ;2;941;;0;;0;; ; 
"=""06:15""";0;0;905;903;0;0;2;; ; 
"=""06:30""";0;0;"2,411";"2,411";0;0;0;; ; 
"=""06:45""";0;0;834;831;0;0;2;0; ; 
"=""07:00""";16;0;748;764;0;16;2;18; ; 
"=""07:15""";73;0;632;705;0;73;0;73; ; 
"=""07:30""";163;0;596;758;0;163;1;163; ; 
"=""07:45""";328;0;437;765;0;328;0;328; ; 
"=""08:00""";573;0;291;864;0;573;0;573; ; 
"=""08:15""";768;0;220;988;0;768;0;768; ; 
"=""08:30""";900;0;62;962;36;900;29;965; ; 
"=""08:31"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""08:41"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:45""";883;0;92;975;89;883;295;"1,266"; ; 
"=""09:00""";714;0;29;744;30;714;684;"1,428"; ; 
"=""09:15""";836;0;14;850;14;836;859;"1,708"; ; 
"=""09:30""";951;0;72;"1,023";72;951;830;"1,853"; ; 
"=""09:41"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""09:45""";762;0;42;804;44;762;"1,194";"1,999"; ; 
"=""09:46"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:51"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""09:56"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:00""";787;0;92;878;94;787;"1,258";"2,138"; ; 
"=""10:15""";956;0;242;"1,198";51;956;"1,212";"2,219"; ; 
"=""10:30""";699;0;20;719;21;699;"1,623";"2,342"; ; 
"=""10:45""";"1,118";0;210;"1,327";78;"1,118";"1,217";"2,412"; ; 
"=""10:46"""; ; ; ; ; ; ; ; ; ;"1,950"
"=""10:51"""; ; ; ; ; ; ; ; ; ;"1,860"
"=""10:56"""; ; ; ; ; ; ; ; ; ;"2,430"
"=""11:00""";"1,127";0;195;"1,322";249;"1,127";964;"2,340"; ; 
"=""11:01"""; ; ; ; ; ; ; ; ; ;"1,530"
"=""11:06"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:11"""; ; ; ; ; ; ; ; ; ;420
"=""11:15""";807;0;71;878;324;807;875;"2,007"; ; 
"=""11:16"""; ; ; ; ; ; ; ; ; ;990
"=""11:21"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""11:26"""; ; ; ; ; ; ; ; ; ;"1,980"
"=""11:30""";771;0;59;829;321;771;572;"1,663"; ; 
"=""11:31"""; ; ; ; ; ; ; ; ; ;"1,290"
"=""11:36"""; ; ; ; ; ; ; ; ; ;"1,230"
"=""11:41"""; ; ; ; ; ; ; ; ; ;"1,290"
"=""11:45""";800;0;78;878;340;800;445;"1,585"; ; 
"=""11:46"""; ; ; ; ; ; ; ; ; ;"1,230"
"=""11:51"""; ; ; ; ; ; ; ; ; ;"1,500"
"=""11:56"""; ; ; ; ; ; ; ; ; ;"2,430"
"=""12:00""";794;0;77;871;365;794;331;"1,489"; ; 
"=""12:01"""; ; ; ; ; ; ; ; ; ;"1,170"
"=""12:06"""; ; ; ; ; ; ; ; ; ;"1,140"
"=""12:11"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""12:15""";821;0;20;840;316;821;279;"1,415"; ; 
"=""12:16"""; ; ; ; ; ; ; ; ; ;"1,080"
"=""12:21"""; ; ; ; ; ; ; ; ; ;"1,050"
"=""12:26"""; ; ; ; ; ; ; ; ; ;"1,020"
"=""12:30""";763;0;14;777;315;763;236;"1,314"; ; 
"=""12:31"""; ; ; ; ; ; ; ; ; ;"1,080"
