 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,544";;0;;0;; ; 
"=""00:30"""; ;0;"1,462";;0;;0;; ; 
"=""00:45"""; ;0;"1,521";;0;;0;; ; 
"=""01:00"""; ;0;"1,471";;0;;0;; ; 
"=""01:15"""; ;0;"1,380";;0;;0;; ; 
"=""01:30"""; ;0;"1,417";;0;;0;; ; 
"=""01:45"""; ;0;"1,508";;0;;0;; ; 
"=""02:00"""; ;0;"1,571";;0;;0;; ; 
"=""02:15"""; ;0;"1,364";;0;;0;; ; 
"=""02:30"""; ;0;"1,236";;0;;0;; ; 
"=""02:45"""; ;0;"1,360";;0;;0;; ; 
"=""03:00"""; ;0;"1,180";;0;;0;; ; 
"=""03:15"""; ;0;"1,184";;0;;0;; ; 
"=""03:30"""; ;0;"1,279";;0;;0;; ; 
"=""03:45"""; ;0;"1,323";;0;;0;; ; 
"=""04:00"""; ;0;"1,286";;0;;0;; ; 
"=""04:15"""; ;0;"1,179";;0;;0;; ; 
"=""04:30"""; ;0;"1,201";;0;;0;; ; 
"=""04:45"""; ;0;"1,279";;0;;0;; ; 
"=""05:00"""; ;0;"1,257";;0;;0;; ; 
"=""05:15"""; ;0;992;;0;;0;; ; 
"=""05:30"""; ;0;"1,406";;0;;0;; ; 
"=""05:45"""; ;0;"2,209";;0;;0;; ; 
"=""06:00""";0;0;"1,242";"1,242";0;0;0;; ; 
"=""06:15""";0;0;984;984;0;0;0;; ; 
"=""06:30""";0;0;"1,969";"1,969";0;0;0;; ; 
"=""06:45""";0;0;"2,026";"2,026";0;0;0;0; ; 
"=""07:00""";13;0;"1,187";"1,200";0;13;0;13; ; 
"=""07:15""";95;0;"1,042";"1,137";0;95;0;95; ; 
"=""07:30""";154;0;"1,085";"1,239";0;154;0;154; ; 
"=""07:45""";220;0;"2,594";"2,814";0;220;0;220; ; 
"=""08:00""";341;0;"1,104";"1,445";0;341;0;341; ; 
"=""08:15""";552;0;382;934;0;552;0;552; ; 
"=""08:30""";704;0;16;720;37;704;42;782; ; 
"=""08:45""";737;0;33;771;24;737;196;957; ; 
"=""09:00""";848;0;428;"1,276";32;848;281;"1,161"; ; 
"=""09:15""";889;0;278;"1,167";23;889;411;"1,323"; ; 
"=""09:24"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""09:29"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";827;0;25;851;23;827;669;"1,518"; ; 
"=""09:34"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""09:39"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""09:44"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:45""";901;0;61;962;61;901;634;"1,596"; ; 
"=""10:00""";911;0;54;964;52;911;779;"1,741"; ; 
"=""10:15""";861;0;31;892;29;861;874;"1,764"; ; 
"=""10:24"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""10:29"""; ; ; ; ; ; ; ; ; ;750
"=""10:30""";"1,702";374;144;"2,220";140;"1,702";0;"1,842"; ; 
"=""10:34"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:39"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""10:44"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";"1,463";226;319;"2,008";335;"1,463";0;"1,797"; ; 
"=""10:49"""; ; ; ; ; ; ; ; ; ;540
"=""10:54"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:59"""; ; ; ; ; ; ; ; ; ;"1,680"
"=""11:00""";"1,448";163;315;"1,926";314;"1,448";0;"1,762"; ; 
"=""11:04"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:09"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""11:14"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:15""";"1,358";0;323;"1,681";321;"1,358";44;"1,722"; ; 
"=""11:19"""; ; ; ; ; ; ; ; ; ;"1,140"
"=""11:24"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:29"""; ; ; ; ; ; ; ; ; ;"1,860"
"=""11:30""";"1,459";62;326;"1,846";338;"1,459";0;"1,797"; ; 
"=""11:34"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";858;0;31;888;37;858;"1,284";"2,178"; ; 
"=""12:00""";892;0;16;908;15;892;"1,461";"2,368"; ; 
"=""12:15""";920;0;15;936;14;920;"1,315";"2,249"; ; 
"=""12:30""";965;0;21;986;20;965;"1,325";"2,309"; ; 
"=""12:45""";944;0;17;961;87;944;"1,267";"2,298"; ; 
"=""13:00""";"1,617";0;56;"1,672";167;"1,617";414;"2,198"; ; 
"=""13:15""";"2,080";"1,177";15;"3,271";13;"2,080";0;"2,093"; ; 
"=""13:30""";"2,096";"1,177";25;"3,297";22;"2,096";0;"2,118"; ; 
"=""13:45""";"1,342";"1,876";18;"3,236";12;"1,342";0;"1,354"; ; 
"=""14:00""";"1,219";"1,319";372;"2,909";30;"1,219";0;"1,248"; ; 
"=""14:15""";"1,603";871;128;"2,602";23;"1,603";0;"1,626"; ; 
"=""14:24"""; ; ; ; ; ; ; ; ; ;"2,130"
"=""14:29"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:30""";872;797;"1,003";"2,672";46;872;0;918; ; 
"=""14:45""";"1,273";81;"1,108";"2,461";3;"1,273";0;"1,276"; ; 
"=""15:00""";"1,141";0;"2,015";"3,156";0;"1,141";0;"1,141"; ; 
"=""15:15""";878;0;"1,830";"2,708";12;878;24;915; ; 
"=""15:30""";912;0;310;"1,223";12;912;1;926; ; 
"=""15:45""";780;0;291;"1,071";0;780;1;781; ; 
"=""16:00""";687;0;323;"1,011";0;687;1;688; ; 
"=""16:15""";512;0;461;973;0;512;0;512; ; 
"=""16:30""";404;0;583;987;0;404;3;407; ; 
"=""16:45""";284;1;"1,864";"2,149";0;284;0;284; ; 
"=""17:00""";218;0;"3,026";"3,244";0;218;0;218; ; 
"=""17:15""";155;0;"2,306";"2,461";0;155;0;155; ; 
"=""17:30""";108;0;"2,092";"2,200";0;108;2;109; ; 
"=""17:45""";69;0;"2,196";"2,265";0;69;0;69; ; 
"=""18:00""";10;1;"3,726";"3,737";0;10;0;10; ; 
"=""18:15""";0;0;"2,515";"2,514";0;0;0;; ; 
"=""18:30""";0;0;"2,127";"2,125";0;0;2;; ; 
"=""18:45""";0;0;"3,944";"3,267";0;0;1;; ; 
"=""19:00""";0;0;"3,348";"3,347";0;0;1;; ; 
"=""19:15""";0;0;"4,505";"4,165";0;0;1;; ; 
"=""19:30"""; ;0;"3,107";;0;;0;; ; 
"=""19:45"""; ;1;"3,216";;0;;0;; ; 
"=""20:00"""; ;0;"3,266";;0;;1;; ; 
"=""20:15"""; ;0;"2,734";;0;;1;; ; 
"=""20:30"""; ;0;"3,279";;0;;1;; ; 
"=""20:45"""; ;0;"3,055";;0;;0;; ; 
"=""21:00"""; ;1;"2,649";;0;;0;; ; 
"=""21:15"""; ;0;"2,392";;0;;2;; ; 
"=""21:30"""; ;0;"2,400";;0;;1;; ; 
"=""21:45"""; ;0;"2,446";;0;;0;; ; 
"=""22:00"""; ;0;"2,147";;0;;1;; ; 
"=""22:15"""; ;0;"1,831";;0;;2;; ; 
"=""22:30"""; ;0;"2,258";;0;;0;; ; 
"=""22:45"""; ;0;"2,010";;0;;1;; ; 
"=""23:00"""; ;0;"2,269";;0;;0;; ; 
"=""23:15"""; ;1;"1,758";;0;;0;; ; 
"=""23:30"""; ;0;"1,831";;0;;0;; ; 
"=""23:45"""; ;0;"1,836";;0;;0;; ; 
"=""00:00"""; ;0;"1,922";;0;;0;;300;"3,000"
