 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,998";;0;;0;; ; 
"=""00:30"""; ;0;"2,779";;0;;0;; ; 
"=""00:45"""; ;0;"2,418";;0;;0;; ; 
"=""01:00"""; ;0;"2,237";;0;;0;; ; 
"=""01:15"""; ;0;"2,309";;0;;0;; ; 
"=""01:30"""; ;0;"1,758";;0;;0;; ; 
"=""01:45"""; ;0;"2,156";;0;;0;; ; 
"=""02:00"""; ;0;"1,982";;0;;0;; ; 
"=""02:15"""; ;0;"2,098";;0;;0;; ; 
"=""02:30"""; ;0;"2,394";;0;;0;; ; 
"=""02:45"""; ;0;"1,770";;0;;0;; ; 
"=""03:00"""; ;0;"1,667";;0;;0;; ; 
"=""03:15"""; ;0;"2,005";;0;;0;; ; 
"=""03:30"""; ;0;"1,696";;0;;0;; ; 
"=""03:45"""; ;0;"1,705";;0;;0;; ; 
"=""04:00"""; ;0;"2,161";;0;;0;; ; 
"=""04:15"""; ;0;"1,573";;0;;0;; ; 
"=""04:30"""; ;0;"2,074";;0;;0;; ; 
"=""04:45"""; ;0;"1,700";;0;;0;; ; 
"=""05:00"""; ;0;"1,870";;0;;0;; ; 
"=""05:15"""; ;0;"2,666";;0;;0;; ; 
"=""05:30""";0;0;"2,712";"2,712";0;0;0;; ; 
"=""05:45""";0;0;"2,899";"2,899";0;0;0;; ; 
"=""06:00""";0;0;"2,042";"2,042";0;0;0;; ; 
"=""06:15""";0;0;"1,275";"1,275";0;0;0;; ; 
"=""06:30""";0;0;"2,026";"2,026";0;0;0;0; ; 
"=""06:45""";0;0;"1,415";"1,415";0;0;0;0; ; 
"=""07:00""";34;0;"1,342";"1,376";0;34;0;34; ; 
"=""07:15""";103;0;"1,272";"1,375";0;103;0;103; ; 
"=""07:30""";187;0;995;"1,182";0;187;0;187; ; 
"=""07:45""";665;0;392;"1,056";21;665;47;732; ; 
"=""08:00""";799;0;388;"1,187";13;799;74;887; ; 
"=""08:15""";830;0;404;"1,234";19;830;3;852; ; 
"=""08:30""";640;0;65;705;36;640;102;778; ; 
"=""08:31"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""08:36"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:45""";835;0;98;932;46;835;75;956; ; 
"=""09:00""";833;0;28;861;32;833;650;"1,514"; ; 
"=""09:15""";797;0;414;"1,211";20;797;201;"1,018"; ; 
"=""09:30""";616;0;17;633;16;616;719;"1,351"; ; 
"=""09:45""";910;0;18;928;32;910;488;"1,429"; ; 
"=""09:51"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""09:56"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:00""";766;0;24;790;24;766;"1,496";"2,286"; ; 
"=""10:15""";"1,065";0;105;"1,170";151;"1,065";"1,280";"2,496"; ; 
"=""10:21"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""10:26"""; ; ; ; ; ; ; ; ; ;0
"=""10:30""";"2,069";711;331;"3,110";331;"2,069";0;"2,400"; ; 
"=""10:31"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""10:36"""; ; ; ; ; ; ; ; ; ;"2,160"
"=""10:41"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:45""";"1,842";33;363;"2,238";365;"1,842";0;"2,207"; ; 
"=""10:46"""; ; ; ; ; ; ; ; ; ;"2,430"
"=""10:51"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:00""";"1,385";626;342;"2,352";338;"1,385";0;"1,722"; ; 
"=""11:01"""; ; ; ; ; ; ; ; ; ;"1,710"
"=""11:06"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:15""";"1,779";0;362;"2,141";364;"1,779";192;"2,335"; ; 
"=""11:16"""; ; ; ; ; ; ; ; ; ;"2,010"
"=""11:21"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:30""";"1,370";0;197;"1,567";207;"1,370";248;"1,824"; ; 
"=""11:45""";795;0;20;814;19;795;931;"1,745"; ; 
"=""12:00""";809;0;28;837;22;809;730;"1,562"; ; 
"=""12:01"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""12:06"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""12:11"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:15""";822;0;89;911;187;822;"1,218";"2,227"; ; 
"=""12:16"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""12:21"""; ; ; ; ; ; ; ; ; ;"2,580"
"=""12:26"""; ; ; ; ; ; ; ; ; ;720
"=""12:30""";747;0;38;785;274;747;993;"2,014"; ; 
"=""12:31"""; ; ; ; ; ; ; ; ; ;"1,440"
"=""12:36"""; ; ; ; ; ; ; ; ; ;"2,010"
"=""12:41"""; ; ; ; ; ; ; ; ; ;"2,310"
"=""12:45""";829;0;101;930;340;829;666;"1,835"; ; 
"=""12:46"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:56"""; ; ; ; ; ; ; ; ; ;"2,220"
"=""13:00""";"1,969";0;23;"1,992";240;"1,969";489;"2,698"; ; 
"=""13:01"""; ; ; ; ; ; ; ; ; ;"2,160"
"=""13:06"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:11"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""13:15""";"1,809";0;118;"1,927";239;"1,809";95;"2,142"; ; 
"=""13:16"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:21"""; ; ; ; ; ; ; ; ; ;"2,220"
"=""13:26"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:30""";"1,827";0;167;"1,994";240;"1,827";194;"2,261"; ; 
"=""13:45""";"1,514";277;117;"1,908";153;"1,514";0;"1,667"; ; 
"=""14:00""";"1,305";"1,359";39;"2,703";40;"1,305";0;"1,345"; ; 
"=""14:15""";"1,796";964;39;"2,799";37;"1,796";0;"1,833"; ; 
"=""14:30""";"1,402";"1,286";75;"2,763";82;"1,402";0;"1,484"; ; 
