 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,108";;0;;0;; ; 
"=""00:30"""; ;0;"1,799";;0;;0;; ; 
"=""00:45"""; ;0;"1,677";;0;;0;; ; 
"=""01:00"""; ;0;"1,899";;0;;0;; ; 
"=""01:15"""; ;0;"1,674";;0;;0;; ; 
"=""01:30"""; ;0;"1,650";;0;;0;; ; 
"=""01:45"""; ;0;"1,461";;0;;0;; ; 
"=""02:00"""; ;0;"1,584";;0;;0;; ; 
"=""02:15"""; ;0;"1,655";;0;;0;; ; 
"=""02:30"""; ;0;"1,395";;0;;0;; ; 
"=""02:45"""; ;0;"1,142";;0;;0;; ; 
"=""03:00"""; ;0;"1,359";;0;;0;; ; 
"=""03:15"""; ;0;"1,344";;0;;0;; ; 
"=""03:30"""; ;0;"1,055";;0;;0;; ; 
"=""03:45"""; ;0;"1,235";;0;;0;; ; 
"=""04:00"""; ;0;"1,327";;0;;0;; ; 
"=""04:15"""; ;0;"1,367";;0;;0;; ; 
"=""04:30"""; ;0;"1,225";;0;;0;; ; 
"=""04:45"""; ;0;"1,947";;0;;0;; ; 
"=""05:00"""; ;0;"3,442";;0;;0;; ; 
"=""05:15"""; ;0;"2,291";;0;;0;; ; 
"=""05:30"""; ;0;"3,203";;0;;0;; ; 
"=""05:45"""; ;0;"1,093";;0;;0;; ; 
"=""06:00"""; ;0;999;;0;;0;; ; 
"=""06:15"""; ;0;"1,052";;0;;0;; ; 
"=""06:30""";0;0;"2,226";"2,226";0;0;0;; ; 
"=""06:45""";0;0;"1,272";"1,272";0;0;0;; ; 
"=""07:00""";0;0;930;930;0;0;0;0; ; 
"=""07:15""";9;0;860;869;0;9;0;9; ; 
"=""07:30""";84;0;780;864;0;84;0;84; ; 
"=""07:45""";210;0;445;655;0;210;0;210; ; 
"=""08:00""";279;0;483;762;0;279;0;279; ; 
"=""08:15""";299;0;453;752;0;299;0;299; ; 
"=""08:30""";302;0;416;718;0;302;0;302; ; 
"=""08:45""";594;0;381;975;6;594;0;600; ; 
"=""09:00""";703;0;178;881;8;703;32;743; ; 
"=""09:15""";652;0;10;662;16;652;343;"1,010"; ; 
"=""09:30""";594;0;12;606;12;594;847;"1,453"; ; 
"=""09:45""";640;0;68;708;65;640;910;"1,615"; ; 
"=""10:00""";715;0;51;766;52;715;947;"1,714"; ; 
"=""10:04"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""10:09"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";814;0;45;859;45;814;772;"1,631"; ; 
"=""10:24"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""10:29"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";"1,805";255;141;"2,200";131;"1,805";0;"1,935"; ; 
"=""10:45""";"1,091";0;27;"1,118";35;"1,091";871;"1,997"; ; 
"=""11:00""";883;0;19;902;24;883;"1,130";"2,036"; ; 
"=""11:15""";772;0;24;796;22;772;"1,339";"2,132"; ; 
"=""11:30""";842;0;18;860;16;842;"1,282";"2,141"; ; 
"=""11:39"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""11:44"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""11:45""";775;0;6;781;86;775;"1,293";"2,153"; ; 
"=""11:49"""; ; ; ; ; ; ; ; ; ;"1,530"
"=""11:54"""; ; ; ; ; ; ; ; ; ;"1,590"
"=""11:59"""; ; ; ; ; ; ; ; ; ;"1,440"
"=""12:00""";606;0;16;622;304;606;985;"1,894"; ; 
"=""12:09"""; ; ; ; ; ; ; ; ; ;"1,470"
"=""12:14"""; ; ; ; ; ; ; ; ; ;"1,170"
"=""12:15""";759;0;0;759;301;759;757;"1,817"; ; 
"=""12:19"""; ; ; ; ; ; ; ; ; ;"1,380"
"=""12:24"""; ; ; ; ; ; ; ; ; ;"1,260"
"=""12:29"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";743;0;29;772;231;743;473;"1,446"; ; 
"=""12:34"""; ; ; ; ; ; ; ; ; ;"1,260"
"=""12:39"""; ; ; ; ; ; ; ; ; ;"1,170"
"=""12:44"""; ; ; ; ; ; ; ; ; ;"1,080"
"=""12:45""";767;0;67;834;284;767;420;"1,471"; ; 
"=""12:59"""; ; ; ; ; ; ; ; ; ;270
"=""13:00""";694;0;44;738;321;694;324;"1,339"; ; 
"=""13:04"""; ; ; ; ; ; ; ; ; ;990
"=""13:09"""; ; ; ; ; ; ; ; ; ;"1,410"
"=""13:14"""; ; ; ; ; ; ; ; ; ;870
"=""13:15""";646;0;55;701;333;646;265;"1,244"; ; 
"=""13:29"""; ; ; ; ; ; ; ; ; ;810
"=""13:30""";529;0;76;604;357;529;221;"1,106"; ; 
"=""13:34"""; ; ; ; ; ; ; ; ; ;870
"=""13:39"""; ; ; ; ; ; ; ; ; ;900
"=""13:45""";554;0;37;591;323;554;199;"1,076"; ; 
"=""13:49"""; ; ; ; ; ; ; ; ; ;840
"=""14:00""";580;0;38;618;321;580;177;"1,077"; ; 
"=""14:04"""; ; ; ; ; ; ; ; ; ;"1,470"
"=""14:09"""; ; ; ; ; ; ; ; ; ;840
"=""14:14"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:15""";581;0;56;637;324;581;155;"1,060"; ; 
"=""14:19"""; ; ; ; ; ; ; ; ; ;"1,470"
"=""14:24"""; ; ; ; ; ; ; ; ; ;810
"=""14:30""";606;0;44;650;270;606;405;"1,280"; ; 
"=""14:34"""; ; ; ; ; ; ; ; ; ;840
"=""14:39"""; ; ; ; ; ; ; ; ; ;"3,000"
