 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15""";0;0;"2,284";"2,284";0;0;0;; ; 
"=""00:30""";0;1;"2,106";"2,108";0;0;0;; ; 
"=""00:45""";0;0;"2,130";"2,127";0;0;2;; ; 
"=""01:00""";0;0;"1,902";"1,902";0;0;0;; ; 
"=""01:15""";0;1;"1,920";"1,921";0;0;0;; ; 
"=""01:30""";0;0;"1,513";"1,511";0;0;1;; ; 
"=""01:45""";0;0;"1,479";"1,479";0;0;0;; ; 
"=""02:00""";0;0;"1,903";"1,903";0;0;0;; ; 
"=""02:15""";0;0;"1,773";"1,770";0;0;3;; ; 
"=""02:30""";0;0;"1,530";"1,529";0;0;1;; ; 
"=""02:45""";0;0;928;927;0;0;0;; ; 
"=""03:00""";0;0;"1,585";"1,583";0;0;1;; ; 
"=""03:15""";0;0;"1,760";"1,760";0;0;1;; ; 
"=""03:30""";0;0;"1,184";"1,182";0;0;2;; ; 
"=""03:45""";0;0;"1,191";"1,190";0;0;1;; ; 
"=""04:00""";0;0;"1,415";"1,415";0;0;0;; ; 
"=""04:15""";0;0;"1,302";"1,300";0;0;2;; ; 
"=""04:30""";0;0;"1,108";"1,108";0;0;0;; ; 
"=""04:45""";0;0;912;911;0;0;1;; ; 
"=""05:00""";0;0;"2,846";"2,845";0;0;1;; ; 
"=""05:15""";0;0;"2,293";"2,293";0;0;0;; ; 
"=""05:30""";0;0;"2,823";"2,821";0;0;2;; ; 
"=""05:45""";0;0;"1,570";"1,569";0;0;0;; ; 
"=""06:00""";0;0;"1,206";"1,205";0;0;1;; ; 
"=""06:15""";0;0;"1,064";"1,062";0;0;2;; ; 
"=""06:30""";23;1;"2,182";"2,205";0;23;0;23; ; 
"=""06:45""";150;0;"1,019";"1,169";0;150;1;151; ; 
"=""07:00""";308;0;877;"1,185";0;308;1;309; ; 
"=""07:15""";587;0;417;"1,004";9;587;3;599; ; 
"=""07:30""";771;0;244;"1,015";15;771;103;888; ; 
"=""07:45""";775;0;169;944;36;775;252;"1,063"; ; 
"=""08:00""";959;0;162;"1,121";21;959;355;"1,336"; ; 
"=""08:15""";975;0;71;"1,046";21;975;540;"1,536"; ; 
"=""08:19"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""08:24"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:30""";896;0;98;994;65;896;791;"1,752"; ; 
"=""08:45""";"1,583";0;457;"2,041";57;"1,583";349;"1,989"; ; 
"=""09:00""";"1,482";0;49;"1,532";44;"1,482";705;"2,231"; ; 
"=""09:15""";"1,092";0;82;"1,174";87;"1,092";"1,235";"2,414"; ; 
