 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,100";;0;;2;; ; 
"=""00:30"""; ;0;"2,451";;0;;0;; ; 
"=""00:45"""; ;0;"2,753";;0;;1;; ; 
"=""01:00"""; ;0;"1,892";;0;;0;; ; 
"=""01:15"""; ;0;"2,390";;0;;2;; ; 
"=""01:30"""; ;0;"1,861";;0;;0;; ; 
"=""01:45"""; ;0;"2,049";;0;;0;; ; 
"=""02:00"""; ;1;"1,984";;0;;0;; ; 
"=""02:15"""; ;0;"2,030";;0;;0;; ; 
"=""02:30"""; ;0;"1,660";;0;;2;; ; 
"=""02:45"""; ;1;"1,744";;0;;0;; ; 
"=""03:00"""; ;0;"1,648";;0;;2;; ; 
"=""03:15"""; ;0;"1,764";;0;;3;; ; 
"=""03:30"""; ;0;"1,735";;0;;1;; ; 
"=""03:45"""; ;0;"1,613";;0;;1;; ; 
"=""04:00"""; ;0;"1,792";;0;;1;; ; 
"=""04:15"""; ;1;"1,486";;0;;0;; ; 
"=""04:30"""; ;0;"1,728";;0;;1;; ; 
"=""04:45"""; ;1;"1,823";;0;;0;; ; 
"=""05:00"""; ;1;"2,128";;0;;0;; ; 
"=""05:15"""; ;0;"2,568";;0;;1;; ; 
"=""05:30"""; ;0;"2,512";;0;;0;; ; 
"=""05:45""";0;0;"1,600";"1,597";0;0;3;; ; 
"=""06:00""";0;0;"1,455";"1,452";0;0;2;; ; 
"=""06:15""";0;0;"1,383";"1,383";0;0;0;; ; 
"=""06:30""";11;0;"1,983";"1,993";0;11;1;11; ; 
"=""06:45""";70;0;"1,024";"1,094";0;70;3;73; ; 
"=""07:00""";112;0;"1,009";"1,121";0;112;3;114; ; 
"=""07:15""";215;0;920;"1,135";0;215;0;215; ; 
"=""07:30""";203;0;900;"1,104";0;203;1;204; ; 
"=""07:45""";425;0;946;"1,370";0;425;1;425; ; 
"=""08:00""";421;0;"1,505";"1,926";0;421;2;423; ; 
"=""08:15""";668;0;421;"1,089";1;668;1;669; ; 
"=""08:30""";857;0;101;958;34;857;267;"1,158"; ; 
"=""08:45""";915;0;169;"1,084";69;915;597;"1,580"; ; 
"=""09:00""";"1,337";0;521;"1,858";75;"1,337";444;"1,856"; ; 
"=""09:15""";"1,198";0;141;"1,339";91;"1,198";801;"2,090"; ; 
"=""09:24"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""09:29"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";988;0;74;"1,062";76;988;764;"1,827"; ; 
"=""09:39"""; ; ; ; ; ; ; ; ; ;"2,490"
"=""09:44"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:45""";975;0;105;"1,080";105;975;"1,172";"2,252"; ; 
"=""10:00""";874;0;45;919;41;874;"1,573";"2,487"; ; 
"=""10:14"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""10:15""";808;0;33;841;35;808;"1,876";"2,718"; ; 
"=""10:19"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:24"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""10:29"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";"1,257";0;54;"1,312";44;"1,257";141;"1,442"; ; 
"=""10:45""";"2,113";19;118;"2,249";123;"2,113";0;"2,235"; ; 
"=""11:00""";"1,463";0;54;"1,516";57;"1,463";790;"2,309"; ; 
"=""11:14"""; ; ; ; ; ; ; ; ; ;"2,400"
"=""11:15""";"1,503";0;32;"1,535";55;"1,503";"1,360";"2,918"; ; 
"=""11:19"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:30""";"1,604";0;86;"1,690";86;"1,604";56;"1,746"; ; 
"=""11:34"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""11:39"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";"1,383";0;47;"1,430";59;"1,383";382;"1,824"; ; 
"=""12:00""";"1,112";450;21;"1,582";18;"1,112";0;"1,130"; ; 
"=""12:15""";"1,246";342;26;"1,614";27;"1,246";0;"1,272"; ; 
"=""12:30""";694;"1,077";44;"1,815";35;694;0;729; ; 
"=""12:45""";559;"2,064";31;"2,653";29;559;0;588; ; 
"=""13:00""";930;"1,008";"1,650";"3,588";25;930;0;955; ; 
"=""13:15""";698;797;"2,022";"3,517";22;698;0;720; ; 
"=""13:30""";902;288;"1,816";"3,005";12;902;0;914; ; 
"=""13:45""";"1,863";5;"2,103";"3,970";16;"1,863";0;"1,879"; ; 
"=""14:00""";"2,253";2;"1,742";"3,996";0;"2,253";0;"2,253"; ; 
"=""14:15""";"2,024";0;"1,366";"3,390";22;"2,024";46;"2,092"; ; 
"=""14:30""";"2,219";0;"1,324";"3,543";13;"2,219";63;"2,295"; ; 
"=""14:45""";"1,846";1;"2,393";"4,240";0;"1,846";0;"1,846"; ; 
"=""15:00""";"1,363";0;"2,875";"4,238";0;"1,363";1;"1,364"; ; 
"=""15:15""";665;1;"3,908";"4,574";0;665;0;665; ; 
"=""15:30""";739;0;"1,993";"2,732";0;739;1;740; ; 
"=""15:45""";938;0;"1,499";"2,437";4;938;1;943; ; 
"=""16:00""";454;0;"1,978";"2,432";0;454;1;455; ; 
"=""16:15""";601;0;"1,450";"2,051";0;601;0;601; ; 
"=""16:30""";580;1;971;"1,552";0;580;0;580; ; 
"=""16:45""";251;0;703;953;0;251;1;252; ; 
"=""17:00""";256;0;"1,179";"1,435";0;256;1;257; ; 
"=""17:15""";143;0;"2,059";"2,201";0;143;1;143; ; 
"=""17:30""";132;1;"2,486";"2,619";0;132;0;132; ; 
"=""17:45""";128;0;"1,846";"1,974";0;128;0;128; ; 
"=""18:00""";52;0;"2,803";"2,855";0;52;0;52; ; 
"=""18:15""";0;0;"2,285";"2,285";0;0;0;; ; 
"=""18:30""";0;0;"2,330";"2,330";0;0;0;; ; 
"=""18:45""";0;0;"2,835";"2,620";0;0;0;; ; 
"=""19:00""";0;0;"3,816";"3,816";0;0;0;; ; 
"=""19:15"""; ;0;"3,444";;0;;0;; ; 
"=""19:30"""; ;0;"4,912";;0;;0;; ; 
"=""19:45"""; ;0;"4,384";;0;;0;; ; 
"=""20:00"""; ;0;"3,602";;0;;0;; ; 
"=""20:15"""; ;0;"3,492";;0;;0;; ; 
"=""20:30"""; ;0;"3,139";;0;;0;; ; 
"=""20:45"""; ;0;"3,276";;0;;0;; ; 
"=""21:00"""; ;0;"2,961";;0;;0;; ; 
"=""21:15"""; ;0;"3,552";;0;;0;; ; 
"=""21:30"""; ;0;"2,841";;0;;0;; ; 
"=""21:45"""; ;0;"2,778";;0;;0;; ; 
"=""22:00"""; ;0;"2,978";;0;;0;; ; 
"=""22:15"""; ;0;"2,991";;0;;0;; ; 
"=""22:30"""; ;0;"2,663";;0;;0;; ; 
"=""22:45"""; ;0;"2,692";;0;;0;; ; 
"=""23:00"""; ;0;"2,642";;0;;0;; ; 
"=""23:15"""; ;0;"2,592";;0;;0;; ; 
"=""23:30"""; ;0;"2,458";;0;;0;; ; 
"=""23:45"""; ;0;"2,326";;0;;0;; ; 
"=""00:00"""; ;0;"2,013";;0;;0;;300;"3,000"
