 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"3,150";;0;;2;; ; 
"=""00:30"""; ;0;"2,855";;0;;1;; ; 
"=""00:45"""; ;0;"3,494";;0;;0;; ; 
"=""01:00"""; ;0;"2,857";;0;;1;; ; 
"=""01:15"""; ;0;"2,234";;0;;2;; ; 
"=""01:30"""; ;0;"2,442";;0;;0;; ; 
"=""01:45"""; ;0;"2,187";;0;;1;; ; 
"=""02:00"""; ;0;"1,973";;0;;0;; ; 
"=""02:15"""; ;0;"2,103";;0;;0;; ; 
"=""02:30"""; ;0;"1,986";;0;;1;; ; 
"=""02:45"""; ;1;"1,528";;0;;0;; ; 
"=""03:00"""; ;0;"2,031";;0;;1;; ; 
"=""03:15"""; ;0;"2,131";;0;;2;; ; 
"=""03:30"""; ;1;"1,811";;0;;0;; ; 
"=""03:45"""; ;0;"1,769";;0;;1;; ; 
"=""04:00"""; ;2;"1,584";;0;;0;; ; 
"=""04:15"""; ;0;"2,016";;0;;3;; ; 
"=""04:30"""; ;1;"1,396";;0;;0;; ; 
"=""04:45"""; ;0;"1,112";;0;;2;; ; 
"=""05:00"""; ;0;"1,243";;0;;2;; ; 
"=""05:15"""; ;0;"1,179";;0;;1;; ; 
"=""05:30"""; ;0;"2,018";;0;;1;; ; 
"=""05:45"""; ;0;"1,791";;0;;2;; ; 
"=""06:00""";0;2;"2,223";"2,225";0;0;0;; ; 
"=""06:15""";0;0;"1,397";"1,397";0;0;0;; ; 
"=""06:30""";0;1;"2,814";"2,815";0;0;0;; ; 
"=""06:45""";10;0;"1,301";"1,312";0;10;0;10; ; 
"=""07:00""";36;0;"1,174";"1,210";0;36;1;37; ; 
"=""07:15""";93;3;"1,271";"1,366";0;93;0;93; ; 
"=""07:30""";160;0;774;934;0;160;2;162; ; 
"=""07:45""";472;0;680;"1,151";0;472;1;472; ; 
"=""08:00""";796;0;446;"1,241";17;796;7;820; ; 
"=""08:15""";748;0;12;760;13;748;452;"1,212"; ; 
"=""08:30""";774;0;28;802;25;774;594;"1,393"; ; 
"=""08:45""";761;0;32;793;35;761;694;"1,490"; ; 
"=""09:00""";801;0;25;826;21;801;477;"1,298"; ; 
"=""09:06"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""09:11"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:15""";"1,089";0;319;"1,408";49;"1,089";175;"1,313"; ; 
"=""09:30""";"1,206";0;50;"1,255";49;"1,206";256;"1,510"; ; 
"=""09:45""";"1,633";121;"2,070";"3,823";45;"1,633";0;"1,678"; ; 
"=""10:00""";"1,336";0;"1,645";"2,981";81;"1,336";66;"1,483"; ; 
"=""10:06"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""10:11"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";"1,484";0;"1,242";"2,726";91;"1,484";68;"1,642"; ; 
"=""10:30""";"1,201";0;"1,394";"2,595";36;"1,201";10;"1,247"; ; 
"=""10:45""";"1,136";0;139;"1,275";64;"1,136";33;"1,232"; ; 
"=""11:00""";"1,265";0;538;"1,803";106;"1,265";58;"1,430"; ; 
"=""11:15""";"1,264";0;329;"1,593";158;"1,264";271;"1,693"; ; 
"=""11:30""";967;0;24;991;29;967;"1,265";"2,260"; ; 
"=""11:45""";949;0;50;999;49;949;"1,946";"2,944"; ; 
"=""12:00""";944;0;18;962;15;944;"1,907";"2,866"; ; 
"=""12:11"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""12:15""";"1,439";0;44;"1,483";162;"1,439";"1,291";"2,892"; ; 
"=""12:16"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:30""";"1,780";0;61;"1,842";80;"1,780";"1,177";"3,037"; ; 
"=""12:36"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""12:41"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:45""";"2,231";0;83;"2,314";87;"2,231";349;"2,667"; ; 
"=""13:00""";"2,689";538;45;"3,272";43;"2,689";0;"2,732"; ; 
"=""13:15""";"1,390";"1,207";45;"2,641";36;"1,390";0;"1,425"; ; 
"=""13:30""";"1,166";"1,740";41;"2,947";36;"1,166";0;"1,202"; ; 
"=""13:45""";997;"1,315";632;"2,944";52;997;0;"1,049"; ; 
