 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"3,463";;0;;0;; ; 
"=""00:30"""; ;0;"3,231";;0;;0;; ; 
"=""00:45"""; ;0;"2,818";;0;;0;; ; 
"=""01:00"""; ;0;"2,610";;0;;0;; ; 
"=""01:15"""; ;0;"2,725";;0;;0;; ; 
"=""01:30"""; ;0;"2,361";;0;;0;; ; 
"=""01:45"""; ;0;"2,525";;0;;0;; ; 
"=""02:00"""; ;0;"2,246";;0;;0;; ; 
"=""02:15"""; ;0;"2,116";;0;;0;; ; 
"=""02:30"""; ;0;"2,435";;0;;0;; ; 
"=""02:45"""; ;0;"2,241";;0;;0;; ; 
"=""03:00"""; ;0;"2,246";;0;;0;; ; 
"=""03:15"""; ;0;"2,136";;0;;0;; ; 
"=""03:30"""; ;0;"2,061";;0;;0;; ; 
"=""03:45"""; ;0;"1,755";;0;;0;; ; 
"=""04:00"""; ;0;"1,696";;0;;0;; ; 
"=""04:15"""; ;0;"1,947";;0;;0;; ; 
"=""04:30"""; ;0;"2,454";;0;;0;; ; 
"=""04:45"""; ;0;"2,218";;0;;0;; ; 
"=""05:00"""; ;0;"2,234";;0;;0;; ; 
"=""05:15"""; ;0;"2,962";;0;;0;; ; 
"=""05:30"""; ;0;"1,884";;0;;0;; ; 
"=""05:45"""; ;0;"1,753";;0;;0;; ; 
"=""06:00"""; ;0;"1,169";;0;;0;; ; 
"=""06:15""";0;0;"1,523";"1,523";0;0;0;; ; 
"=""06:30""";0;0;"1,928";"1,928";0;0;0;; ; 
"=""06:45""";0;0;"1,009";"1,009";0;0;0;0; ; 
"=""07:00""";55;0;686;741;0;55;0;55; ; 
"=""07:15""";169;0;531;700;0;169;0;169; ; 
"=""07:30""";265;0;529;794;0;265;0;265; ; 
"=""07:45""";334;0;445;779;0;334;0;334; ; 
"=""08:00""";422;0;325;747;0;422;0;422; ; 
"=""08:15""";437;0;426;863;0;437;0;437; ; 
"=""08:30""";593;0;598;"1,191";0;593;0;593; ; 
