 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,363";;0;;0;; ; 
"=""00:30"""; ;0;"2,184";;0;;0;; ; 
"=""00:45"""; ;0;"2,457";;0;;0;; ; 
"=""01:00"""; ;0;"1,992";;0;;0;; ; 
"=""01:15"""; ;0;"2,088";;0;;0;; ; 
"=""01:30"""; ;0;"2,008";;0;;0;; ; 
"=""01:45"""; ;0;"1,939";;0;;0;; ; 
"=""02:00"""; ;0;"1,798";;0;;0;; ; 
"=""02:15"""; ;0;"1,784";;0;;0;; ; 
"=""02:30"""; ;0;"1,916";;0;;0;; ; 
"=""02:45"""; ;0;"1,921";;0;;0;; ; 
"=""03:00"""; ;0;"1,906";;0;;0;; ; 
"=""03:15"""; ;0;"1,753";;0;;0;; ; 
"=""03:30"""; ;0;"1,795";;0;;0;; ; 
"=""03:45"""; ;0;"1,582";;0;;0;; ; 
"=""04:00"""; ;0;"1,981";;0;;0;; ; 
"=""04:15"""; ;0;"1,637";;0;;0;; ; 
"=""04:30"""; ;0;"1,361";;0;;0;; ; 
"=""04:45"""; ;0;"1,769";;0;;0;; ; 
"=""05:00"""; ;0;"1,529";;0;;0;; ; 
"=""05:15""";0;0;"2,232";"2,232";0;0;0;; ; 
"=""05:30""";0;0;"2,761";"2,761";0;0;0;; ; 
"=""05:45""";0;0;"2,742";"2,742";0;0;0;; ; 
"=""06:00""";0;0;"1,481";"1,481";0;0;0;; ; 
"=""06:15""";0;0;"1,499";"1,499";0;0;0;; ; 
"=""06:30""";2;0;"1,935";"1,937";0;2;0;2; ; 
"=""06:45""";73;0;"1,146";"1,219";0;73;0;73; ; 
"=""07:00""";130;0;"1,176";"1,306";0;130;0;130; ; 
"=""07:15""";390;0;941;"1,331";0;390;0;390; ; 
"=""07:30""";607;0;427;"1,034";0;607;0;607; ; 
"=""07:45""";723;0;378;"1,101";14;723;11;748; ; 
"=""08:00""";780;0;319;"1,099";13;780;170;963; ; 
"=""08:15""";"1,091";0;370;"1,460";31;"1,091";79;"1,201"; ; 
"=""08:30""";"1,051";0;178;"1,229";46;"1,051";394;"1,490"; ; 
"=""08:45""";927;0;59;987;56;927;758;"1,741"; ; 
"=""09:00""";762;0;49;810;46;762;"1,245";"2,052"; ; 
"=""09:15""";702;0;20;723;20;702;"1,474";"2,196"; ; 
"=""09:30""";634;0;18;652;16;634;"1,702";"2,351"; ; 
"=""09:45""";"1,054";0;83;"1,137";78;"1,054";"1,357";"2,488"; ; 
"=""09:56"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""10:00""";739;0;4;743;129;739;"1,742";"2,610"; ; 
"=""10:01"""; ; ; ; ; ; ; ; ; ;"1,950"
"=""10:06"""; ; ; ; ; ; ; ; ; ;"1,740"
"=""10:11"""; ; ; ; ; ; ; ; ; ;"1,620"
"=""10:15""";964;0;88;"1,052";293;964;977;"2,233"; ; 
"=""10:16"""; ; ; ; ; ; ; ; ; ;"1,440"
"=""10:21"""; ; ; ; ; ; ; ; ; ;"1,320"
"=""10:30""";685;0;0;685;301;685;811;"1,797"; ; 
"=""10:36"""; ; ; ; ; ; ; ; ; ;"1,230"
"=""10:41"""; ; ; ; ; ; ; ; ; ;"1,140"
"=""10:45""";740;0;11;751;307;740;539;"1,585"; ; 
"=""10:46"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:56"""; ; ; ; ; ; ; ; ; ;"1,260"
"=""11:00""";"1,321";0;146;"1,466";324;"1,321";264;"1,908"; ; 
"=""11:01"""; ; ; ; ; ; ; ; ; ;"1,410"
"=""11:06"""; ; ; ; ; ; ; ; ; ;0
"=""11:11"""; ; ; ; ; ; ; ; ; ;"1,230"
"=""11:15""";904;0;115;"1,019";381;904;375;"1,660"; ; 
"=""11:16"""; ; ; ; ; ; ; ; ; ;270
"=""11:21"""; ; ; ; ; ; ; ; ; ;"1,080"
"=""11:26"""; ; ; ; ; ; ; ; ; ;"1,170"
"=""11:30""";746;0;105;851;404;746;295;"1,444"; ; 
"=""11:31"""; ; ; ; ; ; ; ; ; ;"1,950"
"=""11:36"""; ; ; ; ; ; ; ; ; ;"1,170"
"=""11:41"""; ; ; ; ; ; ; ; ; ;"1,020"
"=""11:45""";796;0;106;902;383;796;258;"1,436"; ; 
"=""11:46"""; ; ; ; ; ; ; ; ; ;"1,290"
"=""11:51"""; ; ; ; ; ; ; ; ; ;"1,050"
"=""11:56"""; ; ; ; ; ; ; ; ; ;990
"=""12:00""";804;0;104;908;389;804;237;"1,431"; ; 
"=""12:01"""; ; ; ; ; ; ; ; ; ;"1,020"
"=""12:06"""; ; ; ; ; ; ; ; ; ;"1,170"
"=""12:11"""; ; ; ; ; ; ; ; ; ;0
"=""12:15""";777;0;55;832;354;777;224;"1,355"; ; 
"=""12:16"""; ; ; ; ; ; ; ; ; ;180
"=""12:21"""; ; ; ; ; ; ; ; ; ;"1,260"
"=""12:26"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""12:30""";741;0;111;852;308;741;161;"1,210"; ; 
"=""12:31"""; ; ; ; ; ; ; ; ; ;"1,920"
"=""12:36"""; ; ; ; ; ; ; ; ; ;0
"=""12:41"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""12:45""";"1,384";0;122;"1,506";305;"1,384";75;"1,764"; ; 
"=""12:46"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:56"""; ; ; ; ; ; ; ; ; ;"2,580"
"=""13:00""";"1,179";652;183;"2,015";173;"1,179";0;"1,352"; ; 
"=""13:01"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:15""";"2,616";0;34;"2,650";13;"2,616";364;"2,993"; ; 
"=""13:30""";"2,205";459;112;"2,776";118;"2,205";0;"2,323"; ; 
"=""13:45""";"1,658";"1,081";123;"2,863";129;"1,658";0;"1,787"; ; 
"=""14:00""";"2,649";86;42;"2,776";42;"2,649";0;"2,691"; ; 
"=""14:06"""; ; ; ; ; ; ; ; ; ;840
"=""14:11"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""14:15""";"1,931";270;109;"2,310";98;"1,931";0;"2,029"; ; 
"=""14:16"""; ; ; ; ; ; ; ; ; ;0
"=""14:21"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:30""";"1,223";"1,837";141;"3,200";133;"1,223";0;"1,355"; ; 
"=""14:45""";"1,600";713;63;"2,376";59;"1,600";0;"1,659"; ; 
"=""15:00""";"1,095";797;53;"1,945";57;"1,095";0;"1,152"; ; 
"=""15:15""";972;433;42;"1,447";43;972;0;"1,015"; ; 
"=""15:26"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""15:30""";"1,038";792;97;"1,927";90;"1,038";0;"1,128"; ; 
"=""15:31"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""15:45""";799;476;35;"1,310";48;799;0;846; ; 
"=""16:00""";690;225;17;933;14;690;0;704; ; 
"=""16:15""";477;450;19;946;18;477;0;495; ; 
"=""16:30""";411;362;197;971;8;411;0;419; ; 
"=""16:45""";287;0;659;947;0;287;1;288; ; 
"=""17:00""";156;1;698;855;0;156;0;156; ; 
"=""17:15""";116;0;"1,559";"1,676";0;116;1;117; ; 
"=""17:30""";85;1;"1,927";"2,013";0;85;0;85; ; 
"=""17:45""";37;0;"1,537";"1,574";0;37;0;37; ; 
"=""18:00""";5;0;"1,733";"1,738";0;5;1;6; ; 
"=""18:15""";0;2;"1,554";"1,485";0;0;0;; ; 
"=""18:30""";0;0;"3,284";"3,283";0;0;1;; ; 
"=""18:45""";0;0;"2,363";"2,362";0;0;2;; ; 
"=""19:00"""; ;0;"1,981";;0;;0;; ; 
"=""19:15"""; ;0;"1,858";;0;;0;; ; 
"=""19:30"""; ;1;"3,209";;0;;0;; ; 
"=""19:45"""; ;1;"3,565";;0;;0;; ; 
"=""20:00"""; ;0;"3,132";;0;;1;; ; 
"=""20:15"""; ;0;"2,883";;0;;1;; ; 
"=""20:30"""; ;1;"2,705";;0;;0;; ; 
"=""20:45"""; ;0;"4,050";;0;;0;; ; 
"=""21:00"""; ;2;"2,920";;0;;0;; ; 
"=""21:15"""; ;0;"2,884";;0;;0;; ; 
"=""21:30"""; ;0;"2,633";;0;;0;; ; 
"=""21:45"""; ;0;"2,464";;0;;0;; ; 
"=""22:00"""; ;0;"2,600";;0;;1;; ; 
"=""22:15"""; ;0;"2,509";;0;;0;; ; 
"=""22:17"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""22:22"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""22:30"""; ;414;"1,872";;5;;0;; ; 
"=""22:45"""; ;0;"2,210";;0;;2;; ; 
"=""23:00"""; ;0;"2,226";;0;;0;; ; 
"=""23:15"""; ;1;"3,784";;0;;0;; ; 
"=""23:30"""; ;0;"3,805";;0;;1;; ; 
"=""23:45"""; ;1;"3,238";;0;;0;; ; 
"=""00:00"""; ;0;"3,781";;0;;0;;300;"3,000"
