 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,830";;0;;0;; ; 
"=""00:30"""; ;0;"1,578";;0;;1;; ; 
"=""00:45"""; ;0;"1,620";;0;;0;; ; 
"=""01:00"""; ;1;"1,590";;0;;0;; ; 
"=""01:15"""; ;0;"1,576";;0;;0;; ; 
"=""01:30"""; ;0;"1,622";;0;;1;; ; 
"=""01:45"""; ;0;"1,612";;0;;0;; ; 
"=""02:00"""; ;0;"1,461";;0;;0;; ; 
"=""02:15"""; ;0;"1,394";;0;;0;; ; 
"=""02:30"""; ;0;"1,405";;0;;2;; ; 
"=""02:45"""; ;1;"1,268";;0;;0;; ; 
"=""03:00"""; ;1;"1,399";;0;;0;; ; 
"=""03:15"""; ;0;"1,366";;0;;2;; ; 
"=""03:30"""; ;1;"1,363";;0;;0;; ; 
"=""03:45"""; ;0;"1,258";;0;;0;; ; 
"=""04:00"""; ;0;"1,004";;0;;2;; ; 
"=""04:15"""; ;0;880;;0;;1;; ; 
"=""04:30"""; ;0;"1,336";;0;;1;; ; 
"=""04:45"""; ;0;"1,169";;0;;1;; ; 
"=""05:00"""; ;0;"2,095";;0;;0;; ; 
"=""05:15"""; ;1;"1,314";;0;;0;; ; 
"=""05:30"""; ;0;"2,176";;0;;1;; ; 
"=""05:45""";0;0;"1,911";"1,909";0;0;2;; ; 
"=""06:00""";0;0;"1,283";"1,282";0;0;1;; ; 
"=""06:15""";0;0;"1,241";"1,240";0;0;1;; ; 
"=""06:30""";0;0;"2,849";"2,848";0;0;2;0; ; 
"=""06:45""";45;0;"1,182";"1,227";0;45;0;45; ; 
"=""07:00""";118;0;702;820;0;118;1;119; ; 
"=""07:15""";221;0;583;804;0;221;0;221; ; 
"=""07:30""";331;0;807;"1,138";0;331;1;332; ; 
"=""07:45""";463;0;267;730;0;463;0;463; ; 
"=""08:00""";581;0;583;"1,164";0;581;0;581; ; 
"=""08:15""";714;0;43;756;40;714;247;"1,000"; ; 
"=""08:30""";759;0;86;845;84;759;412;"1,255"; ; 
"=""08:38"""; ; ; ; ; ; ; ; ; ;"2,760"
"=""08:43"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:45""";757;0;114;871;110;757;427;"1,293"; ; 
"=""09:00""";790;0;151;940;42;790;338;"1,169"; ; 
"=""09:15""";653;0;68;721;56;653;636;"1,345"; ; 
"=""09:30""";716;0;59;774;59;716;"1,588";"2,362"; ; 
"=""09:45""";754;0;34;787;32;754;"1,411";"2,197"; ; 
"=""09:48"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""09:53"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:00""";"1,041";0;452;"1,493";84;"1,041";495;"1,619"; ; 
"=""10:15""";"1,499";0;578;"2,077";31;"1,499";72;"1,602"; ; 
"=""10:30""";"1,225";0;"1,306";"2,531";60;"1,225";189;"1,474"; ; 
"=""10:45""";"1,162";0;901;"2,063";22;"1,162";61;"1,245"; ; 
"=""10:58"""; ; ; ; ; ; ; ; ; ;"2,820"
"=""11:00""";"1,144";0;615;"1,760";35;"1,144";217;"1,397"; ; 
"=""11:03"""; ; ; ; ; ; ; ; ; ;"2,940"
"=""11:08"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:15""";"1,130";0;448;"1,578";240;"1,130";703;"2,073"; ; 
"=""11:18"""; ; ; ; ; ; ; ; ; ;150
"=""11:23"""; ; ; ; ; ; ; ; ; ;"2,490"
"=""11:28"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:30""";"1,040";0;369;"1,409";130;"1,040";469;"1,639"; ; 
"=""11:38"""; ; ; ; ; ; ; ; ; ;"2,970"
"=""11:43"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";985;0;322;"1,307";103;985;914;"2,002"; ; 
"=""11:58"""; ; ; ; ; ; ; ; ; ;"2,010"
"=""12:00""";900;0;42;942;35;900;"2,050";"2,984"; ; 
"=""12:03"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""12:08"""; ; ; ; ; ; ; ; ; ;"2,310"
"=""12:13"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:15""";"1,093";0;283;"1,376";196;"1,093";863;"2,153"; ; 
"=""12:30""";972;0;388;"1,360";231;972;672;"1,874"; ; 
"=""12:45""";"1,930";0;962;"2,892";10;"1,930";28;"1,968"; ; 
"=""13:00""";"1,980";0;"1,094";"3,074";0;"1,980";1;"1,981"; ; 
"=""13:15""";"1,936";0;"1,369";"3,305";3;"1,936";1;"1,940"; ; 
"=""13:28"""; ; ; ; ; ; ; ; ; ;"1,920"
"=""13:30""";"2,506";0;408;"2,914";5;"2,506";69;"2,580"; ; 
"=""13:33"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:45""";"2,290";0;439;"2,729";37;"2,290";258;"2,584"; ; 
"=""14:00""";"1,976";0;548;"2,524";41;"1,976";248;"2,265"; ; 
"=""14:15""";"1,959";0;711;"2,670";43;"1,959";101;"2,102"; ; 
"=""14:30""";"1,489";0;"1,151";"2,640";17;"1,489";118;"1,624"; ; 
"=""14:45""";"1,408";1;"1,304";"2,714";1;"1,408";0;"1,409"; ; 
"=""14:53"""; ; ; ; ; ; ; ; ; ;"2,400"
"=""14:58"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""15:00""";"1,713";0;607;"2,320";9;"1,713";63;"1,785"; ; 
"=""15:15""";"1,062";0;"1,501";"2,563";4;"1,062";30;"1,096"; ; 
