 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,280";;0;;0;; ; 
"=""00:30"""; ;0;978;;0;;0;; ; 
"=""00:45"""; ;0;926;;0;;0;; ; 
"=""01:00"""; ;0;922;;0;;0;; ; 
"=""01:15"""; ;0;849;;0;;0;; ; 
"=""01:30"""; ;0;771;;0;;0;; ; 
"=""01:45"""; ;0;748;;0;;0;; ; 
"=""02:00"""; ;0;793;;0;;0;; ; 
"=""02:15"""; ;0;689;;0;;0;; ; 
"=""02:30"""; ;0;778;;0;;0;; ; 
"=""02:45"""; ;0;537;;0;;0;; ; 
"=""03:00"""; ;0;682;;0;;0;; ; 
"=""03:15"""; ;0;620;;0;;0;; ; 
"=""03:30"""; ;0;667;;0;;0;; ; 
"=""03:45"""; ;0;461;;0;;0;; ; 
"=""04:00"""; ;0;496;;0;;0;; ; 
"=""04:15"""; ;0;529;;0;;0;; ; 
"=""04:30"""; ;0;483;;0;;0;; ; 
"=""04:45"""; ;0;553;;0;;0;; ; 
"=""05:00"""; ;0;"2,774";;0;;0;; ; 
"=""05:15"""; ;0;"2,288";;0;;0;; ; 
"=""05:30"""; ;0;"2,391";;0;;0;; ; 
"=""05:45"""; ;0;814;;0;;0;; ; 
"=""06:00"""; ;0;742;;0;;0;; ; 
"=""06:15""";0;0;604;604;0;0;0;; ; 
"=""06:30""";0;0;"2,209";"2,209";0;0;0;; ; 
"=""06:45""";0;0;641;641;0;0;0;0; ; 
"=""07:00""";6;0;605;611;0;6;0;6; ; 
"=""07:15""";122;0;566;688;0;122;0;122; ; 
"=""07:30""";204;0;630;834;0;204;0;204; ; 
"=""07:45""";479;0;446;925;0;479;0;479; ; 
"=""08:00""";581;0;779;"1,360";24;581;12;617; ; 
"=""08:13"""; ; ; ; ; ; ; ; ; ;"1,440"
"=""08:15""";677;0;560;"1,237";75;677;204;955; ; 
"=""08:18"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:28"""; ; ; ; ; ; ; ; ; ;720
"=""08:30""";634;0;337;971;103;634;392;"1,129"; ; 
"=""08:33"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:45""";877;0;486;"1,363";143;877;462;"1,481"; ; 
"=""08:58"""; ; ; ; ; ; ; ; ; ;420
"=""09:00""";917;0;386;"1,304";182;917;542;"1,641"; ; 
"=""09:03"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:08"""; ; ; ; ; ; ; ; ; ;330
"=""09:13"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:15""";968;0;182;"1,149";188;968;633;"1,788"; ; 
"=""09:18"""; ; ; ; ; ; ; ; ; ;"2,070"
"=""09:23"""; ; ; ; ; ; ; ; ; ;0
"=""09:28"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";946;0;312;"1,258";314;946;596;"1,856"; ; 
"=""09:33"""; ; ; ; ; ; ; ; ; ;"2,370"
"=""09:38"""; ; ; ; ; ; ; ; ; ;"2,670"
"=""09:43"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:45""";"1,291";0;293;"1,583";294;"1,291";369;"1,953"; ; 
"=""09:48"""; ; ; ; ; ; ; ; ; ;0
"=""09:53"""; ; ; ; ; ; ; ; ; ;"1,560"
"=""09:58"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""10:00""";"1,180";729;289;"2,197";296;"1,180";0;"1,476"; ; 
"=""10:03"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:08"""; ; ; ; ; ; ; ; ; ;180
"=""10:15""";853;0;184;"1,036";181;853;"1,309";"2,342"; ; 
"=""10:18"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";"1,020";0;191;"1,211";194;"1,020";"1,187";"2,401"; ; 
"=""10:38"""; ; ; ; ; ; ; ; ; ;"2,070"
"=""10:43"""; ; ; ; ; ; ; ; ; ;"1,980"
"=""10:45""";622;0;1;623;240;622;"1,752";"2,613"; ; 
"=""10:48"""; ; ; ; ; ; ; ; ; ;"1,800"
"=""10:53"""; ; ; ; ; ; ; ; ; ;"1,140"
"=""10:58"""; ; ; ; ; ; ; ; ; ;"1,650"
"=""11:00""";594;0;118;712;338;594;"1,225";"2,157"; ; 
"=""11:03"""; ; ; ; ; ; ; ; ; ;"1,560"
"=""11:13"""; ; ; ; ; ; ; ; ; ;"1,590"
"=""11:15""";772;0;12;784;305;772;863;"1,939"; ; 
"=""11:18"""; ; ; ; ; ; ; ; ; ;"1,350"
"=""11:23"""; ; ; ; ; ; ; ; ; ;"1,260"
"=""11:30""";725;0;0;725;301;725;684;"1,709"; ; 
"=""11:33"""; ; ; ; ; ; ; ; ; ;"1,140"
"=""11:38"""; ; ; ; ; ; ; ; ; ;"1,230"
"=""11:43"""; ; ; ; ; ; ; ; ; ;"1,110"
"=""11:45""";684;0;130;814;380;684;509;"1,573"; ; 
"=""11:48"""; ; ; ; ; ; ; ; ; ;"1,080"
"=""11:53"""; ; ; ; ; ; ; ; ; ;"1,140"
"=""11:58"""; ; ; ; ; ; ; ; ; ;"1,050"
"=""12:00""";603;0;55;658;342;603;423;"1,368"; ; 
"=""12:03"""; ; ; ; ; ; ; ; ; ;990
"=""12:08"""; ; ; ; ; ; ; ; ; ;930
"=""12:13"""; ; ; ; ; ; ; ; ; ;"2,430"
"=""12:15""";552;0;39;591;332;552;362;"1,245"; ; 
"=""12:18"""; ; ; ; ; ; ; ; ; ;"1,050"
"=""12:28"""; ; ; ; ; ; ; ; ; ;960
"=""12:30""";640;0;19;658;317;640;319;"1,275"; ; 
"=""12:33"""; ; ; ; ; ; ; ; ; ;900
"=""12:38"""; ; ; ; ; ; ; ; ; ;"1,050"
