 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"2,965";;0;;0;; ; 
"=""00:30"""; ;0;"2,608";;0;;0;; ; 
"=""00:45"""; ;0;"1,829";;0;;0;; ; 
"=""01:00"""; ;0;"2,064";;0;;0;; ; 
"=""01:15"""; ;0;"2,228";;0;;0;; ; 
"=""01:30"""; ;0;"1,515";;0;;0;; ; 
"=""01:45"""; ;0;"2,127";;0;;0;; ; 
"=""02:00"""; ;0;"1,826";;0;;0;; ; 
"=""02:15"""; ;0;"1,919";;0;;0;; ; 
"=""02:30"""; ;0;"1,884";;0;;0;; ; 
"=""02:45"""; ;0;998;;0;;0;; ; 
"=""03:00"""; ;0;"1,804";;0;;0;; ; 
"=""03:15"""; ;0;"1,595";;0;;0;; ; 
"=""03:30"""; ;0;"1,590";;0;;0;; ; 
"=""03:45"""; ;0;"1,390";;0;;0;; ; 
"=""04:00"""; ;0;"1,530";;0;;0;; ; 
"=""04:15"""; ;0;"2,054";;0;;0;; ; 
"=""04:30"""; ;0;"1,309";;0;;0;; ; 
"=""04:45"""; ;0;"1,850";;0;;0;; ; 
"=""05:00"""; ;0;"3,056";;0;;0;; ; 
"=""05:15"""; ;0;"2,180";;0;;0;; ; 
"=""05:30"""; ;0;"2,598";;0;;0;; ; 
"=""05:45""";0;0;"1,532";"1,532";0;0;0;; ; 
"=""06:00""";0;0;"1,412";"1,412";0;0;0;; ; 
"=""06:15""";0;0;"2,025";"2,025";0;0;0;; ; 
"=""06:30""";0;0;972;972;0;0;0;0; ; 
"=""06:45""";50;0;887;937;0;50;0;50; ; 
"=""07:00""";147;0;800;947;0;147;0;147; ; 
"=""07:15""";302;0;552;854;0;302;0;302; ; 
"=""07:30""";447;0;566;"1,013";0;447;0;447; ; 
"=""07:45""";784;0;901;"1,684";12;784;33;828; ; 
"=""07:50"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""07:55"""; ; ; ; ; ; ; ; ; ;"3,000"
