 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,370";;0;;0;; ; 
"=""00:30"""; ;0;"1,345";;0;;0;; ; 
"=""00:45"""; ;0;"1,116";;0;;0;; ; 
"=""01:00"""; ;0;"1,404";;0;;0;; ; 
"=""01:15"""; ;0;"1,419";;0;;0;; ; 
"=""01:30"""; ;0;"1,510";;0;;0;; ; 
"=""01:45"""; ;0;"1,276";;0;;0;; ; 
"=""02:00"""; ;0;"1,279";;0;;0;; ; 
"=""02:15"""; ;0;"1,203";;0;;0;; ; 
"=""02:30"""; ;0;"1,362";;0;;0;; ; 
"=""02:45"""; ;0;"1,361";;0;;0;; ; 
"=""03:00"""; ;0;"1,034";;0;;0;; ; 
"=""03:15"""; ;0;924;;0;;0;; ; 
"=""03:30"""; ;0;"1,161";;0;;0;; ; 
"=""03:45"""; ;0;"1,192";;0;;0;; ; 
"=""04:00"""; ;0;"1,069";;0;;0;; ; 
"=""04:15"""; ;0;976;;0;;0;; ; 
"=""04:30"""; ;0;806;;0;;0;; ; 
"=""04:45"""; ;0;"1,184";;0;;0;; ; 
"=""05:00"""; ;0;"2,653";;0;;0;; ; 
"=""05:15"""; ;0;"2,176";;0;;0;; ; 
"=""05:30"""; ;0;"1,301";;0;;0;; ; 
"=""05:45"""; ;0;"1,117";;0;;0;; ; 
"=""06:00"""; ;0;945;;0;;0;; ; 
"=""06:15""";0;0;952;952;0;0;0;; ; 
"=""06:30""";0;0;"2,298";"2,298";0;0;0;; ; 
"=""06:45""";0;0;"1,037";"1,037";0;0;0;0; ; 
"=""07:00""";6;0;771;777;0;6;0;6; ; 
"=""07:15""";82;0;679;761;0;82;0;82; ; 
"=""07:30""";152;0;614;766;0;152;0;152; ; 
"=""07:45""";239;0;500;739;0;239;0;239; ; 
"=""08:00""";387;0;767;"1,154";0;387;0;387; ; 
"=""08:15""";558;0;552;"1,110";0;558;0;558; ; 
"=""08:30""";732;2;144;878;30;732;0;762; ; 
"=""08:45""";851;0;233;"1,084";34;851;24;909; ; 
"=""09:00""";773;0;13;786;14;773;350;"1,136"; ; 
"=""09:15""";705;0;13;718;12;705;625;"1,342"; ; 
"=""09:30""";735;0;26;760;24;735;822;"1,580"; ; 
"=""09:45""";730;0;16;746;17;730;918;"1,665"; ; 
"=""10:00""";760;0;10;770;12;760;940;"1,711"; ; 
"=""10:15""";713;0;36;748;23;713;"1,061";"1,797"; ; 
"=""10:30""";"1,238";0;80;"1,318";89;"1,238";548;"1,875"; ; 
"=""10:45""";857;0;32;888;29;857;"1,085";"1,970"; ; 
"=""11:00""";"1,110";0;65;"1,174";65;"1,110";977;"2,152"; ; 
"=""11:15""";758;0;11;769;11;758;"1,501";"2,270"; ; 
"=""11:30""";"1,206";0;115;"1,322";142;"1,206";897;"2,246"; ; 
"=""11:45""";854;0;4;857;148;854;"1,141";"2,142"; ; 
"=""11:48"""; ; ; ; ; ; ; ; ; ;"1,920"
