 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""14:15""";"1,313";0;"2,554";"3,867";11;"1,313";7;"1,330"; ; 
"=""14:30""";"1,370";0;"2,338";"3,707";3;"1,370";24;"1,397"; ; 
"=""14:45""";"2,067";0;"1,336";"3,403";34;"2,067";85;"2,186"; ; 
"=""14:48"""; ; ; ; ; ; ; ; ; ;"2,160"
"=""14:53"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""15:00""";"1,755";0;"1,555";"3,310";19;"1,755";52;"1,826"; ; 
"=""15:15""";"2,037";0;"2,258";"4,294";0;"2,037";1;"2,038"; ; 
"=""15:30""";"1,561";2;"2,019";"3,582";0;"1,561";0;"1,561"; ; 
"=""15:45""";601;0;"1,738";"2,339";0;601;1;602; ; 
"=""16:00""";635;0;"1,103";"1,738";0;635;2;637; ; 
"=""16:15""";848;0;552;"1,400";8;848;26;882; ; 
"=""16:28"""; ; ; ; ; ; ; ; ; ;"2,910"
"=""16:30""";"1,036";0;339;"1,375";15;"1,036";121;"1,171"; ; 
"=""16:33"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""16:45""";873;0;518;"1,392";15;873;37;926; ; 
"=""17:00""";322;0;741;"1,063";0;322;0;322; ; 
"=""17:15""";133;0;"2,136";"2,269";0;133;0;133; ; 
"=""17:30""";110;0;"2,114";"2,224";0;110;1;111; ; 
"=""17:45""";69;0;"1,485";"1,554";0;69;0;69; ; 
"=""18:00""";28;0;"2,545";"2,573";0;28;0;28; ; 
"=""18:15""";0;0;"2,051";"2,051";0;0;0;0; ; 
"=""18:30""";0;0;"2,024";"2,022";0;0;1;; ; 
"=""18:45""";0;0;"2,138";"2,138";0;0;0;; ; 
"=""19:00""";0;0;"2,663";"2,661";0;0;1;; ; 
"=""19:15""";0;0;"2,602";"2,601";0;0;1;; ; 
"=""19:30""";0;0;"2,332";"2,330";0;0;2;; ; 
"=""19:45""";0;0;"2,476";"2,476";0;0;0;; ; 
"=""20:00""";0;0;"4,441";"4,440";0;0;2;; ; 
"=""20:15""";0;0;"2,517";"2,517";0;0;0;; ; 
"=""20:30""";0;0;"2,302";"2,302";0;0;0;; ; 
"=""20:45""";0;0;"1,903";"1,902";0;0;1;; ; 
"=""21:00""";0;0;"1,693";"1,692";0;0;1;; ; 
"=""21:15""";0;1;"1,770";"1,771";0;0;0;; ; 
"=""21:30""";0;0;"2,182";"2,181";0;0;1;; ; 
"=""21:45""";0;0;"1,958";"1,958";0;0;0;; ; 
"=""22:00""";0;0;"1,660";"1,660";0;0;0;; ; 
"=""22:15""";0;0;"1,914";"1,912";0;0;2;; ; 
"=""22:30""";0;0;"1,909";"1,908";0;0;2;; ; 
"=""22:45""";0;1;"1,537";"1,538";0;0;0;; ; 
"=""23:00""";0;0;"1,518";"1,516";0;0;2;; ; 
"=""23:15""";0;0;"1,419";"1,418";0;0;1;; ; 
"=""23:30""";0;2;"1,938";"1,940";0;0;0;; ; 
"=""23:45""";0;1;"1,660";"1,661";0;0;0;; ; 
"=""00:00""";0;0;"1,490";"1,489";0;0;1;;300;"3,000"
