 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,709";;0;;0;; ; 
"=""00:30"""; ;0;"2,226";;0;;0;; ; 
"=""00:45"""; ;0;"1,610";;0;;0;; ; 
"=""01:00"""; ;0;"2,030";;0;;0;; ; 
"=""01:15"""; ;0;"1,840";;0;;0;; ; 
"=""01:30"""; ;0;"1,708";;0;;0;; ; 
"=""01:45"""; ;0;"1,954";;0;;0;; ; 
"=""02:00"""; ;0;"1,525";;0;;0;; ; 
"=""02:15"""; ;0;"1,953";;0;;0;; ; 
"=""02:30"""; ;0;"1,634";;0;;0;; ; 
"=""02:45"""; ;0;"1,385";;0;;0;; ; 
"=""03:00"""; ;0;"1,371";;0;;0;; ; 
"=""03:15"""; ;0;"1,615";;0;;0;; ; 
"=""03:30"""; ;0;"1,340";;0;;0;; ; 
"=""03:45"""; ;0;"1,684";;0;;0;; ; 
"=""04:00"""; ;0;"1,343";;0;;0;; ; 
"=""04:15"""; ;0;"1,106";;0;;0;; ; 
"=""04:30"""; ;0;"1,340";;0;;0;; ; 
"=""04:45"""; ;0;"1,442";;0;;0;; ; 
"=""05:00""";0;0;"2,540";"2,540";0;0;0;; ; 
"=""05:15""";0;0;"2,027";"2,027";0;0;0;; ; 
"=""05:30""";0;0;"3,630";"3,630";0;0;0;; ; 
"=""05:45""";0;0;"1,719";"1,719";0;0;0;; ; 
"=""06:00""";0;0;"1,287";"1,287";0;0;0;; ; 
"=""06:15""";0;0;"1,358";"1,358";0;0;0;; ; 
"=""06:30""";0;0;"1,899";"1,899";0;0;0;0; ; 
"=""06:45""";34;0;"1,254";"1,288";0;34;0;34; ; 
"=""07:00""";146;0;"1,024";"1,170";0;146;0;146; ; 
"=""07:15""";287;0;879;"1,166";0;287;0;287; ; 
"=""07:30""";454;0;462;916;0;454;0;454; ; 
"=""07:45""";628;0;353;981;5;628;0;633; ; 
"=""08:00""";699;0;343;"1,042";18;699;47;764; ; 
"=""08:15""";778;0;294;"1,072";54;778;166;997; ; 
"=""08:30""";807;0;243;"1,049";55;807;277;"1,139"; ; 
"=""08:43"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""08:45""";754;0;70;824;71;754;505;"1,330"; ; 
"=""08:48"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:00""";714;0;58;772;60;714;826;"1,600"; ; 
"=""09:15""";759;0;11;770;12;759;"1,087";"1,857"; ; 
"=""09:30""";"1,086";0;56;"1,142";53;"1,086";376;"1,515"; ; 
"=""09:45""";651;0;14;665;14;651;449;"1,113"; ; 
