 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"3,066";;0;;0;; ; 
"=""00:30"""; ;0;"2,806";;0;;0;; ; 
"=""00:45"""; ;0;"2,686";;0;;0;; ; 
"=""01:00"""; ;0;"2,487";;0;;0;; ; 
"=""01:15"""; ;0;"2,243";;0;;0;; ; 
"=""01:30"""; ;0;"2,440";;0;;0;; ; 
"=""01:45"""; ;0;"1,897";;0;;0;; ; 
"=""02:00"""; ;0;"2,407";;0;;0;; ; 
"=""02:15"""; ;0;"1,939";;0;;0;; ; 
"=""02:30"""; ;0;"2,279";;0;;0;; ; 
"=""02:45"""; ;0;"2,018";;0;;0;; ; 
"=""03:00"""; ;0;"1,979";;0;;0;; ; 
"=""03:15"""; ;0;"1,806";;0;;0;; ; 
"=""03:30"""; ;0;"1,711";;0;;0;; ; 
"=""03:45"""; ;0;"1,980";;0;;0;; ; 
"=""04:00"""; ;0;"1,895";;0;;0;; ; 
"=""04:15"""; ;0;"1,744";;0;;0;; ; 
"=""04:30"""; ;0;"1,591";;0;;0;; ; 
"=""04:45"""; ;0;"1,536";;0;;0;; ; 
"=""05:00"""; ;0;"2,179";;0;;0;; ; 
"=""05:15"""; ;0;"2,541";;0;;0;; ; 
"=""05:30"""; ;0;"2,547";;0;;0;; ; 
"=""05:45""";0;0;"1,579";"1,579";0;0;0;; ; 
"=""06:00""";0;0;"1,189";"1,189";0;0;0;; ; 
"=""06:15""";0;0;"1,110";"1,110";0;0;0;; ; 
"=""06:30""";0;0;"1,620";"1,620";0;0;0;; ; 
"=""06:45""";4;0;799;803;0;4;0;4; ; 
"=""07:00""";62;0;684;746;0;62;0;62; ; 
"=""07:15""";157;0;531;688;0;157;0;157; ; 
