 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15""";0;0;"2,669";"2,669";0;0;0;; ; 
"=""00:30""";0;0;"2,179";"2,179";0;0;0;; ; 
"=""00:45""";0;0;"2,241";"2,241";0;0;0;; ; 
"=""01:00""";0;0;"2,197";"2,197";0;0;0;; ; 
"=""01:15""";0;0;"1,844";"1,844";0;0;0;; ; 
"=""01:30""";0;0;"1,799";"1,799";0;0;0;; ; 
"=""01:45""";0;0;"1,616";"1,616";0;0;0;; ; 
"=""02:00""";0;0;"1,958";"1,958";0;0;0;; ; 
"=""02:15""";0;0;"2,003";"2,003";0;0;0;; ; 
"=""02:30""";0;0;"1,828";"1,828";0;0;0;; ; 
"=""02:45""";0;0;"1,761";"1,761";0;0;0;; ; 
"=""03:00""";0;0;"1,705";"1,705";0;0;0;; ; 
"=""03:15""";0;0;"1,469";"1,469";0;0;0;; ; 
"=""03:30""";0;0;"1,056";"1,056";0;0;0;; ; 
"=""03:45""";0;0;"1,747";"1,747";0;0;0;; ; 
"=""04:00""";0;0;"1,779";"1,779";0;0;0;; ; 
"=""04:15""";0;0;"1,633";"1,633";0;0;0;; ; 
"=""04:30""";0;0;"1,529";"1,529";0;0;0;; ; 
"=""04:45""";0;0;"1,209";"1,209";0;0;0;; ; 
"=""05:00""";0;0;"2,466";"2,466";0;0;0;; ; 
"=""05:15""";0;0;"2,829";"2,829";0;0;0;; ; 
"=""05:30""";0;0;"2,636";"2,636";0;0;0;; ; 
"=""05:45""";0;0;"1,735";"1,735";0;0;0;; ; 
"=""06:00""";0;0;"1,397";"1,397";0;0;0;; ; 
"=""06:15""";0;0;"1,176";"1,176";0;0;0;; ; 
"=""06:30""";0;0;"1,705";"1,705";0;0;0;0; ; 
"=""06:45""";37;0;908;945;0;37;0;37; ; 
"=""07:00""";105;0;818;923;0;105;0;105; ; 
"=""07:15""";189;0;724;913;0;189;0;189; ; 
"=""07:30""";294;0;669;963;0;294;0;294; ; 
"=""07:45""";508;0;480;988;0;508;0;508; ; 
"=""08:00""";692;0;297;989;13;692;18;723; ; 
"=""08:15""";684;0;343;"1,027";44;684;133;862; ; 
"=""08:30""";760;0;111;871;59;760;144;963; ; 
"=""08:45""";827;0;63;890;58;827;743;"1,627"; ; 
"=""08:50"""; ; ; ; ; ; ; ; ; ;"2,880"
"=""08:55"""; ; ; ; ; ; ; ; ; ;"2,790"
"=""09:00""";939;0;69;"1,007";70;939;436;"1,444"; ; 
"=""09:00"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:10"""; ; ; ; ; ; ; ; ; ;0
"=""09:15""";"1,138";0;125;"1,263";112;"1,138";963;"2,213"; ; 
"=""09:15"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";"1,253";39;228;"1,520";243;"1,253";0;"1,496"; ; 
"=""09:45""";"1,302";0;321;"1,622";313;"1,302";289;"1,904"; ; 
"=""09:45"""; ; ; ; ; ; ; ; ; ;"1,560"
"=""09:50"""; ; ; ; ; ; ; ; ; ;"2,310"
"=""09:55"""; ; ; ; ; ; ; ; ; ;0
"=""10:00""";"1,626";558;330;"2,514";334;"1,626";0;"1,960"; ; 
"=""10:00"""; ; ; ; ; ; ; ; ; ;"1,380"
"=""10:05"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:15""";941;419;348;"1,708";201;941;0;"1,142"; ; 
"=""10:25"""; ; ; ; ; ; ; ; ; ;"1,590"
"=""10:30""";"1,133";0;299;"1,431";251;"1,133";616;"2,000"; ; 
"=""10:30"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:40"""; ; ; ; ; ; ; ; ; ;"2,220"
