 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,119";;0;;1;; ; 
"=""00:30"""; ;0;"1,403";;0;;4;; ; 
"=""00:45"""; ;0;854;;0;;0;; ; 
"=""01:00"""; ;0;"1,351";;0;;2;; ; 
"=""01:15"""; ;0;"3,837";;0;;3;; ; 
"=""01:30"""; ;0;"1,843";;0;;1;; ; 
"=""01:45"""; ;0;899;;0;;1;; ; 
"=""02:00"""; ;0;"2,182";;0;;1;; ; 
"=""02:15"""; ;0;959;;0;;1;; ; 
"=""02:30"""; ;0;744;;0;;2;; ; 
"=""02:45"""; ;0;855;;0;;1;; ; 
"=""03:00"""; ;0;911;;0;;1;; ; 
"=""03:15"""; ;1;592;;0;;0;; ; 
"=""03:30"""; ;0;760;;0;;1;; ; 
"=""03:45"""; ;0;670;;0;;3;; ; 
"=""04:00"""; ;0;679;;0;;0;; ; 
"=""04:15"""; ;1;856;;0;;0;; ; 
"=""04:30"""; ;0;443;;0;;1;; ; 
"=""04:45"""; ;0;719;;0;;0;; ; 
"=""05:00"""; ;0;566;;0;;2;; ; 
"=""05:15"""; ;2;908;;0;;0;; ; 
"=""05:30"""; ;0;890;;0;;1;; ; 
"=""05:45"""; ;0;"1,642";;0;;1;; ; 
"=""06:00"""; ;0;823;;0;;0;; ; 
"=""06:15""";0;3;"1,008";"1,011";0;0;0;; ; 
"=""06:30""";0;0;"2,322";"2,318";0;0;3;; ; 
"=""06:45""";0;0;931;931;0;0;0;; ; 
"=""07:00""";0;0;904;904;0;0;1;1; ; 
"=""07:15""";52;0;"1,001";"1,053";0;52;3;54; ; 
"=""07:30""";115;0;"1,378";"1,493";0;115;1;116; ; 
"=""07:45""";349;1;"1,816";"2,165";0;349;0;349; ; 
"=""08:00""";515;0;737;"1,252";0;515;1;516; ; 
"=""08:15""";760;2;"1,670";"2,432";0;760;0;760; ; 
"=""08:30""";587;0;13;600;15;587;406;"1,007"; ; 
"=""08:45""";629;0;17;646;16;629;588;"1,233"; ; 
"=""09:00""";792;0;36;828;35;792;651;"1,478"; ; 
"=""09:15""";709;0;20;728;18;709;944;"1,670"; ; 
"=""09:30""";567;0;10;576;11;567;"1,322";"1,899"; ; 
"=""09:45""";635;0;10;645;9;635;"1,370";"2,014"; ; 
"=""10:00""";614;0;15;629;13;614;"1,547";"2,173"; ; 
"=""10:11"""; ; ; ; ; ; ; ; ; ;"1,950"
"=""10:15""";"1,724";0;112;"1,836";97;"1,724";436;"2,256"; ; 
"=""10:16"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""10:30""";653;0;10;663;8;653;"1,725";"2,386"; ; 
"=""10:36"""; ; ; ; ; ; ; ; ; ;"1,860"
"=""10:41"""; ; ; ; ; ; ; ; ; ;"1,770"
"=""10:45""";729;0;7;736;221;729;"1,449";"2,399"; ; 
"=""10:46"""; ; ; ; ; ; ; ; ; ;"1,710"
"=""10:51"""; ; ; ; ; ; ; ; ; ;960
"=""10:56"""; ; ; ; ; ; ; ; ; ;"1,650"
"=""11:00""";719;0;114;833;334;719;994;"2,046"; ; 
"=""11:01"""; ; ; ; ; ; ; ; ; ;"1,500"
"=""11:06"""; ; ; ; ; ; ; ; ; ;"1,470"
"=""11:11"""; ; ; ; ; ; ; ; ; ;870
"=""11:15""";675;0;18;693;311;675;859;"1,845"; ; 
"=""11:16"""; ; ; ; ; ; ; ; ; ;"1,470"
"=""11:21"""; ; ; ; ; ; ; ; ; ;"1,410"
"=""11:26"""; ; ; ; ; ; ; ; ; ;"1,380"
"=""11:30""";738;0;60;798;337;738;672;"1,747"; ; 
"=""11:31"""; ; ; ; ; ; ; ; ; ;"1,320"
"=""11:45""";764;0;58;822;351;764;515;"1,630"; ; 
"=""11:46"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""11:51"""; ; ; ; ; ; ; ; ; ;270
"=""11:56"""; ; ; ; ; ; ; ; ; ;"1,260"
"=""12:00""";825;0;63;889;331;825;445;"1,602"; ; 
"=""12:01"""; ; ; ; ; ; ; ; ; ;"1,200"
