 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;0;"1,710";;0;;0;; ; 
"=""00:30"""; ;0;"1,560";;0;;1;; ; 
"=""00:45"""; ;0;"1,556";;0;;1;; ; 
"=""01:00"""; ;0;"1,606";;0;;1;; ; 
"=""01:15"""; ;0;"1,330";;0;;0;; ; 
"=""01:30"""; ;0;"1,516";;0;;0;; ; 
"=""01:45"""; ;0;"1,550";;0;;0;; ; 
"=""02:00"""; ;0;"1,308";;0;;0;; ; 
"=""02:15"""; ;0;"1,381";;0;;0;; ; 
"=""02:30"""; ;0;"1,293";;0;;0;; ; 
"=""02:45"""; ;0;"1,489";;0;;0;; ; 
"=""03:00"""; ;0;905;;0;;0;; ; 
"=""03:15"""; ;0;"1,378";;0;;0;; ; 
"=""03:30"""; ;0;"1,523";;0;;0;; ; 
"=""03:45"""; ;0;"1,043";;0;;0;; ; 
"=""04:00"""; ;0;"1,252";;0;;0;; ; 
"=""04:15"""; ;0;"1,163";;0;;0;; ; 
"=""04:30"""; ;0;"1,180";;0;;0;; ; 
"=""04:45"""; ;0;"2,313";;0;;0;; ; 
"=""05:00"""; ;0;"2,640";;0;;0;; ; 
"=""05:15"""; ;0;"2,252";;0;;0;; ; 
"=""05:30"""; ;0;"1,376";;0;;0;; ; 
"=""05:45"""; ;0;"1,508";;0;;0;; ; 
"=""06:00""";0;0;901;901;0;0;0;; ; 
"=""06:15""";0;0;"1,763";"1,763";0;0;0;; ; 
"=""06:30""";0;0;"1,256";"1,256";0;0;0;; ; 
"=""06:45""";0;0;726;726;0;0;0;0; ; 
"=""07:00""";29;0;918;947;0;29;0;29; ; 
"=""07:15""";75;0;781;856;0;75;0;75; ; 
"=""07:30""";156;0;595;751;0;156;0;156; ; 
"=""07:45""";379;0;"1,007";"1,386";0;379;0;379; ; 
"=""08:00""";566;0;671;"1,237";4;566;1;571; ; 
"=""08:14"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""08:15""";689;0;45;734;34;689;245;967; ; 
"=""08:19"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""08:30""";712;0;81;793;78;712;315;"1,105"; ; 
"=""08:45""";730;0;44;774;44;730;565;"1,338"; ; 
"=""09:00""";662;0;14;677;14;662;799;"1,476"; ; 
"=""09:04"""; ; ; ; ; ; ; ; ; ;"2,850"
"=""09:09"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:15""";715;0;35;750;36;715;"1,008";"1,758"; ; 
"=""09:30""";"1,701";309;108;"2,118";99;"1,701";0;"1,800"; ; 
"=""09:45""";669;0;9;678;10;669;"1,382";"2,060"; ; 
"=""10:00""";661;0;13;673;10;661;"1,493";"2,164"; ; 
