,Actual,Prediction
0,1088.0,1233.7690430449263
1,1128.0,1305.536865902748
2,2345.0,2079.8930653059087
3,301.0,275.49082625222053
4,249.0,1040.3517789200812
5,1416.0,1020.6829213505133
6,1846.0,1909.5278005216223
7,22.0,46.754220249557434
8,147.0,1395.44415234951
9,2397.0,2202.355462583449
10,101.0,923.9946561282904
11,2183.0,2030.3823755665107
12,857.0,1150.0394979772768
13,163.0,279.981099450242
14,2008.0,1540.9718675244228
15,641.0,787.9138053781044
16,1098.0,925.2552224833034
17,1284.0,1759.8332113549543
18,734.0,966.5316969071886
19,1344.0,1022.5939575344653
20,1582.0,1675.4593770093131
21,1113.0,1601.8720760150109
22,2049.0,1609.3726090372013
23,538.0,492.088644286136
24,1688.0,1904.7335574219599
25,1506.0,1168.2916765403254
26,2400.0,1921.139278307873
27,2489.0,1492.1963821107067
28,1.0,84.64458286928766
29,541.0,596.7331222485407
30,992.0,1130.3092171852643
31,1991.0,1666.9834061993565
32,717.0,728.7018714311987
33,1429.0,1933.57740004519
34,557.0,691.4956806040124
35,2250.0,2184.4548155051802
36,1097.0,1218.267976828756
37,2249.0,1772.1707197952553
38,0.0,58.65863206256052
39,80.0,63.9938148123655
40,1564.0,1349.550629232435
41,146.0,139.58142145043885
42,1533.0,1940.7295314762375
43,1772.0,1717.4722455399926
44,1720.0,1648.3289977984068
45,344.0,233.77288965785831
46,106.0,220.18460133296793
47,0.0,74.41885837155044
48,2460.0,2151.488129434854
49,3.0,166.22524212695689
50,537.0,509.6303971384868
51,391.0,648.5183209838101
52,1105.0,1224.7919513418515
53,690.0,595.510792369331
54,815.0,935.828535950818
55,2542.0,2325.2611781972582
56,977.0,1387.7283552442182
57,34.0,70.10301523038547
58,1018.0,1305.649092359041
59,1296.0,1151.1357521290213
60,525.0,480.1193156900339
61,1027.0,1160.6839943680936
62,2090.0,2173.9090932086056
63,1799.0,1386.7436039002848
64,140.0,142.19690863477453
65,1547.0,1305.734955942602
66,2014.0,1915.853548945203
67,62.0,21.674305688496275
68,328.0,404.61435620745965
69,615.0,709.7098967249103
70,95.0,68.99679485611315
71,11.0,111.11770967556102
72,1045.0,1086.386371072988
73,2155.0,1531.6583595877134
74,900.0,837.7723046997784
75,792.0,737.0358201219206
76,249.0,315.0318083632263
77,972.0,1007.5386587211702
78,1345.0,1796.3747128267275
79,1735.0,1875.4163765074447
80,38.0,77.28327193632506
81,355.0,275.86976211258315
82,2027.0,1805.8282814609133
83,1562.0,1724.1475842508733
84,0.0,233.464501895528
85,2632.0,2056.9579997152987
86,187.0,185.53778272062684
87,610.0,690.4082431013078
88,18.0,123.31746429622308
89,1358.0,1335.6199271746666
90,2207.0,1788.197795008188
91,1450.0,1160.4982865537822
92,0.0,-29.364971363736036
93,1480.0,1413.2651233175952
94,968.0,1099.606400651509
95,293.0,350.7828729996537
96,742.0,667.1863432789827
97,2454.0,2304.5857198116964
98,1824.0,1855.4581682761425
99,130.0,365.24461569438404
100,570.0,580.1667200161978
101,2057.0,1744.9543875131549
102,1776.0,2102.907418680555
103,0.0,24.86986631339775
104,1038.0,1373.312408509333
105,845.0,679.3858863672923
106,1853.0,2039.5251703414244
107,1874.0,1805.5714528148212
108,492.0,453.3100544879907
109,1263.0,1074.3036744321632
110,852.0,892.9780131779164
111,0.0,29.894384637002055
112,2.0,-7.602123338055984
113,151.0,260.86879597465884
114,19.0,64.44857848783447
115,1108.0,1050.3831578915233
116,1181.0,1094.2668831338176
