,Actual,Prediction
0,2340.0,2264.613333333333
1,0.0,110.5696666666667
2,2387.0,2131.569333333334
3,1312.0,821.7713333333334
4,1751.0,1459.0321666666664
5,1795.0,1662.6033333333328
6,1740.0,1552.8511666666666
7,949.0,777.6391666666667
8,734.0,480.94883333333325
9,1362.0,1342.0840000000003
10,159.0,184.9286666666667
11,358.0,436.6944999999999
12,1248.0,1558.411833333333
13,1597.0,1590.3046666666664
14,668.0,935.5236666666663
15,995.0,912.6031666666665
16,1140.0,1039.1331666666667
17,1643.0,1661.131666666666
18,1151.0,1043.8663333333334
19,715.0,771.5459999999998
20,1069.0,1327.1565000000003
21,1020.0,791.1893333333334
22,25.0,30.830333333333318
23,673.0,712.5016666666664
24,87.0,114.96150000000003
25,1604.0,1536.6944999999998
26,1688.0,1425.665666666667
27,1552.0,1644.5496666666666
28,773.0,670.8011666666665
29,1289.0,1309.7983333333334
30,1203.0,1296.983
31,2674.0,1915.84
32,156.0,183.61716666666666
33,2127.0,2076.9263333333333
34,2234.0,2251.0199999999995
35,0.0,88.53549999999997
36,1097.0,1396.3733333333332
37,171.0,1242.8928333333333
38,1824.0,1874.3679999999995
39,2049.0,1707.7861666666668
40,1284.0,1667.2773333333325
41,839.0,778.0698333333332
42,147.0,1427.305833333334
43,1874.0,1824.4994999999992
44,1982.0,1916.4794999999995
45,20.0,21.920499999999997
46,1395.0,1143.16
47,79.0,87.77866666666668
48,34.0,79.63999999999999
49,1067.0,1297.9078333333332
50,176.0,995.105166666667
51,1296.0,1143.333
52,1186.0,1027.127166666667
53,2392.0,1917.2288333333327
54,0.0,3.834166666666668
55,1932.0,1839.5278333333329
56,903.0,1193.9383333333335
57,0.0,15.722833333333337
58,1799.0,1425.1269999999997
59,179.0,332.6288333333334
60,204.0,304.17699999999996
61,1582.0,1349.2970000000005
62,722.0,432.53849999999983
63,1748.0,1943.0421666666668
64,1460.0,1293.7698333333335
65,195.0,641.9078333333333
66,2.0,29.681833333333334
67,2460.0,1342.7255000000002
68,2250.0,2041.1363333333334
69,1935.0,1889.3676666666665
70,2188.0,1514.105666666667
71,1.0,29.087833333333336
72,79.0,119.47733333333338
73,1928.0,1876.605166666667
74,725.0,804.5789999999996
75,10.0,40.099666666666664
76,319.0,233.48133333333342
77,599.0,729.5993333333333
78,204.0,197.00183333333337
79,2214.0,2100.9075
80,1788.0,1416.1488333333334
81,1976.0,1510.7701666666667
82,1849.0,1571.7781666666667
83,1113.0,1087.9231666666667
84,1351.0,1607.1840000000004
85,1833.0,1644.0504999999998
86,718.0,728.7548333333335
87,354.0,525.3534999999998
88,1113.0,1629.8535000000004
89,2216.0,1960.926666666667
90,461.0,838.5791666666665
91,0.0,49.55366666666665
92,1167.0,1489.6280000000002
93,2110.0,2059.726499999999
94,2266.0,1951.8091666666667
95,904.0,847.1416666666668
96,121.0,131.64066666666668
97,1279.0,1209.1940000000004
98,1283.0,1480.9941666666668
99,497.0,371.0008333333333
100,369.0,382.9023333333332
101,228.0,368.0561666666667
102,1002.0,1296.0003333333332
103,771.0,964.2091666666663
104,1475.0,1111.0131666666666
105,1261.0,964.3611666666667
106,1602.0,1546.4734999999991
107,2080.0,1899.1058333333335
108,2051.0,1992.4246666666672
109,977.0,1030.061
110,336.0,256.05183333333343
111,1240.0,1227.5366666666666
112,1995.0,1458.181333333334
113,99.0,144.9973333333333
114,1835.0,1785.4665
115,1190.0,1365.3573333333331
