,Actual,Prediction,Error
0,2321.0,2162.1638333333335,158.8361666666665
1,1522.0,1307.6061666666665,214.39383333333353
2,134.0,151.14600000000002,17.146000000000015
3,62.0,196.15216666666666,134.15216666666666
4,742.0,411.72450000000003,330.27549999999997
5,504.0,540.0739999999998,36.07399999999984
6,1295.0,1900.9345000000008,605.9345000000008
7,1303.0,1289.1308333333336,13.869166666666388
8,1372.0,1191.4558333333334,180.54416666666657
9,1398.0,944.4026666666667,453.59733333333327
10,140.0,106.75399999999999,33.24600000000001
11,870.0,922.7406666666665,52.74066666666647
12,663.0,731.5873333333334,68.58733333333339
13,62.0,107.1251666666667,45.1251666666667
14,283.0,215.3730000000001,67.6269999999999
15,1596.0,1528.9741666666669,67.02583333333314
16,367.0,527.4676666666668,160.4676666666668
17,524.0,402.10733333333354,121.89266666666646
18,0.0,15.902500000000002,15.902500000000002
19,979.0,532.43,446.57000000000005
20,911.0,1009.5813333333333,98.5813333333333
21,2698.0,2124.0786666666672,573.9213333333328
22,54.0,281.858,227.858
23,2080.0,1914.7396666666662,165.26033333333385
24,174.0,326.7916666666665,152.79166666666652
25,705.0,954.9333333333336,249.93333333333362
26,2479.0,2261.634833333333,217.36516666666694
27,2129.0,1718.3033333333328,410.69666666666717
28,1173.0,1492.6193333333329,319.61933333333286
29,710.0,810.5886666666669,100.58866666666688
30,1960.0,2072.2428333333337,112.24283333333369
31,2416.0,1866.5849999999998,549.4150000000002
32,1545.0,1825.9783333333332,280.97833333333324
33,706.0,774.4594999999999,68.45949999999993
34,747.0,1725.322333333333,978.3223333333331
35,1467.0,1700.2413333333336,233.2413333333336
36,610.0,439.66916666666674,170.33083333333326
37,1139.0,1103.4683333333332,35.53166666666675
38,2046.0,1620.154166666667,425.8458333333331
39,1148.0,1609.7605,461.7605000000001
40,2169.0,1781.086166666666,387.91383333333397
41,1830.0,1891.2323333333336,61.2323333333336
42,2065.0,1870.849666666666,194.15033333333395
43,2345.0,1955.8400000000004,389.1599999999996
44,2096.0,1822.8171666666667,273.1828333333333
45,0.0,14.489500000000005,14.489500000000005
46,1656.0,1491.993333333333,164.0066666666669
47,471.0,492.56633333333315,21.566333333333148
48,0.0,20.81016666666666,20.81016666666666
49,696.0,1738.3466666666666,1042.3466666666666
50,903.0,1072.8188333333333,169.81883333333326
51,219.0,1086.0881666666664,867.0881666666664
52,1161.0,1126.147666666667,34.852333333333036
53,1734.0,1721.990833333333,12.009166666666943
54,1976.0,1830.2191666666663,145.7808333333337
55,533.0,503.58400000000006,29.41599999999994
56,181.0,201.13600000000008,20.13600000000008
57,0.0,39.6165,39.6165
58,1106.0,1046.4726666666666,59.527333333333445
59,960.0,1272.768833333333,312.7688333333331
60,634.0,755.4383333333334,121.43833333333339
61,1852.0,1596.15,255.8499999999999
62,2396.0,2361.425666666665,34.574333333334835
63,134.0,146.0815,12.081500000000005
64,1177.0,1669.0183333333332,492.0183333333332
65,2375.0,2129.073833333333,245.9261666666671
66,1998.0,1808.9089999999999,189.09100000000012
67,129.0,148.60999999999999,19.609999999999985
68,130.0,410.17449999999997,280.17449999999997
69,447.0,564.9298333333332,117.92983333333325
70,706.0,477.12466666666666,228.87533333333334
71,662.0,802.2383333333337,140.23833333333369
72,574.0,909.1101666666666,335.1101666666666
73,1752.0,1967.3280000000002,215.3280000000002
74,1567.0,1529.865,37.13499999999999
75,2249.0,2009.5561666666663,239.4438333333337
76,541.0,543.3391666666668,2.339166666666756
77,151.0,308.69933333333324,157.69933333333324
78,1131.0,837.3693333333332,293.6306666666668
79,1134.0,1114.1713333333332,19.828666666666777
80,1168.0,1080.1848333333335,87.81516666666653
81,1757.0,1613.3483333333334,143.65166666666664
82,955.0,906.1108333333334,48.8891666666666
83,1585.0,1487.4888333333333,97.51116666666667
84,1308.0,1091.6271666666669,216.37283333333312
85,839.0,840.7593333333333,1.759333333333302
86,0.0,6.756166666666667,6.756166666666667
87,968.0,917.711833333333,50.28816666666705
88,1799.0,1435.0718333333332,363.9281666666668
89,14.0,31.230499999999996,17.230499999999996
90,89.0,140.87866666666662,51.87866666666662
91,2034.0,1774.1375,259.86249999999995
92,2392.0,1864.1478333333332,527.8521666666668
93,875.0,974.6445000000002,99.64450000000022
94,1324.0,1670.0171666666665,346.0171666666665
95,751.0,739.1034999999999,11.89650000000006
96,138.0,289.64683333333323,151.64683333333323
97,1846.0,1583.2718333333341,262.72816666666586
98,1451.0,1747.2103333333334,296.21033333333344
99,1299.0,1612.345166666667,313.34516666666696
100,1967.0,1507.3601666666668,459.6398333333332
101,467.0,599.7414999999997,132.74149999999975
102,0.0,205.81083333333333,205.81083333333333
103,1953.0,1731.384,221.61599999999999
104,1643.0,1550.5203333333332,92.47966666666684
105,0.0,23.825666666666667,23.825666666666667
106,1217.0,1388.006666666666,171.00666666666598
107,2.0,201.51716666666667,199.51716666666667
108,1267.0,1467.0330000000001,200.03300000000013
109,237.0,216.9508333333333,20.049166666666707
110,599.0,873.1186666666665,274.1186666666665
111,1654.0,1737.101166666667,83.10116666666704
112,97.0,226.63749999999996,129.63749999999996
113,2.0,30.362500000000004,28.362500000000004
114,561.0,497.6013333333333,63.39866666666671
115,145.0,441.44983333333346,296.44983333333346
116,1249.0,1735.4396666666667,486.43966666666665
117,1281.0,875.6931666666667,405.3068333333333
118,615.0,917.8918333333332,302.89183333333324
119,1568.0,1636.9420000000005,68.94200000000046
120,1293.0,1878.3399999999997,585.3399999999997
121,722.0,465.2373333333333,256.7626666666667
122,787.0,1059.1245000000008,272.1245000000008
123,227.0,213.35516666666666,13.644833333333338
124,1008.0,971.5486666666668,36.451333333333196
125,1362.0,1341.6341666666672,20.36583333333283
126,2397.0,2350.9289999999996,46.07100000000037
127,44.0,92.43083333333334,48.43083333333334
128,187.0,138.71949999999998,48.28050000000002
129,174.0,195.78533333333334,21.78533333333334
130,2005.0,2101.501666666667,96.501666666667
131,1167.0,1526.6568333333325,359.65683333333254
132,1139.0,1014.6693333333334,124.33066666666662
133,250.0,422.23033333333314,172.23033333333314
134,1818.0,1794.1629999999998,23.837000000000216
135,2253.0,2082.0331666666666,170.9668333333334
136,2202.0,1482.5656666666664,719.4343333333336
137,700.0,758.0320000000002,58.03200000000015
138,22.0,30.776999999999997,8.776999999999997
139,1616.0,1801.2558333333332,185.25583333333316
140,2042.0,1882.5921666666663,159.40783333333366
141,2060.0,1778.5381666666672,281.46183333333283
142,801.0,982.9191666666669,181.9191666666669
143,1804.0,1838.1013333333335,34.101333333333514
144,106.0,510.4101666666665,404.4101666666665
145,1982.0,1553.7340000000006,428.2659999999994
146,1027.0,1186.612333333333,159.61233333333303
147,1509.0,1406.4588333333336,102.54116666666641
148,87.0,497.88550000000004,410.88550000000004
149,2181.0,1952.6428333333333,228.35716666666667
150,618.0,1184.418,566.4179999999999
151,1615.0,1372.7085,242.29150000000004
152,704.0,699.1919999999998,4.80800000000022
153,0.0,4.843166666666666,4.843166666666666
154,1877.0,1621.8210000000006,255.1789999999994
155,1437.0,1329.2848333333332,107.71516666666685
156,2021.0,1731.1409999999994,289.8590000000006
157,1800.0,1460.2550000000003,339.74499999999966
158,1117.0,1128.5063333333335,11.506333333333487
159,20.0,38.36600000000001,18.366000000000007
160,645.0,619.0201666666666,25.97983333333343
161,1363.0,1392.7603333333332,29.760333333333165
162,1804.0,1611.7453333333333,192.2546666666667
163,2489.0,2289.2389999999996,199.76100000000042
164,1974.0,1796.4575,177.54250000000002
165,1105.0,1560.349166666666,455.34916666666595
166,25.0,28.52083333333335,3.52083333333335
167,461.0,940.8803333333333,479.8803333333333
168,282.0,897.867,615.867
169,2014.0,1856.665333333334,157.33466666666595
170,91.0,126.1431666666666,35.1431666666666
171,2453.0,2212.1336666666675,240.86633333333248
172,24.0,27.07350000000001,3.07350000000001
173,74.0,112.9143333333333,38.9143333333333
174,48.0,127.17199999999997,79.17199999999997
175,2352.0,2156.1273333333334,195.87266666666665
176,2324.0,1833.921,490.07899999999995
177,1626.0,1491.0640000000005,134.93599999999947
178,2014.0,2041.5905000000005,27.590500000000475
179,9.0,785.0730000000002,776.0730000000002
180,1275.0,1173.1764999999996,101.82350000000042
181,2112.0,1800.8638333333333,311.13616666666667
182,130.0,147.7845,17.78450000000001
183,679.0,672.5554999999997,6.444500000000289
184,977.0,1042.5125,65.51250000000005
185,195.0,162.72349999999997,32.27650000000003
186,1690.0,1709.5835,19.583499999999958
187,887.0,616.4488333333335,270.5511666666665
188,1535.0,1775.9758333333332,240.97583333333318
189,1550.0,1478.342166666667,71.65783333333297
190,1113.0,890.043,222.957
191,185.0,283.6308333333332,98.63083333333321
192,2132.0,2146.7201666666665,14.7201666666665
193,1978.0,1239.1708333333333,738.8291666666667
194,852.0,842.2243333333334,9.775666666666552
195,1493.0,1623.7385000000004,130.73850000000039
196,1026.0,936.7824999999997,89.21750000000031
197,2160.0,1877.545,282.4549999999999
198,0.0,268.1063333333332,268.1063333333332
199,1252.0,1528.2683333333332,276.2683333333332
200,16.0,40.06016666666665,24.060166666666653
201,2153.0,1725.9345,427.06549999999993
202,0.0,56.91449999999999,56.91449999999999
203,2285.0,1869.0769999999998,415.92300000000023
204,751.0,961.8541666666665,210.85416666666652
205,147.0,149.51366666666664,2.513666666666637
206,2095.0,1653.6035000000002,441.39649999999983
207,1293.0,894.2326666666669,398.7673333333331
208,848.0,955.5406666666667,107.54066666666665
209,732.0,444.88116666666656,287.11883333333344
210,1330.0,1271.6720000000003,58.32799999999975
211,1146.0,1026.353166666667,119.646833333333
212,715.0,806.9270000000001,91.92700000000013
213,1654.0,1474.2068333333339,179.79316666666614
214,54.0,68.21000000000001,14.210000000000008
215,942.0,640.3974999999998,301.6025000000002
216,363.0,327.50433333333336,35.49566666666664
217,245.0,584.7986666666666,339.7986666666666
218,0.0,36.31133333333333,36.31133333333333
